cal_run,KGE,input_data,year_missing
station_all,0.835338629,station,none
station_2011,0.868531781,station,2011
station_2012,0.882248756,station,2012
station_2013,0.888352979,station,2013
station_2014,0.860806897,station,2014
station_2015,0.860843684,station,2015
station_2016,0.806957556,station,2016
station_2017,0.86273744,station,2017
station_2018,0.864889853,station,2018
station_2019,0.859072103,station,2019
station_2020,0.855882698,station,2020
grid_all,0.830540814,grid,none
grid_2011,0.742710112,grid,2011
grid_2012,0.720035764,grid,2012
grid_2013,0.872886939,grid,2013
grid_2014,0.711487243,grid,2014
grid_2015,0.597145253,grid,2015
grid_2016,0.728989994,grid,2016
grid_2017,0.715163866,grid,2017
grid_2018,0.724235521,grid,2018
grid_2019,0.716250704,grid,2019
grid_2020,0.725452592,grid,2020
