time,statn_all,statn_2011,statn_2012,statn_2013,statn_2014,statn_2015,statn_2016,statn_2017,statn_2018,statn_2019,statn_2020,grid_all,grid_2011,grid_2012,grid_2013,grid_2014,grid_2015,grid_2016,grid_2017,grid_2018,grid_2019,grid_2020,obs
1/1/11,0.04854,0.04716,0.04662,0.02576,0.027,0.19556,0.05019,0.02565,0.06137,0.04294,0.0616,0.02628,0.02559,0.02575,0.02532,0.02657,0.02504,0.02567,0.02515,0.02499,0.02545,0.02609,-9999
1/2/11,0.04722,0.0461,0.04535,0.02506,0.02622,0.16301,0.04821,0.02495,0.0595,0.04155,0.0577,0.02594,0.02545,0.02607,0.02466,0.026,0.0245,0.02536,0.02496,0.0243,0.02507,0.02546,-9999
1/3/11,0.04635,0.04541,0.04447,0.02462,0.02567,0.13838,0.04657,0.02451,0.0582,0.0405,0.05408,0.02617,0.02591,0.02701,0.02428,0.02592,0.02435,0.02569,0.02534,0.02389,0.02515,0.02519,-9999
1/4/11,0.04555,0.04471,0.04362,0.0241,0.02505,0.11846,0.04501,0.02401,0.05703,0.03954,0.05065,0.02661,0.02662,0.02812,0.02383,0.02604,0.02428,0.02629,0.02594,0.02342,0.02535,0.02497,-9999
1/5/11,0.04473,0.04391,0.04269,0.02353,0.02437,0.10173,0.04347,0.02348,0.05581,0.03863,0.0474,0.02722,0.02754,0.02934,0.02335,0.02637,0.02435,0.02712,0.0267,0.02293,0.02565,0.02481,-9999
1/6/11,0.04383,0.04296,0.04164,0.02294,0.02366,0.08749,0.04192,0.02293,0.05446,0.03775,0.04435,0.02793,0.02861,0.03062,0.02284,0.02685,0.02451,0.02809,0.02758,0.02245,0.02602,0.02472,-9999
1/7/11,0.04282,0.04188,0.04045,0.02232,0.02294,0.07537,0.04036,0.02239,0.05293,0.03688,0.04148,0.02867,0.02978,0.0319,0.02232,0.02742,0.02475,0.02911,0.02848,0.02198,0.02641,0.02467,-9999
1/8/11,0.04171,0.04068,0.03916,0.02169,0.02222,0.0651,0.03878,0.02184,0.05122,0.03601,0.0388,0.02939,0.03097,0.03314,0.02178,0.02799,0.02504,0.0301,0.02934,0.02153,0.02678,0.02465,-9999
1/9/11,0.0405,0.03939,0.03777,0.02106,0.02151,0.05638,0.03719,0.02131,0.04933,0.03511,0.03628,0.03025,0.03345,0.03566,0.02123,0.02886,0.02557,0.03195,0.03011,0.0211,0.02734,0.02483,-9999
1/10/11,0.0392,0.03802,0.03632,0.02043,0.0208,0.04901,0.03561,0.02079,0.04731,0.03418,0.03394,0.03116,0.03653,0.03865,0.02068,0.03,0.02626,0.0345,0.03075,0.02072,0.028,0.02513,-9999
1/11/11,0.03782,0.03661,0.03483,0.01979,0.02011,0.04279,0.03405,0.02028,0.04518,0.03321,0.03176,0.032,0.03988,0.04142,0.02012,0.03149,0.02705,0.03755,0.03122,0.0204,0.02864,0.02547,-9999
1/12/11,0.0364,0.03516,0.03333,0.01917,0.01944,0.03753,0.0325,0.01978,0.043,0.03221,0.02973,0.03275,0.04326,0.04372,0.01956,0.03327,0.02791,0.04083,0.03151,0.02016,0.0292,0.02582,-9999
1/13/11,0.03494,0.0337,0.03183,0.01856,0.01879,0.03308,0.031,0.01929,0.0408,0.03118,0.02784,0.03338,0.04649,0.0455,0.01901,0.03526,0.02913,0.04411,0.03164,0.02002,0.02967,0.02617,-9999
1/14/11,0.03347,0.03225,0.03035,0.01795,0.01815,0.02929,0.02953,0.0188,0.03862,0.03011,0.0261,0.03388,0.04991,0.05618,0.01846,0.03733,0.0304,0.04719,0.0316,0.01995,0.03004,0.02649,-9999
1/15/11,0.032,0.03081,0.02892,0.01736,0.01753,0.02607,0.02811,0.01833,0.03648,0.02903,0.02448,0.03449,0.05302,0.06428,0.01967,0.03939,0.03133,0.04997,0.0343,0.01996,0.0303,0.02678,-9999
1/16/11,0.03055,0.02941,0.02752,0.01678,0.01694,0.02331,0.02675,0.01786,0.03441,0.02795,0.02299,0.03471,0.05517,0.06367,0.02305,0.0413,0.0321,0.05234,0.03557,0.02002,0.03045,0.02702,-9999
1/17/11,0.02912,0.02803,0.02618,0.01622,0.01636,0.02093,0.02544,0.0174,0.03243,0.02686,0.0216,0.03474,0.05688,0.06258,0.02817,0.04292,0.03278,0.05425,0.03711,0.0201,0.0305,0.0272,-9999
1/18/11,0.02774,0.0267,0.02489,0.01568,0.01581,0.01889,0.02418,0.01694,0.03054,0.02578,0.02031,0.03461,0.05822,0.06122,0.03661,0.04418,0.03335,0.05566,0.0389,0.02019,0.03043,0.0273,-9999
1/19/11,0.02639,0.02542,0.02366,0.01516,0.01527,0.01713,0.02299,0.0165,0.02876,0.02471,0.01912,0.03433,0.05943,0.05969,0.04754,0.04508,0.03381,0.0566,0.04044,0.02027,0.03029,0.02733,-9999
1/20/11,0.0251,0.02419,0.0225,0.01465,0.01476,0.01559,0.02185,0.01606,0.02708,0.02367,0.01802,0.03391,0.06017,0.06038,0.05385,0.04562,0.03416,0.05711,0.04196,0.02033,0.03007,0.02728,-9999
1/21/11,0.02387,0.02302,0.0214,0.01416,0.01426,0.01424,0.02077,0.01563,0.02551,0.02266,0.017,0.03338,0.06056,0.05845,0.05629,0.04584,0.03443,0.0572,0.04309,0.02034,0.02977,0.02716,-9999
1/22/11,0.0227,0.0219,0.02036,0.01369,0.01378,0.01306,0.01975,0.01521,0.02404,0.02168,0.01605,0.0328,0.06062,0.05647,0.05612,0.04579,0.03463,0.05693,0.04376,0.02032,0.0294,0.02698,-9999
1/23/11,0.02158,0.02083,0.01937,0.01323,0.01332,0.01201,0.0188,0.01479,0.02268,0.02074,0.01518,0.03219,0.06037,0.05447,0.05437,0.04551,0.03475,0.05634,0.04399,0.02025,0.02897,0.02677,-9999
1/24/11,0.02052,0.01982,0.01845,0.01279,0.01288,0.01109,0.01789,0.01439,0.0214,0.01983,0.01436,0.03155,0.05985,0.05248,0.05175,0.04505,0.03481,0.05549,0.04388,0.02014,0.02849,0.0265,-9999
1/25/11,0.01952,0.01886,0.01757,0.01237,0.01246,0.01026,0.01704,0.014,0.0202,0.01896,0.01361,0.03087,0.05909,0.05051,0.04873,0.04443,0.03479,0.0544,0.04346,0.01999,0.02796,0.0262,-9999
1/26/11,0.01858,0.01795,0.01676,0.01197,0.01205,0.00952,0.01623,0.01361,0.01909,0.01813,0.01291,0.03016,0.05813,0.04858,0.04559,0.04367,0.03471,0.05314,0.04277,0.01979,0.02739,0.02585,-9999
1/27/11,0.01769,0.0171,0.01598,0.01158,0.01166,0.00885,0.01547,0.01324,0.01805,0.01734,0.01226,0.02942,0.05699,0.0467,0.04259,0.0428,0.03457,0.05173,0.04186,0.01957,0.0268,0.02546,-9999
1/28/11,0.01685,0.01629,0.01526,0.01121,0.01129,0.00825,0.01476,0.01288,0.01709,0.01658,0.01165,0.02865,0.05573,0.04489,0.04231,0.04183,0.03436,0.05022,0.04106,0.01931,0.02617,0.02504,-9999
1/29/11,0.01753,0.01553,0.01457,0.01085,0.01093,0.00771,0.01408,0.01252,0.01619,0.01587,0.01108,0.02787,0.05441,0.04317,0.04549,0.04079,0.03411,0.04864,0.0404,0.01901,0.02553,0.02459,-9999
1/30/11,0.02612,0.01481,0.01393,0.01051,0.01058,0.00721,0.01345,0.01218,0.01535,0.01519,0.01056,0.02707,0.05306,0.04156,0.04782,0.03968,0.03382,0.04701,0.03975,0.0187,0.02488,0.0241,-9999
