@T, output,,,,,,,,,,,,,,,,
created_at,Mon May 01 13:23:24 MDT 2023,,,,,,,,,,,,,,,,
date_format,yyyy-MM-dd,,,,,,,,,,,,,,,,
@H,time,catchmentSimRunoff,catchmentSimRunoffN,catchmentSimRunoff_NO3,catchmentSimRunoff_NO3_N,catchmentNO3_N_Load_kg_ha,catchmentRD1_w,catchmentRD2_w,catchmentRG1_w,catchmentRG2_w,catchmentNRD1_w,catchmentNRD2_w,catchmentNRG1_w,catchmentNRG2_w,catchmentSed,deepsinkW,deepsinkN
Type,LocalDate,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,m3/s,kg,mg/L,mg/L,kg/ha,mm/m2,mm/m2,mm/m2,mm/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg,L,kg
,1/1/11,0.02628,0.22537,0.09927,0.09927,0.00003,0.00001,0.03383,3.45E-06,2.17E-06,0,3.36E-09,1.24E-14,1.69E-13,0,0,0
,1/2/11,0.02594,0.23448,0.1046,0.1046,0.00003,0.00001,0.03335,0.00006,2.17E-06,0,3.27E-09,2.26E-10,3.29E-13,0,0,0
,1/3/11,0.02617,0.26609,0.11768,0.11768,0.00004,0.00001,0.0335,0.00021,2.23E-06,0,3.20E-09,7.70E-10,3.98E-13,0,0,0
,1/4/11,0.02661,0.32368,0.14078,0.14078,0.00005,0.00001,0.03379,0.00048,2.35E-06,0,3.14E-09,1.68E-09,4.40E-13,0,0,0
,1/5/11,0.02722,0.40846,0.1737,0.1737,0.00006,0.00001,0.03416,0.00089,2.52E-06,0,3.10E-09,2.99E-09,4.67E-13,0,0,0
,1/6/11,0.02793,0.51971,0.21539,0.21539,0.00008,0.00001,0.03455,0.00142,2.76E-06,0,3.07E-09,4.68E-09,4.83E-13,0,0,0
,1/7/11,0.02867,0.65532,0.26454,0.26454,0.0001,0.00001,0.03488,0.00205,3.04E-06,0,3.04E-09,6.73E-09,4.93E-13,0,0,0
,1/8/11,0.02939,0.81197,0.3198,0.3198,0.00012,0.00001,0.03509,0.00275,3.36E-06,0,3.02E-09,9.09E-09,4.97E-13,0,0,0
,1/9/11,0.03025,0.99488,0.38061,0.38061,0.00015,0.00001,0.03541,0.00355,3.75E-06,0,3.02E-09,1.18E-08,5.33E-13,0,0,0
,1/10/11,0.03116,1.1988,0.44533,0.44533,0.00018,0.00001,0.03571,0.00441,4.18E-06,0,3.03E-09,1.48E-08,5.56E-13,0,0,0
,1/11/11,0.032,1.41931,0.51332,0.51332,0.00021,0.00001,0.03589,0.00532,4.64E-06,0,3.04E-09,1.81E-08,5.75E-13,0,0,0
,1/12/11,0.03275,1.65201,0.58382,0.58382,0.00025,0.00001,0.03592,0.00626,0.00001,0,3.04E-09,2.16E-08,5.70E-13,0,0,0
,1/13/11,0.03338,1.89183,0.6559,0.6559,0.00028,0.00001,0.03579,0.00721,0.00001,0,3.03E-09,2.52E-08,5.30E-13,0,0,0
,1/14/11,0.03388,2.13309,0.72863,0.72863,0.00032,0.00001,0.0355,0.00814,0.00001,0,3.01E-09,2.88E-08,5.48E-13,0,0,0
,1/15/11,0.03449,2.38714,0.801,0.801,0.00036,0.00001,0.03534,0.00908,0.00001,0,3.10E-09,3.25E-08,5.56E-13,0,0,0
,1/16/11,0.03471,2.63367,0.87829,0.87829,0.00039,0.00001,0.03474,0.00996,0.00001,0,3.06E-09,3.62E-08,6.84E-13,0,0,0
,1/17/11,0.03474,2.86165,0.95331,0.95331,0.00043,0.00001,0.03398,0.01076,0.00001,0,3.00E-09,3.97E-08,6.75E-13,0,0,0
,1/18/11,0.03461,3.06766,1.02582,1.02582,0.00046,4.86E-06,0.03311,0.01147,0.00001,0,2.94E-09,4.28E-08,6.62E-13,0,0,0
,1/19/11,0.03433,3.25012,1.09574,1.09574,0.00048,4.56E-06,0.03214,0.01208,0.00001,0,2.86E-09,4.56E-08,6.49E-13,0,0,0
,1/20/11,0.03391,3.408,1.16309,1.16309,0.00051,4.27E-06,0.0311,0.01258,0.00001,0,2.79E-09,4.80E-08,6.33E-13,0,0,0
,1/21/11,0.03338,3.54105,1.22791,1.22791,0.00053,4.00E-06,0.03001,0.01298,0.00001,0,2.71E-09,5.01E-08,5.82E-13,0,0,0
,1/22/11,0.0328,3.6555,1.28998,1.28998,0.00055,3.74E-06,0.02893,0.01331,0.00001,0,2.62E-09,5.19E-08,5.79E-13,0,0,0
,1/23/11,0.03219,3.75218,1.34913,1.34913,0.00056,3.49E-06,0.02788,0.01357,0.00001,0,2.54E-09,5.34E-08,5.83E-13,0,0,0
