"","param","min","max","input"
"1","ACAdaptation",1.03794387809458,1.19005328603057,"grid_unburn"
"2","BetaW",0.142443374650574,6.76207673692198,"grid_unburn"
"3","Beta_min",0.002,0.002,"grid_unburn"
"4","Beta_rsd",0.03,0.03,"grid_unburn"
"5","Beta_trans",1e-05,1e-05,"grid_unburn"
"6","DCAdaptation",0.811215749933741,1.10860076457768,"grid_unburn"
"7","FCAdaptation",0.814116528967715,1.27770379242611,"grid_unburn"
"8","Ksink",0,0,"grid_unburn"
"9","LExCoef",-0.65,-0.65,"grid_unburn"
"10","N_concRG1",10,10,"grid_unburn"
"11","N_concRG2",10,10,"grid_unburn"
"12","N_delay_RG1",5,5,"grid_unburn"
"13","N_delay_RG2",5,5,"grid_unburn"
"14","a_rain",0.644200674733564,9.9884282907851,"grid_unburn"
"15","a_snow",0.18833012348507,6.09580605165087,"grid_unburn"
"16","angstrom_a",0.25,0.25,"grid_unburn"
"17","angstrom_b",0.5,0.5,"grid_unburn"
"18","baseTemp",-0.570043260996619,4.71361187089834,"grid_unburn"
"19","ccf_factor",0.00160131904854303,0.00057852253920415,"grid_unburn"
"20","clat",4.2,4.2,"grid_unburn"
"21","delayNitrification",0.2,0.2,"grid_unburn"
"22","denitrificationRateCoefficient",1.4,1.4,"grid_unburn"
"23","denitrificationSoilSaturationThreshold",0.6,0.6,"grid_unburn"
"24","deposition_factor",0.04,0.04,"grid_unburn"
"25","drrad",15,15,"grid_unburn"
"26","drspac",1000,1000,"grid_unburn"
"27","flowRouteTA",0.100076514535159,0.102035593724764,"grid_unburn"
"28","g_factor",0.922307963297734,4.72898421636652,"grid_unburn"
"29","geoMaxPerc",0.237448702217618,0.879699005059448,"grid_unburn"
"30","gwCapRise",0.109218917156601,0.518187118716587,"grid_unburn"
"31","gwRG1Fact",1.03037583049798,2.64853713826473,"grid_unburn"
"32","gwRG1RG2dist",0.224601557591867,0.855360294899061,"grid_unburn"
"33","gwRG2Fact",16.6332316572151,59.3597083114832,"grid_unburn"
"34","initLPS",0.05,0.05,"grid_unburn"
"35","initRG1",0.04,0.04,"grid_unburn"
"36","initRG2",0.01,0.01,"grid_unburn"
"37","kdiff_layer",17.0006227934778,49.79300358954,"grid_unburn"
"38","kf_fact",0.186926243934776,1.64484499198652,"grid_unburn"
"39","lagInterflow",1.23377180199675,1.97786936709039,"grid_unburn"
"40","lagSurfaceRunoff",1.46520876128267,1.49824965221429,"grid_unburn"
"41","longTZ",-105,-105,"grid_unburn"
"42","nitrificationSoilTemperatureThreshold",5,5,"grid_unburn"
"43","nitrificationSurfaceTemperatureThreshold",5,5,"grid_unburn"
"44","opti",0,0,"grid_unburn"
"45","piadin",0,0,"grid_unburn"
