@T, output
created_at,"Mon May 01 13:30:28 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,simRunoff_qm_sec,simRunoff,reachNitrateConcentration,reachNitrateLoads,actRD1,actRD2,actRG1,actRG2,outRD1,outRD2,outRG1,outRG2
Type,LocalDate,Integer,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,-,-,-,mg/L as N,kg as N,-,-,-,-,-,-,-,-
,2011-01-01,-22,0.02559,2210841.82441,0.10014,0.2266,16.27394,51997.96053,5.80392,3.32365,691.59515,2209762.3339,246.64975,141.24562
,2011-01-02,-22,0.02545,2198682.45818,0.11306,0.25444,15.3735,51667.21106,143.42262,3.32486,652.16828,2191805.02898,6084.21503,141.0459
,2011-01-03,-22,0.02591,2238951.50511,0.135,0.30934,14.71198,51995.76629,456.97072,3.39953,627.76607,2218679.56168,19499.11823,145.05913
,2011-01-04,-22,0.02662,2300375.41174,0.16757,0.39442,14.10395,52444.47111,981.51112,3.52436,607.07673,2257369.41455,42247.22137,151.69908
,2011-01-05,-22,0.02754,2379679.03129,0.21057,0.51261,13.53195,52948.39666,1724.00495,3.70187,588.80822,2303913.49792,75015.64799,161.07718
,2011-01-06,-22,0.02861,2472158.34471,0.26345,0.66608,12.98217,53444.32772,2668.0488,3.93007,571.7867,2353901.9232,117511.53893,173.09589
,2011-01-07,-22,0.02978,2572621.35425,0.32539,0.85589,12.44422,53878.48331,3782.66972,4.20416,555.05341,2403159.15832,168719.62286,187.51967
,2011-01-08,-22,0.03097,2676081.84079,0.39546,1.08174,11.92091,54253.10907,5033.98441,4.52157,537.93318,2448180.49426,227159.37676,204.03659
,2011-01-09,-22,0.03345,2890271.18514,0.47508,1.4028,11.49236,55840.44043,6662.07003,4.98628,531.29524,2581519.92314,307989.44942,230.51733
,2011-01-10,-22,0.03653,3155998.14853,0.58589,1.888,11.07742,57606.58914,8806.99827,5.58252,526.27104,2736799.81497,418406.84553,265.21699
,2011-01-11,-22,0.03988,3445751.15387,0.71842,2.52624,10.64499,59188.72268,11403.20643,6.2758,519.48159,2888442.59262,556482.81726,306.2624
,2011-01-12,-22,0.04326,3737697.93499,0.86469,3.29656,10.18285,60376.59489,14345.56613,7.03429,509.24193,3019418.67339,717418.23667,351.78301
,2011-01-13,-22,0.04649,4016326.73932,1.01789,4.16816,9.68544,61046.45837,17503.32662,7.81926,495.11542,3120669.22593,894762.68085,399.71713
,2011-01-14,-22,0.04991,4312269.68978,1.16724,5.12992,9.19235,61792.09464,20818.80842,8.63496,479.73495,3224836.87688,1086502.4323,450.64565
,2011-01-15,-22,0.05302,4581335.10035,1.31647,6.14475,8.67944,62091.13334,24160.81669,9.45041,460.91801,3297322.65205,1283049.67042,501.85987
,2011-01-16,-22,0.05517,4766628.87663,1.49119,7.24028,8.13672,61388.24702,27345.23888,10.22533,437.00183,3297001.6705,1468641.02882,549.17547
,2011-01-17,-22,0.05688,4914579.95324,1.64645,8.24097,7.59994,60308.40126,30392.35295,10.98795,411.71508,3267114.29959,1646458.68334,595.25522
,2011-01-18,-22,0.05822,5029950.58222,1.79741,9.20671,7.07763,58990.66942,33235.82717,11.73052,385.92909,3216642.33004,1812282.68144,639.64164
,2011-01-19,-22,0.05943,5134552.55012,1.94135,10.14973,6.58081,57718.22012,35885.55514,12.46535,360.91086,3165437.97563,1968070.02669,683.63694
,2011-01-20,-22,0.06017,5199095.22806,2.08799,11.05289,6.10217,56128.50943,38322.23541,13.17869,335.82869,3088995.30172,2109038.81703,725.28061
,2011-01-21,-22,0.06056,5232452.62043,2.23027,11.88143,5.64742,54402.17876,40485.39417,13.85346,311.35589,2999321.45576,2232056.03451,763.77427
,2011-01-22,-22,0.06062,5237527.42263,2.36684,12.62118,5.21861,52594.01171,42359.80214,14.4835,287.792,2900414.66653,2336026.23926,798.72484
