@T, output
created_at,"Mon May 01 13:44:07 MDT 2023"
date_format,yyyy-MM-dd
@H,time,precip,tmean,outRD1,insed,gensed,outsed,sedpool
Type,LocalDate,Double,Double,Double,Double,Double,Double,Double
Unit,-,mm,C,l,-,t/d,-,-
,2011-01-01,0.65246,-17.7533,0,0,0,0,0
,2011-01-02,0.32216,-12.70159,0,0,0,0,0
,2011-01-03,0.37942,-4.26632,0,0,0,0,0
,2011-01-04,0.00991,-6.63186,0,0,0,0,0
,2011-01-05,0.52624,-3.80757,0,0,0,0,0
,2011-01-06,0.20282,-2.17731,0,0,0,0,0
,2011-01-07,0.00511,2.03718,0,0,0,0,0
,2011-01-08,0.74694,0.38162,0,0,0,0,0
,2011-01-09,8.41636,1.79472,0,0,0,0,0
,2011-01-10,0.59066,-11.36738,0,0,0,0,0
,2011-01-11,0.30645,-15.65996,0,0,0,0,0
,2011-01-12,0.00792,-11.43933,0,0,0,0,0
,2011-01-13,0,-3.49845,0,0,0,0,0
,2011-01-14,0.12926,2.52281,0,0,0,0,0
,2011-01-15,0.11809,2.33196,0,0,0,0,0
,2011-01-16,1.46805,1.00721,0,0,0,0,0
,2011-01-17,5.76153,2.18192,0,0,0,0,0
,2011-01-18,0.72519,1.72761,0,0,0,0,0
,2011-01-19,5.50404,-0.95364,0,0,0,0,0
,2011-01-20,1.01787,-5.58769,0,0,0,0,0
,2011-01-21,1.58689,-7.61323,0,0,0,0,0
,2011-01-22,2.08642,-1.60437,0,0,0,0,0
,2011-01-23,0.29252,-4.82478,0,0,0,0,0
,2011-01-24,0.20014,-3.6544,0,0,0,0,0
,2011-01-25,0.09008,-5.48869,0,0,0,0,0
,2011-01-26,0.00225,-3.24676,0,0,0,0,0
,2011-01-27,0,-1.40214,0,0,0,0,0
,2011-01-28,0,3.39647,0,0,0,0,0
,2011-01-29,0,6.7468,0,0,0,0,0
,2011-01-30,0.06513,2.58313,0,0,0,0,0
,2011-01-31,2.34306,-0.29632,0,0,0,0,0
,2011-02-01,0.08479,-15.21517,0,0,0,0,0
,2011-02-02,0.00059,-25.14964,0,0,0,0,0
,2011-02-03,1.74719,-22.30291,0,0,0,0,0
,2011-02-04,0.60305,-9.22729,0,0,0,0,0
,2011-02-05,13.24939,-2.86831,0,0,0,0,0
,2011-02-06,4.31976,-4.25929,0,0,0,0,0
,2011-02-07,10.14073,-10.1132,0,0,0,0,0
,2011-02-08,1.66698,-8.28663,0,0,0,0,0
,2011-02-09,0.54814,-19.58442,0,0,0,0,0
,2011-02-10,0.19222,-15.46258,0,0,0,0,0
,2011-02-11,0.12595,-8.43312,0,0,0,0,0
,2011-02-12,0.10659,-3.25524,0,0,0,0,0
,2011-02-13,0.00276,2.04639,0,0,0,0,0
,2011-02-14,0,4.27764,0,0,0,0,0
,2011-02-15,0,4.45996,0,0,0,0,0
,2011-02-16,0.05559,6.16051,0,0,0,0,0
,2011-02-17,2.08277,6.14909,0,0,0,0,0
,2011-02-18,0.05556,-2.20819,0,0,0,0,0
,2011-02-19,2.01588,0.73722,0,0,0,0,0
,2011-02-20,0.05381,3.25829,0,0,0,0,0
,2011-02-21,0.14218,-4.54207,0,0,0,0,0
,2011-02-22,0.0038,-5.7387,0,0,0,0,0
,2011-02-23,0.0088,-0.75722,0,0,0,0,0
,2011-02-24,2.9402,-1.56907,0,0,0,0,0
,2011-02-25,3.86187,-4.88726,0,0,0,0,0
,2011-02-26,0.70392,-6.91749,0,0,0,0,0
,2011-02-27,0.44083,0.16703,0,0,0,0,0
,2011-02-28,0.01133,-1.01091,0,0,0,0,0
,2011-03-01,0,2.2031,0,0,0,0,0
,2011-03-02,0,3.37326,0,0,0,0,0
,2011-03-03,1.24022,3.87011,0,0,0,0,0
,2011-03-04,0.12552,2.32592,0,0,0,0,0
,2011-03-05,0.19051,-1.79843,0,0,0,0,0
,2011-03-06,2.80327,-0.83846,0,0,0,0,0
,2011-03-07,0.67702,-1.44597,0,0,0,0,0
,2011-03-08,0.01616,-6.34251,0,0,0,0,0
,2011-03-09,0.13952,-5.51445,0,0,0,0,0
,2011-03-10,0.00372,-0.38892,0,0,0,0,0
,2011-03-11,0,5.66401,0,0,0,0,0
,2011-03-12,3.63853,4.62638,0,0,0,0,0
