@T, output
created_at,"Mon May 01 13:44:07 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,LAI,BioAct,precip,tmean,tmax,tmin,rhum,wind,rain,snow,solRad,netRad,netRainOut,netSnowOut,irrigation_amount,interception,intercStorage,throughfall,snowDepth,snowTotSWE,snowMelt,potET,actET,E_dps,E_intercept,actDPS,soilSat,soilSatMPS,soilSatLPS,soilActMPS,soilActLPS,percolation,inRD1,inRD2,inRG1,inRG2,actRG1,actRG2,genRD1,genRD2,genRG1,genRG2,outRD1,outRD2,outRG1,outRG2,inSoilStor
Type,LocalDate,Integer,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,-,-,kg/ha,mm,C,C,C,-,-,-,-,MJ/m2/day,MJ/m2,-,-,-,-,-,-,-,mm,-,mm,mm,-,-,-,-,-,-,-,-,l,-,l,-,-,-,-,-,-,-,-,l,l,-,-,-
,2011-01-01,7,4,20484.97012,3.20035,-22.20038,-19.68483,-24.71593,64.39355,12.62526,0,3.20035,12.43265,4.49915,0,6.42425,0,0,1.50512,6.42425,223.452,6.42425,0,0,0,0,0.3287,0,0.16429,0.51931,0.01231,27.70127,1.53418,1.26105,0,0,0,0,0.76696,0.90652,0,1.3695,1.83621E-236,0.00001,0,1.3695,1.83621E-236,0.00001,0
,2011-01-02,7,4,20484.97012,1.79192,-19.94304,-14.60821,-25.27787,59.82539,7.71046,0,1.79192,12.27478,4.32705,0,1.46322,0,0.3287,1.40782,1.46322,274.34666,7.88747,0,0,0,0,0.426,0,0.16273,0.53225,0.00454,28.39146,0.56614,0.12519,0,0,0,0,0.78926,0.95555,0,0.15267,0.05385,0.00002,0,0.15267,0.05385,0.00002,0
,2011-01-03,7,4,20484.97012,1.43581,-11.4969,-5.74652,-17.24728,56.55857,6.25508,0,1.43581,6.78952,3.14698,0,1.00981,0,0.426,1.00816,1.00981,309.25505,8.89728,0,0,0,0,0.82565,0,0.16232,0.54099,0.00021,28.85767,0.02632,0.02817,0,0,0,0,0.75098,0.96656,0,0.04544,0.05541,0.00002,0,0.04544,0.05541,0.00002,0
,2011-01-04,7,4,20484.97012,0.0371,-9.48135,-5.10796,-13.85474,57.42242,10.36194,0,0.0371,6.12449,3.0574,0,0,0,0.0371,0.04305,0,309.25505,8.89728,0,0,0,0,1.00221,0,0.16231,0.54144,0.00001,28.88133,0.00126,0.00026,0,0,0,0,0.69841,0.96664,0,0.00113,0.05272,0.00002,0,0.00113,0.05272,0.00002,0
,2011-01-05,7,4,20484.97012,2.65119,-9.40075,-5.19279,-13.60872,57.52957,15.3264,0,2.65119,3.43116,2.7562,0,0.86043,0,1.79076,0.79169,0.86043,334.37877,9.7577,0,0,0,0,1.04212,0,0.16231,0.54146,5.56862E-7,28.88249,0.00007,2.4832E-6,0,0,0,0,0.64938,0.96662,0,0.00003,0.04903,0.00002,0,0.00003,0.04903,0.00002,0
,2011-01-06,7,4,20484.97012,0.74994,-9.34677,-6.13881,-12.55474,70.89339,11.49018,0,0.74994,8.35721,3.47723,0,0,0,0.74994,0.82196,0,334.37877,9.7577,0,0,0,0,0.71966,0,0.16231,0.54146,3.22435E-8,28.88256,4.01778E-6,2.91991E-8,0,0,0,0,0.60379,0.96659,0,1.05206E-6,0.04559,0.00002,0,1.05206E-6,0.04559,0.00002,0
,2011-01-07,7,4,20484.97012,0.01843,-4.24304,1.33806,-9.82414,64.27513,5.49157,0,0.01843,8.65719,3.39872,0,0,0,0.01843,0,0,334.37877,9.7577,0,0.27768,0.27758,0,0.84039,0,0.16075,0.53625,1.90092E-9,28.60498,2.36869E-7,3.72601E-10,0,0,0,0,0.5614,0.96657,0,3.83551E-8,0.04239,0.00002,0,3.83551E-8,0.04239,0.00002,0
,2011-01-08,7,4,20484.97012,1.35379,-2.06966,1.45348,-5.59279,58.73835,4.32373,0,1.35379,6.7415,3.14519,0,0,0,1.35379,0,0,334.37877,9.7577,0,0.01991,0.01991,0,1.35379,0,0.16064,0.53588,1.09215E-10,28.58507,1.3609E-8,4.88202E-12,0,0,0,0,0.52199,0.96654,0,1.44352E-9,0.03941,0.00002,0,1.44352E-9,0.03941,0.00002,0
,2011-01-09,7,4,20484.97012,6.19417,-1.54665,3.53034,-6.62364,60.47922,1.43712,0,6.19417,9.83733,3.53589,0,0,0,6.19417,5.18523,0,334.37877,9.7577,0,0,0,0,1.00894,0,0.16064,0.53588,6.20273E-12,28.58507,7.72905E-10,6.15012E-14,0,0,0,0,0.48534,0.96652,0,5.30752E-11,0.03665,0.00002,0,5.30752E-11,0.03665,0.00002,0
