@T, output
created_at,"Wed Apr 19 16:37:31 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,simRunoff_qm_sec
Type,LocalDate,Integer,Double
Unit,-,-,-
,2011-01-01,-23,0.05037
,2011-01-02,-23,0.04641
,2011-01-03,-23,0.04392
,2011-01-04,-23,0.04209
,2011-01-05,-23,0.04043
,2011-01-06,-23,0.03874
,2011-01-07,-23,0.03693
,2011-01-08,-23,0.03502
,2011-01-09,-23,0.0339
,2011-01-10,-23,0.0325
,2011-01-11,-23,0.03075
,2011-01-12,-23,0.02904
,2011-01-13,-23,0.02745
,2011-01-14,-23,0.02597
,2011-01-15,-23,0.0246
,2011-01-16,-23,0.02329
,2011-01-17,-23,0.02205
,2011-01-18,-23,0.02087
,2011-01-19,-23,0.01986
,2011-01-20,-23,0.01892
,2011-01-21,-23,0.01798
,2011-01-22,-23,0.01737
,2011-01-23,-23,0.01681
,2011-01-24,-23,0.01616
,2011-01-25,-23,0.0155
,2011-01-26,-23,0.01485
,2011-01-27,-23,0.01421
,2011-01-28,-23,0.01356
,2011-01-29,-23,0.01291
,2011-01-30,-23,0.01226
,2011-01-31,-23,0.01162
,2011-02-01,-23,0.01098
,2011-02-02,-23,0.01036
,2011-02-03,-23,0.00976
,2011-02-04,-23,0.0092
,2011-02-05,-23,0.00866
,2011-02-06,-23,0.00815
,2011-02-07,-23,0.00768
,2011-02-08,-23,0.00724
,2011-02-09,-23,0.00683
,2011-02-10,-23,0.00645
,2011-02-11,-23,0.00609
,2011-02-12,-23,0.00575
,2011-02-13,-23,0.00544
,2011-02-14,-23,0.00515
,2011-02-15,-23,0.01214
,2011-02-16,-23,0.02697
,2011-02-17,-23,0.04705
,2011-02-18,-23,0.06323
,2011-02-19,-23,0.07477
,2011-02-20,-23,0.08237
,2011-02-21,-23,0.08661
,2011-02-22,-23,0.08808
,2011-02-23,-23,0.08744
,2011-02-24,-23,0.08532
,2011-02-25,-23,0.08222
,2011-02-26,-23,0.07852
,2011-02-27,-23,0.07449
,2011-02-28,-23,0.07033
,2011-03-01,-23,0.06618
,2011-03-02,-23,0.06212
,2011-03-03,-23,0.05822
,2011-03-04,-23,0.05449
,2011-03-05,-23,0.05097
,2011-03-06,-23,0.04765
,2011-03-07,-23,0.04453
,2011-03-08,-23,0.04161
,2011-03-09,-23,0.03886
,2011-03-10,-23,0.03631
,2011-03-11,-23,0.03393
,2011-03-12,-23,0.03171
,2011-03-13,-23,0.02964
,2011-03-14,-23,0.02771
,2011-03-15,-23,0.02591
,2011-03-16,-23,0.02426
,2011-03-17,-23,0.02273
,2011-03-18,-23,0.02133
,2011-03-19,-23,0.02005
,2011-03-20,-23,0.01889
,2011-03-21,-23,0.01783
,2011-03-22,-23,0.01688
