@T, output
created_at,"Mon May 01 13:45:04 MDT 2023"
date_format,yyyy-MM-dd
@H,time,catchmentSimRunoff,catchmentSimRunoffN,catchmentSimRunoff_NO3,catchmentSimRunoff_NO3_N,catchmentNO3_N_Load_kg_ha,catchmentRD1_w,catchmentRD2_w,catchmentRG1_w,catchmentRG2_w,catchmentNRD1_w,catchmentNRD2_w,catchmentNRG1_w,catchmentNRG2_w,catchmentSed,deepsinkW,deepsinkN
Type,LocalDate,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,m3/s,kg,mg/L,mg/L,kg/ha,mm/m2,mm/m2,mm/m2,mm/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg,L,kg
,2011-01-01,0.02532,0.21705,0.0992,0.0992,0.00003,0.00001,0.03261,3.09738E-6,2.08883E-6,0,3.23632E-9,6.32958E-18,7.76722E-14,0,0,0
,2011-01-02,0.02466,0.20924,0.0982,0.0982,0.00003,0.00001,0.03176,2.98375E-6,2.03703E-6,0,3.11986E-9,1.13349E-17,7.71468E-14,0,0,0
,2011-01-03,0.02428,0.20106,0.09586,0.09586,0.00003,0.00001,0.03126,2.90741E-6,2.00775E-6,0,2.99786E-9,1.50628E-17,7.64455E-14,0,0,0
,2011-01-04,0.02383,0.19279,0.09363,0.09363,0.00003,0.00001,0.03069,2.82662E-6,1.97336E-6,0,2.87461E-9,1.70386E-17,7.56307E-14,0,0,0
,2011-01-05,0.02335,0.18461,0.09151,0.09151,0.00003,0.00001,0.03007,2.74362E-6,1.93555E-6,0,2.75257E-9,1.73972E-17,7.47409E-14,0,0,0
,2011-01-06,0.02284,0.17659,0.08948,0.08948,0.00003,0.00001,0.02941,2.66009E-6,1.89563E-6,0,2.63304E-9,1.674E-17,7.37981E-14,0,0,0
,2011-01-07,0.02232,0.16878,0.08754,0.08754,0.00003,0.00001,0.02874,2.57698E-6,1.85446E-6,0,2.51658E-9,1.54328E-17,7.28141E-14,0,0,0
,2011-01-08,0.02178,0.1612,0.08567,0.08567,0.00002,0.00001,0.02804,2.49479E-6,1.81258E-6,0,2.40347E-9,1.38383E-17,7.17959E-14,0,0,0
,2011-01-09,0.02123,0.15385,0.08387,0.08387,0.00002,0.00001,0.02734,2.41386E-6,1.77041E-6,0,2.29391E-9,1.21951E-17,7.07485E-14,0,0,0
,2011-01-10,0.02068,0.14675,0.08214,0.08214,0.00002,0.00001,0.02663,2.33441E-6,1.7283E-6,0,2.18804E-9,1.0653E-17,6.96768E-14,0,0,0
,2011-01-11,0.02012,0.13991,0.08048,0.08048,0.00002,0.00001,0.02591,2.25663E-6,1.68654E-6,0,2.086E-9,9.25201E-18,6.85857E-14,0,0,0
,2011-01-12,0.01956,0.13332,0.07888,0.07888,0.00002,0.00001,0.02519,2.18064E-6,1.64533E-6,0,1.98784E-9,8.00817E-18,6.74783E-14,0,0,0
,2011-01-13,0.01901,0.12701,0.07733,0.07733,0.00002,0.00001,0.02448,2.10676E-6,1.60502E-6,0,1.89376E-9,6.91292E-18,6.63631E-14,0,0,0
,2011-01-14,0.01846,0.12097,0.07585,0.07585,0.00002,4.76529E-6,0.02377,2.03492E-6,1.56565E-6,0,1.80372E-9,5.95713E-18,6.52427E-14,0,0,0
,2011-01-15,0.01967,0.12876,0.07577,0.07577,0.00002,4.74404E-6,0.02533,2.0939E-6,1.63247E-6,0,1.91983E-9,7.77408E-18,6.8059E-14,0,0,0
,2011-01-16,0.02305,0.15006,0.07535,0.07535,0.00002,4.97055E-6,0.02968,2.28571E-6,1.80842E-6,0,2.23736E-9,2.66452E-17,7.49198E-14,0,0,0
,2011-01-17,0.02817,0.18645,0.07661,0.07661,0.00003,0.00001,0.03628,2.55195E-6,2.04731E-6,0,2.78006E-9,5.52356E-17,8.41631E-14,0,0,0
,2011-01-18,0.03661,0.24118,0.07624,0.07624,0.00004,0.00001,0.04716,2.93286E-6,2.38761E-6,0,3.59598E-9,7.52608E-17,9.74669E-14,0,0,0
,2011-01-19,0.04754,0.31412,0.07648,0.07648,0.00005,0.00001,0.06123,3.32026E-6,2.74633E-6,0,4.68356E-9,7.53139E-17,1.11925E-13,0,0,0
,2011-01-20,0.05385,0.35503,0.07631,0.07631,0.00005,0.00001,0.06936,3.43044E-6,2.88212E-6,0,5.2936E-9,5.85861E-17,1.18808E-13,0,0,0
,2011-01-21,0.05629,0.36998,0.07607,0.07607,0.00006,0.00001,0.07251,3.3626E-6,2.86941E-6,0,5.51658E-9,4.45234E-17,1.21066E-13,0,0,0
