@T, output
created_at,"Mon May 01 13:46:21 MDT 2023"
date_format,yyyy-MM-dd
@H,time,precip,tmean,tmax,tmin,rhum,wind,rain,snow,solRad,netRad,netRainOut,netSnowOut,irrigation_amount,interception,intercStorage,throughfall,snowDepth,snowTotSWE,snowMelt,potET,actET,soilSat,soilSatMPS,soilSatLPS,soilActMPS,soilActLPS,percolation,inRD1,inRD2,inRG1,inRG2,actRG1,actRG2,outRD1,outRD2,outRG1,outRG2,actET,E_dps,E_intercept,genRD1,genRD2,genRG1,genRG2
Type,LocalDate,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,mm,C,C,C,-,-,-,-,MJ/m2/day,MJ/m2,-,-,-,-,-,-,-,mm,-,mm,mm,-,-,-,-,-,l,-,l,-,-,-,-,l,l,-,-,mm,-,-,-,-,-,-
,2011-01-01,0.65246,-17.7533,-15.12944,-20.37716,59.10801,11.94267,0,1922839.74018,10.65597,3.39864,0,2310006.88714,0,628515.69679,3762175.33275,2310006.88714,121.921,22208460.7505,0,82369.69644,82369.69644,0.22042,0.69864,0.0388,38160817.2889,5552910.20713,1041994.29465,0,6576.87697,1329.83085,1.09444,702588.53306,1191874.54549,0,79604.60613,168.46746,19.10557,82369.69644,0,1267812.46267,0,75292.57126,168.46746,19.10557
,2011-01-02,0.32216,-12.70159,-7.53164,-17.87154,39.77941,7.4876,0,902806.14262,11.15595,2.98102,1562.04318,473243.69228,0,429562.45034,2188535.64125,474805.73546,127.76882,22681704.44278,0,864916.91206,847534.04786,0.21059,0.68474,0.0306,38116257.22919,4369242.46717,375709.72466,0,3429.73593,11152.02491,2.1361,878333.42792,1219037.03988,0,32835.82128,86587.4054,26.05052,847534.04786,0,2001640.09867,0,30750.09177,86587.4054,26.05052
,2011-01-03,0.37942,-4.26632,0.98472,-9.51736,38.19707,5.97187,0,1319781.72429,7.3561,2.48298,0,1125198.00233,0,194583.72196,1480975.09113,1125198.00233,138.59437,23806902.44511,0,4079552.34232,3972141.82533,0.18772,0.60519,0.02522,34737243.25239,3591852.46102,264329.78514,0,2264.72716,16269.33312,2.84205,962242.73046,1306773.3791,0,21744.08495,108528.69586,26.64422,3972141.82533,0,902144.27209,0,20387.70463,108528.69586,26.64422
,2011-01-04,0.00991,-6.63186,-1.342,-11.92172,55.80946,9.71388,0,34616.64133,8.67666,2.76705,0,0,0,34616.64133,946133.58813,0,138.59437,23806902.44511,0,2515072.90382,2376262.18088,0.17298,0.56551,0.01826,33063211.04397,2704828.68556,172217.46842,0,1497.62175,19008.27836,3.37154,976308.71929,1364569.22789,0,14474.93482,119040.42435,28.56186,2376262.18088,0,569458.14433,0,13555.16922,119040.42435,28.56186
,2011-01-05,0.52624,-3.80757,0.82574,-8.44088,42.68766,14.52832,0,1567937.08939,5.78264,2.52328,0,749644.92139,0,818292.168,1150538.20772,749644.92139,145.03443,24556547.3665,0,4674653.32541,4448184.9048,0.14873,0.48001,0.01305,29172732.92316,2039151.73448,100483.55386,0,884.64799,19906.71421,3.74297,941597.64502,1392853.39779,0,8669.5557,120855.83289,29.8251,4448184.9048,0,613887.54841,0,8077.85505,120855.83289,29.8251
,2011-01-06,0.20282,-2.17731,0.67714,-5.03175,46.67806,11.02481,0,706027.69086,7.46869,2.66966,0,412612.56624,0,293415.12462,1212413.86105,412612.56624,148.4015,24969159.93274,0,5391751.33892,4922625.79165,0.12719,0.40158,0.00855,25307065.23155,1421756.18399,58381.30399,0,535.05108,19302.72805,3.95611,882611.82441,1412925.17542,0,5342.85413,116571.58784,30.4433,4922625.79165,0,231539.47129,0,4957.02458,116571.58784,30.4433
,2011-01-07,0.00511,2.03718,5.55372,-1.47936,45.34974,5.3778,0,17924.14809,7.08331,2.65361,0,0,0,17924.14809,939833.90805,0,140.0267,24493370.01852,475789.91422,6039007.55722,3976271.24285,0.11759,0.3677,0.00541,22620029.84757,966391.60348,26814.16886,0,321.39568,17869.1029,4.06755,808675.27925,1422276.37253,0,2992.77044,109241.80535,30.882,3976271.24285,0,290504.10108,0,2737.23792,109241.80535,30.882
,2011-01-08,0.74694,0.38162,4.74284,-3.9796,56.66417,4.13949,0,1993336.17074,9.27811,2.84989,0,422715.06574,0,1570621.105,913784.10204,422715.06574,131.55004,23382453.37453,1533631.70974,2464076.18757,1359625.87071,0.11641,0.38586,0.00354,23071895.2142,676037.71606,11032.03574,0,212.27514,16082.67327,4.11387,731846.01815,1426137.89424,0,1674.59921,100055.47589,31.08639,1359625.87071,0,1596670.91102,0,1491.97599,100055.47589,31.08639
