@T, output
created_at,"Mon May 01 13:49:17 MDT 2023"
date_format,yyyy-MM-dd
@H,time,SurfaceN_in,SurfaceNabs,sinterflowN_in,sinterflowNabs,PercoNabs,Denit_trans,Volati_trans,actnup,SurfaceN,sinterflowN,sum_Ninput,PercoN
Type,LocalDate,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,kgN/ha,kgN,kgN,kgN,kgN,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha
,2011-01-01,0,0,0.0046,0.04203,0.94634,0,0,0,0,0.00058,0,0.01134
,2011-01-02,0,0,0.00166,0.01786,0.58672,0,0,0,0,0.00016,0,0.0049
,2011-01-03,0,0,0.00074,0.00883,0.31111,0,0,0,0,0.00008,0,0.00269
,2011-01-04,0,0,0.00041,0.0054,0.19792,0,0,0,0,0.00004,0,0.00169
,2011-01-05,0,0,0.00149,0.00632,0.13852,0,0,0,0,0.00006,0,0.00115
,2011-01-06,0,0,0.00061,0.00232,0.11045,0,0,0,0,0.00002,0,0.00092
,2011-01-07,0,0,0.00025,0.00108,0.05618,0,0,0,0,0.00001,0,0.00046
,2011-01-08,0,0,0.00015,0.00076,0.0088,0,0,0,0,0.00001,0,0.00008
,2011-01-09,0,0,0.0073,0.01763,0.02716,0,0,0,0,0.00011,0,0.00009
,2011-01-10,0,0,0.00295,0.00806,0.33901,0,0,0,0,0.00004,0,0.00165
,2011-01-11,0,0,0.00093,0.00281,0.1339,0,0,0,0,0.00001,0,0.00065
,2011-01-12,0,0,0.00052,0.00158,0.07508,0,0,0,0,0.00001,0,0.00036
,2011-01-13,0,0,0.00071,0.00371,0.06087,0,0,0,0,0.00002,0,0.00029
,2011-01-14,0,0,0.00031,0.00657,0.04981,0,0,0,0,0.00002,0,0.00019
,2011-01-15,0,0,0.00196,0.00328,0.01599,0,0,0,0,0.00002,0,0.00005
,2011-01-16,0,0,0.00082,0.00268,0.00139,0,0,0,0,0.00002,0,0.00001
,2011-01-17,0,0,0.00187,0.00637,0.00133,0,0,0,0,0.00003,0,0.00001
,2011-01-18,0,0,0.00186,0.00462,0.00813,0,0,0,0,0.00003,0,0.00005
,2011-01-19,0,0,0.0012,0.00491,0.00997,0,0,0,0,0.00004,0,0.00008
,2011-01-20,0,0,0.00031,0.00137,0.00815,0,0,0,0,0.00001,0,0.00005
,2011-01-21,0,0,0.00037,0.00115,0.01335,0,0,0,0,0.00001,0,0.00006
,2011-01-22,0,0,0.00063,0.00202,0.03034,0,0,0,0,0.00001,0,0.00026
,2011-01-23,0,0,0.00007,0.00082,0.02666,0,0,0,0,0.00001,0,0.00027
,2011-01-24,0,0,0.00001,0.00028,0.01613,0,0,0,0,2.57591E-6,0,0.00017
,2011-01-25,0,0,0.00001,0.00019,0.01229,0,0,0,0,1.90335E-6,0,0.00014
,2011-01-26,0,0,4.676E-6,0.00011,0.00775,0,0,0,0,1.25871E-6,0,0.00009
,2011-01-27,0,0,0.00014,0.0004,0.00123,0,0,0,0,2.78128E-6,0,0.00001
,2011-01-28,0,0,0.00238,0.0051,0.01208,0,0,0,0,0.00003,0,0.00009
,2011-01-29,0,0,0.0001,0.00163,0.01303,0,0,0,0,0.00002,0,0.00012
,2011-01-30,0,0,0.00109,0.00471,0.00644,0,0,0,0,0.00001,0,0.00005
,2011-01-31,0,0,0.00049,0.00168,0.00543,0,0,0,0,0.00001,0,0.00004
,2011-02-01,0,0,0.00004,0.00017,0.00245,0,0,0,0,7.67143E-7,0,0.00002
,2011-02-02,0,0,0.00003,0.00014,0.00174,0,0,0,0,5.44713E-7,0,0.00001
,2011-02-03,0,0,0.00002,0.00008,0.00136,0,0,0,0,3.33371E-7,0,0.00001
,2011-02-04,0,0,0.00016,0.0006,0.00783,0,0,0,0,3.24931E-6,0,0.00005
,2011-02-05,0,0,0.02649,0.04451,0.17204,0,0,0,0,0.00028,0,0.00093
,2011-02-06,0,0,0.00748,0.05106,0.56036,0,0,0,0,0.00028,0,0.00281
,2011-02-07,0,0,0.00258,0.01411,0.49324,0,0,0,0,0.00011,0,0.00372
,2011-02-08,0,0,0.01217,0.06949,0.5224,0,0,0,0,0.0005,0,0.00396
,2011-02-09,0,0,0.00313,0.02092,0.60119,0,0,0,0,0.0002,0,0.00575
,2011-02-10,0,0,0.00117,0.00918,0.24112,0,0,0,0,0.00009,0,0.00241
,2011-02-11,0,0,0.00117,0.01044,0.23189,0,0,0,0,0.0001,0,0.00217
,2011-02-12,0,0,0.00184,0.02045,0.2364,0,0,0,0,0.00016,0,0.0024
,2011-02-13,0,0,0.00375,0.04579,0.68393,0,0,0,0,0.00037,0,0.0062
,2011-02-14,0,0,0.00787,0.02735,0.80351,0,0,0,0,0.00022,0,0.00795
,2011-02-15,0,0,0.00463,0.01606,0.35196,0,0,0,0,0.0001,0,0.00324
,2011-02-16,0,0,0.00156,0.00709,0.17319,0,0,0,0,0.00004,0,0.00139
,2011-02-17,0,0,0.00165,0.00671,0.14023,0,0,0,0,0.00002,0,0.00049
,2011-02-18,0,0,0.00033,0.00128,0.04652,0,0,0,0,4.19344E-6,0,0.00014
,2011-02-19,0,0,0.00097,0.00378,0.04228,0,0,0,0,0.00002,0,0.00014
,2011-02-20,0,0,0.00114,0.00478,0.05517,0,0,0,0,0.00001,0,0.00016
,2011-02-21,0,0,0.0002,0.00083,0.03314,0,0,0,0,2.91028E-6,0,0.0001
,2011-02-22,0,0,0.00008,0.00035,0.01633,0,0,0,0,1.24796E-6,0,0.00005
,2011-02-23,0,0,0.00006,0.00025,0.01048,0,0,0,0,8.58517E-7,0,0.00004
,2011-02-24,0,0,0.00058,0.00124,0.01461,0,0,0,0,0.00001,0,0.00006
,2011-02-25,0,0,0.00092,0.00315,0.03132,0,0,0,0,0.00002,0,0.00013
,2011-02-26,0,0,0.00019,0.00152,0.04463,0,0,0,0,4.99507E-6,0,0.00012
,2011-02-27,0,0,0.00058,0.00171,0.04018,0,0,0,0,0.00001,0,0.00013
,2011-02-28,0,0,0.00102,0.00237,0.02553,0,0,0,0,0.00001,0,0.00011
,2011-03-01,0,0,0.00047,0.00172,0.01616,0,0,0,0,0.00001,0,0.00007
,2011-03-02,0,0,0.00058,0.00238,0.03655,0,0,0,0,0.00001,0,0.00011
,2011-03-03,0,0,0.00053,0.00223,0.04572,0,0,0,0,0.00001,0,0.00013
,2011-03-04,0,0,0.00033,0.00137,0.03399,0,0,0,0,3.69654E-6,0,0.00009
,2011-03-05,0,0,0.00011,0.00047,0.01747,0,0,0,0,1.33426E-6,0,0.00005
,2011-03-06,0,0,0.00021,0.00072,0.01358,0,0,0,0,3.28531E-6,0,0.00004
,2011-03-07,0,0,0.00062,0.0015,0.01238,0,0,0,0,0.00001,0,0.00005
,2011-03-08,0,0,0.00037,0.0014,0.0172,0,0,0,0,0.00001,0,0.00006
,2011-03-09,0,0,0.00015,0.00058,0.01346,0,0,0,0,2.51047E-6,0,0.00005
,2011-03-10,0,0,0.00009,0.00037,0.00971,0,0,0,0,1.37589E-6,0,0.00004
,2011-03-11,0,0,0.00052,0.00219,0.01921,0,0,0,0,0.00001,0,0.00006
