@T, output
created_at,"Mon May 01 13:49:17 MDT 2023"
date_format,yyyy-MM-dd
@H,time,sNO3_Pool,sNH4_Pool,sN_activ_pool,sN_stable_pool,sNResiduePool
Type,LocalDate,Double,Double,Double,Double,Double
Unit,-,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha
,2011-01-01,0.31405,0,28.86111,2010.76574,0.00034
,2011-01-02,0.30463,0,28.861,2010.76524,0.00034
,2011-01-03,0.28715,0,28.86096,2010.76475,0.00034
,2011-01-04,0.27722,0,28.86099,2010.76425,0.00034
,2011-01-05,0.26268,0,28.86117,2010.7637,0.00034
,2011-01-06,0.25099,0,28.86142,2010.76303,0.00034
,2011-01-07,0.23895,0,28.86176,2010.76236,0.00034
,2011-01-08,0.2394,0,28.86204,2010.76169,0.00034
,2011-01-09,0.24609,0,28.86231,2010.76103,0.00034
,2011-01-10,0.25009,0,28.86258,2010.76036,0.00034
,2011-01-11,0.25471,0,28.86294,2010.75957,0.00034
,2011-01-12,0.25259,0,28.86355,2010.75839,0.00034
,2011-01-13,0.25017,0,28.86332,2010.75722,0.00034
,2011-01-14,0.24725,0,28.86339,2010.75605,0.00034
,2011-01-15,0.24267,0,28.86393,2010.75475,0.00034
,2011-01-16,0.23902,0,28.86463,2010.75346,0.00034
,2011-01-17,0.24086,0,28.86533,2010.75216,0.00034
,2011-01-18,0.2387,0,28.86603,2010.75086,0.00034
,2011-01-19,0.24383,0,28.86632,2010.74956,0.00034
,2011-01-20,0.24781,0,28.86648,2010.74844,0.00034
,2011-01-21,0.25094,0,28.86673,2010.74738,0.00034
,2011-01-22,0.24591,0,28.86725,2010.74632,0.00034
,2011-01-23,0.24393,0,28.86786,2010.74527,0.00034
,2011-01-24,0.23973,0,28.86847,2010.74421,0.00034
,2011-01-25,0.23744,0,28.86908,2010.74315,0.00034
,2011-01-26,0.2317,0,28.86968,2010.74209,0.00034
,2011-01-27,0.22769,0,28.87029,2010.74103,0.00034
,2011-01-28,0.22311,0,28.8709,2010.73998,0.00034
,2011-01-29,0.21421,0,28.87155,2010.73886,0.00034
,2011-01-30,0.21111,0,28.87219,2010.73774,0.00034
