@T, output
created_at,"Mon May 01 13:49:17 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,swc_h[0],swc_h[1],swc_h[2],swc_h[3],outRD2_h[0],outRD2_h[1],outRD2_h[2],outRD2_h[3],NO3_N[0],NO3_N[1],NO3_N[2],NO3_N[3],InterflowN[0],InterflowN[1],InterflowN[2],InterflowN[3]
Type,LocalDate,Integer,Double,Double,Double,Double,Double,Double,Double,Double,Object,Object,Object,Object,Double,Double,Double,Double
Unit,-,-,-,-,-,-,l,l,l,l,mg/L,mg/L,mg/L,mg/L,kgN/ha,kgN/ha,kgN/ha,kgN/ha
,2011-01-01,1,0.10768,0.06882,NaN,NaN,0.00253,0.11822,NaN,NaN,null,null,null,null,2.74661E-7,0.00008,NaN,NaN
,2011-01-01,3,0.11589,0.11719,NaN,NaN,0.00699,0.02543,NaN,NaN,null,null,null,null,0.00001,0.00126,NaN,NaN
,2011-01-01,7,0.22129,0.12963,0.04076,0.01451,0.04479,0.10179,0,0,null,null,null,null,1.88169E-6,0.00002,0,0
,2011-01-01,9,0.11963,0.09057,0.03221,NaN,0.14282,0,0,NaN,null,null,null,null,0.00017,0,0,NaN
,2011-01-01,16,0.19278,0.10139,0.07288,NaN,0.04451,1.42895E-21,3.45591E-40,NaN,null,null,null,null,0.00001,9.54799E-101,0,NaN
,2011-01-02,1,0.10725,0.06434,NaN,NaN,0.00147,0.01765,NaN,NaN,null,null,null,null,1.70156E-7,0.00001,NaN,NaN
,2011-01-02,3,0.11401,0.11604,NaN,NaN,0.00336,0.01198,NaN,NaN,null,null,null,null,0.00001,0.00058,NaN,NaN
,2011-01-02,7,0.21442,0.12598,0.04314,0.01455,0.00884,0.01983,8.10235E-13,0,null,null,null,null,4.24404E-7,2.60159E-6,0,0
,2011-01-02,9,0.11384,0.09906,0.03297,NaN,0.03667,0.00396,0,NaN,null,null,null,null,0.00005,0,0,NaN
,2011-01-02,16,0.18315,0.10394,0.07288,NaN,0.00948,2.49224E-13,8.65904E-30,NaN,null,null,null,null,1.92896E-6,7.57488E-30,1.12227E-67,NaN
,2011-01-03,1,0.10126,0.06272,NaN,NaN,0.0004,0.00803,NaN,NaN,null,null,null,null,5.34592E-8,0.00001,NaN,NaN
,2011-01-03,3,0.1081,0.1152,NaN,NaN,1.98009E-6,0.00562,NaN,NaN,null,null,null,null,4.47798E-9,0.00027,NaN,NaN
,2011-01-03,7,0.21167,0.12418,0.04419,0.01462,0.00353,0.00897,4.37955E-12,0,null,null,null,null,1.69452E-7,1.14882E-6,3.79233E-22,0
,2011-01-03,9,0.10861,0.09906,0.03393,NaN,0.01539,0.00396,0,NaN,null,null,null,null,0.00002,0.00003,0,NaN
,2011-01-03,16,0.17732,0.10549,0.07289,NaN,0.00383,9.78982E-13,4.94382E-29,NaN,null,null,null,null,7.78739E-7,2.52739E-22,2.09141E-51,NaN
,2011-01-04,1,0.09639,0.06315,NaN,NaN,0.01455,0.01021,NaN,NaN,null,null,null,null,2.52613E-6,0.00001,NaN,NaN
,2011-01-04,3,0.09878,0.1144,NaN,NaN,2.02253E-12,0.00288,NaN,NaN,null,null,null,null,5.71027E-15,0.00014,NaN,NaN
,2011-01-04,7,0.20995,0.12157,0.04525,0.0147,0.00175,0.00393,7.20043E-12,0,null,null,null,null,8.3854E-8,4.98573E-7,4.41293E-21,0
,2011-01-04,9,0.09925,0.09445,0.03451,NaN,0.00089,0.00218,0,NaN,null,null,null,null,1.20313E-6,0.00001,0,NaN
,2011-01-04,16,0.16693,0.10315,0.07268,NaN,0.00106,5.70596E-14,7.88492E-31,NaN,null,null,null,null,2.23996E-7,2.42057E-21,3.94765E-50,NaN
,2011-01-05,1,0.10822,0.06241,NaN,NaN,0.00619,0.00662,NaN,NaN,null,null,null,null,3.76037E-6,4.50939E-6,NaN,NaN
,2011-01-05,3,0.11656,0.11498,NaN,NaN,0.01144,0.00392,NaN,NaN,null,null,null,null,0.00005,0.00019,NaN,NaN
,2011-01-05,7,0.20182,0.1177,0.0455,0.01479,0.00079,0.00045,8.25655E-13,0,null,null,null,null,3.78392E-8,5.84508E-8,1.73671E-20,0
,2011-01-05,9,0.09254,0.09101,0.03482,NaN,2.72161E-10,2.34161E-9,0,NaN,null,null,null,null,3.6921E-13,1.65676E-11,0,NaN
,2011-01-05,16,0.15499,0.09975,0.07241,NaN,6.27485E-10,4.44805E-23,1.24687E-42,NaN,null,null,null,null,1.34912E-13,2.78747E-26,1.01083E-56,NaN
,2011-01-06,1,0.09793,0.06226,NaN,NaN,0.00309,0.00597,NaN,NaN,null,null,null,null,1.59411E-6,4.07048E-6,NaN,NaN
,2011-01-06,3,0.10603,0.115,NaN,NaN,0.00493,0.00403,NaN,NaN,null,null,null,null,0.00002,0.00019,NaN,NaN
,2011-01-06,7,0.19926,0.11584,0.04579,0.01489,9.19496E-10,7.45356E-10,5.49248E-20,0,null,null,null,null,4.41227E-14,9.79055E-14,5.72557E-24,0
,2011-01-06,9,0.08192,0.08737,0.03486,NaN,1.45697E-17,2.3219E-15,0,NaN,null,null,null,null,2.02372E-20,2.14833E-17,0,NaN
,2011-01-06,16,0.14704,0.09745,0.07223,NaN,1.23161E-16,1.07914E-32,5.60991E-55,NaN,null,null,null,null,2.68528E-20,6.71314E-36,4.52131E-69,NaN
,2011-01-07,1,0.0864,0.06059,NaN,NaN,2.94423E-10,0.00297,NaN,NaN,null,null,null,null,2.17362E-13,1.98427E-6,NaN,NaN
,2011-01-07,3,0.0954,0.11421,NaN,NaN,6.8925E-10,0.00229,NaN,NaN,null,null,null,null,3.8032E-12,0.00011,NaN,NaN
,2011-01-07,7,0.19926,0.11492,0.04609,0.01499,1.6483E-15,1.32813E-15,3.87611E-27,0,null,null,null,null,7.90946E-20,1.77189E-19,3.97832E-31,0
,2011-01-07,9,0.07491,0.08405,0.03479,NaN,1.95565E-13,2.15446E-21,0,NaN,null,null,null,null,2.86543E-16,2.47467E-23,0,NaN
,2011-01-07,16,0.13619,0.09408,0.07198,NaN,3.85693E-24,2.18261E-44,4.69784E-70,NaN,null,null,null,null,8.4932E-28,1.35071E-47,3.77281E-84,NaN
,2011-01-08,1,0.07722,0.06062,NaN,NaN,0.00552,0.00088,NaN,NaN,null,null,null,null,0.00001,5.97523E-7,NaN,NaN
,2011-01-08,3,0.08906,0.11355,NaN,NaN,0.00063,0.0004,NaN,NaN,null,null,null,null,0.00001,0.00002,NaN,NaN
,2011-01-08,7,0.18977,0.11131,0.04602,0.01509,3.02055E-21,2.0083E-21,1.67522E-34,0,null,null,null,null,1.44943E-25,2.71834E-25,1.69683E-38,0
,2011-01-08,9,0.06277,0.08064,0.03462,NaN,7.60658E-26,2.10471E-28,0,NaN,null,null,null,null,2.69802E-28,2.90342E-30,0,NaN
,2011-01-08,16,0.1206,0.08909,0.0716,NaN,4.04292E-33,4.64129E-61,4.05767E-90,NaN,null,null,null,null,8.96363E-37,2.86195E-64,3.25283E-104,NaN
,2011-01-09,1,0.11159,0.06782,NaN,NaN,0.09562,0.06319,NaN,NaN,null,null,null,null,0.00017,0.00004,NaN,NaN
,2011-01-09,3,0.12025,0.11801,NaN,NaN,0.0769,0.03896,NaN,NaN,null,null,null,null,0.00104,1.75703E-7,NaN,NaN
,2011-01-09,7,0.18427,0.1091,0.046,0.0152,1.676E-27,1.39697E-27,2.8303E-42,0,null,null,null,null,8.04241E-32,1.9092E-31,2.84469E-46,0
,2011-01-09,9,0.05787,0.0788,0.03461,NaN,0,4.76211E-36,0,NaN,null,null,null,null,0,7.67893E-38,0,NaN
,2011-01-09,16,0.17323,0.0867,0.07142,NaN,1.92323E-13,0,0,NaN,null,null,null,null,4.2757E-17,0,0,NaN
,2011-01-10,1,0.10422,0.06542,NaN,NaN,0.01634,0.02681,NaN,NaN,null,null,null,null,0.00001,0.00002,NaN,NaN
,2011-01-10,3,0.11251,0.11704,NaN,NaN,0.01522,0.02338,NaN,NaN,null,null,null,null,0.00009,0.00102,NaN,NaN
,2011-01-10,7,0.18202,0.10799,0.04604,0.0153,4.18431E-34,5.78044E-34,2.60419E-50,0,null,null,null,null,2.00787E-38,7.9592E-38,2.60335E-54,0
,2011-01-10,9,0.05811,0.0781,0.03472,NaN,0,4.36727E-44,0,NaN,null,null,null,null,0,8.06671E-46,0,NaN
,2011-01-10,16,0.16877,0.08747,0.07141,NaN,8.11856E-19,0,0,NaN,null,null,null,null,1.65236E-21,0,0,NaN
,2011-01-11,1,0.10307,0.06307,NaN,NaN,3.83532E-9,0.00978,NaN,NaN,null,null,null,null,2.7709E-12,0.00001,NaN,NaN
,2011-01-11,3,0.11136,0.11578,NaN,NaN,5.07894E-9,0.00965,NaN,NaN,null,null,null,null,3.1727E-11,0.0004,NaN,NaN
,2011-01-11,7,0.18203,0.10763,0.04613,0.0154,7.34274E-41,1.81296E-40,1.75439E-58,0,null,null,null,null,3.5247E-45,2.51254E-44,1.74619E-62,0
,2011-01-11,9,0.05832,0.07745,0.03482,NaN,0,2.76323E-52,0,NaN,null,null,null,null,0,5.76139E-54,0,NaN
,2011-01-11,16,0.16544,0.08805,0.07141,NaN,1.83269E-24,0,0,NaN,null,null,null,null,3.91987E-27,0,0,NaN
,2011-01-12,1,0.10033,0.06216,NaN,NaN,6.15128E-15,0.00559,NaN,NaN,null,null,null,null,4.7259E-18,4.07108E-6,NaN,NaN
,2011-01-12,3,0.10872,0.11521,NaN,NaN,1.27533E-14,0.00535,NaN,NaN,null,null,null,null,8.37332E-17,0.00022,NaN,NaN
,2011-01-12,7,0.18204,0.10728,0.04621,0.01551,1.29117E-47,5.17949E-47,1.04335E-66,0,null,null,null,null,6.19945E-52,7.22251E-51,1.03435E-70,0
,2011-01-12,9,0.05826,0.07681,0.03491,NaN,0,1.22887E-60,0,NaN,null,null,null,null,0,2.85871E-62,0,NaN
