@T, output
created_at,"Mon May 01 13:49:17 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,precip,tmean,outRD1,insed,gensed,outsed,sedpool
Type,LocalDate,Integer,Double,Double,Double,Double,Double,Double,Double
Unit,-,-,mm,C,l,-,t/d,-,-
,2011-01-01,1,0.46839,-15.89028,0,0,0,0,0
,2011-01-01,3,0.28728,-16.17739,0,0,0,0,0
,2011-01-01,7,3.20035,-22.20038,0,0,0,0,0
,2011-01-01,9,0.03275,-18.0206,0,0,0,0,0
,2011-01-01,16,1.17696,-20.18235,0,0,0,0,0
,2011-01-02,1,0,-9.78782,0,0,0,0,0
,2011-01-02,3,0,-10.19533,0,0,0,0,0
,2011-01-02,7,1.79192,-19.94304,0,0,0,0,0
,2011-01-02,9,0.0089,-12.97093,0,0,0,0,0
,2011-01-02,16,0.83334,-16.33397,0,0,0,0,0
,2011-01-03,1,0,-1.3044,0,0,0,0,0
,2011-01-03,3,0,-1.84157,0,0,0,0,0
,2011-01-03,7,1.43581,-11.4969,0,0,0,0,0
,2011-01-03,9,0.00023,-4.83422,0,0,0,0,0
,2011-01-03,16,0.30069,-7.84586,0,0,0,0,0
,2011-01-04,1,0,-5.6285,0,0,0,0,0
,2011-01-04,3,0,-5.73964,0,0,0,0,0
,2011-01-04,7,0.0371,-9.48135,0,0,0,0,0
,2011-01-04,9,0,-6.47691,0,0,0,0,0
,2011-01-04,16,0.00745,-7.4967,0,0,0,0,0
,2011-01-05,1,0.39711,-1.54028,0,0,0,0,0
,2011-01-05,3,0.24356,-1.82739,0,0,0,0,0
,2011-01-05,7,2.65119,-9.40075,0,0,0,0,0
,2011-01-05,9,0.02777,-3.84402,0,0,0,0,0
,2011-01-05,16,0.86889,-6.3557,0,0,0,0,0
,2011-01-06,1,0,0.66698,0,0,0,0,0
,2011-01-06,3,0,0.21315,0,0,0,0,0
,2011-01-06,7,0.74994,-9.34677,0,0,0,0,0
,2011-01-06,9,0,-2.49751,0,0,0,0,0
,2011-01-06,16,0.16284,-5.78397,0,0,0,0,0
,2011-01-07,1,0,4.59314,0,0,0,0,0
,2011-01-07,3,0,4.17637,0,0,0,0,0
,2011-01-07,7,0.01843,-4.24304,0,0,0,0,0
