@T, output
created_at,"Thu Apr 20 00:38:25 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,simRunoff_qm_sec
Type,LocalDate,Integer,Double
Unit,-,-,-
,2011-01-01,-27,0.01786
,2011-01-01,-25,0.01718
,2011-01-01,-23,0.02658
,2011-01-01,-22,0.02644
,2011-01-02,-27,0.02005
,2011-01-02,-25,0.0191
,2011-01-02,-23,0.02778
,2011-01-02,-22,0.02628
,2011-01-03,-27,0.02237
,2011-01-03,-25,0.02044
,2011-01-03,-23,0.03031
,2011-01-03,-22,0.02676
,2011-01-04,-27,0.02461
,2011-01-04,-25,0.02153
,2011-01-04,-23,0.03328
,2011-01-04,-22,0.02755
,2011-01-05,-27,0.02662
,2011-01-05,-25,0.02241
,2011-01-05,-23,0.0361
,2011-01-05,-22,0.02859
,2011-01-06,-27,0.0283
,2011-01-06,-25,0.02307
,2011-01-06,-23,0.03849
,2011-01-06,-22,0.02982
,2011-01-07,-27,0.02962
,2011-01-07,-25,0.02348
,2011-01-07,-23,0.04038
,2011-01-07,-22,0.03116
,2011-01-08,-27,0.03075
,2011-01-08,-25,0.02365
,2011-01-08,-23,0.04462
,2011-01-08,-22,0.03292
,2011-01-09,-27,0.03435
,2011-01-09,-25,0.02362
,2011-01-09,-23,0.05808
,2011-01-09,-22,0.03623
,2011-01-10,-27,0.03493
,2011-01-10,-25,0.02341
,2011-01-10,-23,0.06683
,2011-01-10,-22,0.04049
,2011-01-11,-27,0.03504
,2011-01-11,-25,0.02305
,2011-01-11,-23,0.07292
,2011-01-11,-22,0.04529
,2011-01-12,-27,0.0348
,2011-01-12,-25,0.02257
,2011-01-12,-23,0.07686
,2011-01-12,-22,0.05028
,2011-01-13,-27,0.0343
,2011-01-13,-25,0.02199
,2011-01-13,-23,0.07925
,2011-01-13,-22,0.05516
,2011-01-14,-27,0.03361
,2011-01-14,-25,0.02135
,2011-01-14,-23,0.08055
,2011-01-14,-22,0.05975
,2011-01-15,-27,0.03334
,2011-01-15,-25,0.02065
,2011-01-15,-23,0.08029
,2011-01-15,-22,0.06955
,2011-01-16,-27,0.03607
,2011-01-16,-25,0.01993
,2011-01-16,-23,0.08105
,2011-01-16,-22,0.07485
,2011-01-17,-27,0.03805
,2011-01-17,-25,0.01918
,2011-01-17,-23,0.08487
,2011-01-17,-22,0.07981
,2011-01-18,-27,0.03743
,2011-01-18,-25,0.01843
,2011-01-18,-23,0.08623
,2011-01-18,-22,0.08409
,2011-01-19,-27,0.03777
,2011-01-19,-25,0.01768
,2011-01-19,-23,0.09834
,2011-01-19,-22,0.08975
,2011-01-20,-27,0.0366
,2011-01-20,-25,0.01693
,2011-01-20,-23,0.10118
,2011-01-20,-22,0.09496
,2011-01-21,-27,0.03526
