@T, output
created_at,"Mon May 01 13:50:12 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,SurfaceN_in,SurfaceNabs,sinterflowN_in,sinterflowNabs,PercoNabs,Denit_trans,Volati_trans,actnup,SurfaceN,sinterflowN,sum_Ninput,PercoN
Type,LocalDate,Integer,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,-,kgN/ha,kgN,kgN,kgN,kgN,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha
,2011-01-01,16,0,0,0,0.00562,0,0,0,0,0,0.00001,0,0
,2011-01-02,16,0,0,0,0.00134,1.47041E-32,0,0,0,0,3.5649E-6,0,3.9142E-35
,2011-01-03,16,0,0,0,0.0005,2.57987E-27,0,0,0,0,1.33962E-6,0,6.86757E-30
,2011-01-04,16,0,0,0,0.00014,1.93889E-27,0,0,0,0,3.84501E-7,0,5.1613E-30
,2011-01-05,16,0,0,0,0.00001,2.89511E-29,0,0,0,0,3.0566E-8,0,7.70674E-32
,2011-01-06,16,0,0,0,5.00665E-7,4.5457E-32,0,0,0,0,1.33276E-9,0,1.21006E-34
,2011-01-07,16,0,0,0,2.28565E-8,9.46055E-36,0,0,0,0,6.08435E-11,0,2.51838E-38
,2011-01-08,16,0,0,0,9.65746E-10,1.08838E-40,0,0,0,0,2.5708E-12,0,2.89724E-43
,2011-01-09,16,0,0,0,3.42078E-11,4.027E-45,0,0,0,0,9.10606E-14,0,1.07198E-47
,2011-01-10,16,0,0,0,1.10312E-12,2.38608E-47,0,0,0,0,2.93647E-15,0,6.35171E-50
,2011-01-11,16,0,0,0,3.4873E-14,1.6355E-49,0,0,0,0,9.28313E-17,0,4.35367E-52
,2011-01-12,16,0,0,0,1.07523E-15,1.08162E-51,0,0,0,0,2.86225E-18,0,2.87924E-54
,2011-01-13,16,0,0,0,3.22601E-17,6.84473E-54,0,0,0,0,8.58758E-20,0,1.82205E-56
,2011-01-14,16,0,0,0,9.41106E-19,4.14068E-56,0,0,0,0,2.50521E-21,0,1.10224E-58
,2011-01-15,16,0,0,0,2.66942E-20,2.3903E-58,0,0,0,0,7.10596E-23,0,6.36293E-61
,2011-01-16,16,0,0,0,7.36935E-22,4.92394E-65,0,0,0,0,1.96171E-24,0,1.31074E-67
,2011-01-17,16,0,0,0,1.46779E-23,1.33349E-68,0,0,0,0,3.90724E-26,0,3.54973E-71
,2011-01-18,16,0,0,0,2.85145E-25,4.35452E-71,0,0,0,0,7.5905E-28,0,1.15916E-73
,2011-01-19,16,0,0,0,5.40548E-27,1.58553E-73,0,0,0,0,1.43893E-29,0,4.22066E-76
