@T, output
created_at,"Mon May 01 13:50:12 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,sNO3_Pool,sNH4_Pool,sN_activ_pool,sN_stable_pool,sNResiduePool,surfNO3_pool,surfNH4_pool,NO3_Pool[1],NO3_Pool[2],NO3_Pool[3]
Type,LocalDate,Integer,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,-,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha,-,-,kgN/ha,kgN/ha,kgN/ha
,2011-01-01,1,0.00523,0,47.44864,4338.9374,3.01462E-29,0.00196,0,0.00446,NaN,NaN
,2011-01-01,3,1.06312,0,12.08128,1120.29406,2.30418E-30,0.00188,0,1.0479,NaN,NaN
,2011-01-01,7,0.00308,0,76.52371,474.32434,0.003,0.00514,0,0.00187,0.00091,0
,2011-01-01,9,0.05419,0,37.62843,3272.61258,1.57644E-30,0.00444,0,0.03577,0.00276,NaN
,2011-01-01,16,0.00449,0,9.73566,810.44133,2.013E-17,0.00273,0,0.00365,2.68606E-16,NaN
,2011-01-02,1,0.00492,0,47.44864,4338.9374,3.01462E-29,0.00196,0,0.00415,NaN,NaN
,2011-01-02,3,1.03222,0,12.08128,1120.29406,2.30418E-30,0.00188,0,1.01737,NaN,NaN
,2011-01-02,7,0.00307,0,76.52371,474.32434,0.003,0.00586,0,0.00175,0.00106,1.49853E-11
,2011-01-02,9,0.05337,0,37.62843,3272.61258,1.57644E-30,0.00444,0,0.03593,0.00387,NaN
,2011-01-02,16,0.00449,0,9.73566,810.44133,2.013E-17,0.00307,0,0.00376,3.06876E-11,NaN
,2011-01-03,1,0.00471,0,47.44864,4338.9374,3.01462E-29,0.00196,0,0.00394,NaN,NaN
,2011-01-03,3,1.01932,0,12.08128,1120.29406,2.30418E-30,0.00188,0,1.00449,NaN,NaN
,2011-01-03,7,0.00307,0,76.52371,474.32434,0.003,0.00643,0,0.00171,0.0011,4.11461E-11
