@T, output
created_at,"Sun Apr 30 05:11:03 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,simRunoff_qm_sec
Type,LocalDate,Integer,Double
Unit,-,-,-
,2011-01-01,-27,0.02199
,2011-01-01,-25,0.01661
,2011-01-01,-23,0.03427
,2011-01-01,-22,0.03864
,2011-01-02,-27,0.02283
,2011-01-02,-25,0.01678
,2011-01-02,-23,0.03509
,2011-01-02,-22,0.0379
,2011-01-03,-27,0.02373
,2011-01-03,-25,0.01631
,2011-01-03,-23,0.03754
,2011-01-03,-22,0.03791
,2011-01-04,-27,0.02437
,2011-01-04,-25,0.01566
,2011-01-04,-23,0.04022
,2011-01-04,-22,0.03833
,2011-01-05,-27,0.02463
,2011-01-05,-25,0.01494
,2011-01-05,-23,0.04231
,2011-01-05,-22,0.03904
,2011-01-06,-27,0.02452
,2011-01-06,-25,0.01429
,2011-01-06,-23,0.04351
,2011-01-06,-22,0.03984
,2011-01-07,-27,0.02413
,2011-01-07,-25,0.01364
,2011-01-07,-23,0.04387
,2011-01-07,-22,0.0406
,2011-01-08,-27,0.02352
,2011-01-08,-25,0.01296
,2011-01-08,-23,0.04353
,2011-01-08,-22,0.0412
,2011-01-09,-27,0.02316
,2011-01-09,-25,0.01226
,2011-01-09,-23,0.05287
,2011-01-09,-22,0.04314
,2011-01-10,-27,0.02229
,2011-01-10,-25,0.01155
,2011-01-10,-23,0.05941
,2011-01-10,-22,0.04596
,2011-01-11,-27,0.02132
,2011-01-11,-25,0.01083
,2011-01-11,-23,0.06365
,2011-01-11,-22,0.0492
,2011-01-12,-27,0.02033
,2011-01-12,-25,0.01012
,2011-01-12,-23,0.06594
,2011-01-12,-22,0.05249
,2011-01-13,-27,0.01932
,2011-01-13,-25,0.00944
,2011-01-13,-23,0.06662
,2011-01-13,-22,0.05552
,2011-01-14,-27,0.01831
,2011-01-14,-25,0.00879
,2011-01-14,-23,0.06598
,2011-01-14,-22,0.05807
,2011-01-15,-27,0.02099
,2011-01-15,-25,0.00819
,2011-01-15,-23,0.06471
,2011-01-15,-22,0.06005
,2011-01-16,-27,0.02157
,2011-01-16,-25,0.00762
,2011-01-16,-23,0.06296
,2011-01-16,-22,0.06143
,2011-01-17,-27,0.02171
,2011-01-17,-25,0.00709
,2011-01-17,-23,0.06088
,2011-01-17,-22,0.06224
,2011-01-18,-27,0.02162
,2011-01-18,-25,0.00659
,2011-01-18,-23,0.05858
,2011-01-18,-22,0.06251
,2011-01-19,-27,0.02122
,2011-01-19,-25,0.00614
,2011-01-19,-23,0.05637
,2011-01-19,-22,0.06233
,2011-01-20,-27,0.02059
,2011-01-20,-25,0.00572
,2011-01-20,-23,0.05404
,2011-01-20,-22,0.06176
,2011-01-21,-27,0.01998
