@T, output
created_at,"Sun Apr 30 03:45:02 MDT 2023"
date_format,yyyy-MM-dd
@H,time,catchmentSimRunoff
Type,LocalDate,Double
Unit,-,m3/s
,2011-01-01,0.04802
,2011-01-02,0.04553
,2011-01-03,0.0432
,2011-01-04,0.04093
,2011-01-05,0.03878
,2011-01-06,0.03677
,2011-01-07,0.03491
,2011-01-08,0.03317
,2011-01-09,0.03159
,2011-01-10,0.03016
,2011-01-11,0.02894
,2011-01-12,0.02794
,2011-01-13,0.02714
,2011-01-14,0.02651
,2011-01-15,0.02601
,2011-01-16,0.02561
,2011-01-17,0.02526
,2011-01-18,0.02492
,2011-01-19,0.02457
,2011-01-20,0.0242
,2011-01-21,0.02379
,2011-01-22,0.02335
,2011-01-23,0.02288
,2011-01-24,0.02239
,2011-01-25,0.02187
,2011-01-26,0.02134
,2011-01-27,0.02079
,2011-01-28,0.02023
,2011-01-29,0.01967
,2011-01-30,0.0191
,2011-01-31,0.01853
,2011-02-01,0.01796
,2011-02-02,0.01739
,2011-02-03,0.01681
,2011-02-04,0.01624
,2011-02-05,0.01568
,2011-02-06,0.01513
,2011-02-07,0.01459
,2011-02-08,0.01406
,2011-02-09,0.01354
,2011-02-10,0.01304
,2011-02-11,0.01255
,2011-02-12,0.01208
,2011-02-13,0.01163
,2011-02-14,0.01119
,2011-02-15,0.01079
,2011-02-16,0.01047
,2011-02-17,0.01187
,2011-02-18,0.01564
,2011-02-19,0.02192
,2011-02-20,0.03037
,2011-02-21,0.04025
,2011-02-22,0.05063
,2011-02-23,0.06063
,2011-02-24,0.06957
,2011-02-25,0.07698
,2011-02-26,0.08268
,2011-02-27,0.08664
,2011-02-28,0.08895
,2011-03-01,0.0898
,2011-03-02,0.08944
,2011-03-03,0.0881
,2011-03-04,0.08601
,2011-03-05,0.08336
,2011-03-06,0.08031
,2011-03-07,0.077
,2011-03-08,0.07353
,2011-03-09,0.07
,2011-03-10,0.06646
,2011-03-11,0.06297
,2011-03-12,0.05957
,2011-03-13,0.05628
,2011-03-14,0.05311
,2011-03-15,0.05009
,2011-03-16,0.04721
,2011-03-17,0.04449
,2011-03-18,0.04191
,2011-03-19,0.03948
,2011-03-20,0.03719
,2011-03-21,0.03504
,2011-03-22,0.03302
,2011-03-23,0.03112
,2011-03-24,0.02934
,2011-03-25,0.02767
,2011-03-26,0.0261
,2011-03-27,0.02464
,2011-03-28,0.02326
,2011-03-29,0.02198
,2011-03-30,0.02077
,2011-03-31,0.01965
,2011-04-01,0.01859
,2011-04-02,0.01761
,2011-04-03,0.01669
,2011-04-04,0.01582
,2011-04-05,0.01501
,2011-04-06,0.01425
,2011-04-07,0.01353
,2011-04-08,0.01286
,2011-04-09,0.01224
,2011-04-10,0.01165
,2011-04-11,0.01109
,2011-04-12,0.01058
,2011-04-13,0.01076
,2011-04-14,0.0182
,2011-04-15,0.02968
,2011-04-16,0.04522
,2011-04-17,0.06326
,2011-04-18,0.08166
,2011-04-19,0.09884
,2011-04-20,0.11433
,2011-04-21,0.1287
,2011-04-22,0.14307
,2011-04-23,0.15825
,2011-04-24,0.17468
,2011-04-25,0.19279
,2011-04-26,0.21641
,2011-04-27,0.24104
,2011-04-28,0.2621
,2011-04-29,0.27732
,2011-04-30,0.28645
,2011-05-01,0.29043
,2011-05-02,0.29057
,2011-05-03,0.28801
,2011-05-04,0.28357
,2011-05-05,0.27784
,2011-05-06,0.27124
,2011-05-07,0.26383
,2011-05-08,0.25573
,2011-05-09,0.24719
,2011-05-10,0.23851
,2011-05-11,0.23297
,2011-05-12,0.25857
,2011-05-13,0.3041
,2011-05-14,0.35327
,2011-05-15,0.39408
,2011-05-16,0.4222
,2011-05-17,0.43738
,2011-05-18,0.79357
,2011-05-19,0.93281
,2011-05-20,1.07458
,2011-05-21,1.1869
,2011-05-22,1.2221
,2011-05-23,1.22472
,2011-05-24,1.20497
,2011-05-25,1.16931
,2011-05-26,1.12255
,2011-05-27,1.06863
,2011-05-28,1.01094
,2011-05-29,0.95352
