@T, output
created_at,"Mon May 01 13:55:06 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,SurfaceN_in,SurfaceNabs,sinterflowN_in,sinterflowNabs,PercoNabs,Denit_trans,Volati_trans,actnup,SurfaceN,sinterflowN,sum_Ninput,PercoN
Type,LocalDate,Integer,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,-,kgN/ha,kgN,kgN,kgN,kgN,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha
,2011-01-01,1,0,0,0.1198,0.07973,0.79207,0,0,0,0,0.00019,0,0.00194
,2011-01-01,3,0,0,0,0.326,4.34137,0,0,0,0,0.0015,0,0.02
,2011-01-01,7,0,0,0,0.00748,0,0,0,0,0,0.00003,0,0
,2011-01-01,9,0,0,0,0.1048,2.02465E-37,0,0,0,0,0.00034,0,6.52586E-40
,2011-01-01,16,0,0,0,0.00654,0,0,0,0,0,0.00002,0,0
,2011-01-02,1,0,0,0.08105,0.02279,0.2267,0,0,0,0,0.00006,0,0.00055
,2011-01-02,3,0,0,0,0.22444,3.01898,0,0,0,0,0.00103,0,0.01391
,2011-01-02,7,0,0,0,0.00204,3.04344E-41,0,0,0,0,0.00001,0,1.41753E-43
,2011-01-02,9,0,0,0,0.02,6.54534E-20,0,0,0,0,0.00006,0,2.1097E-22
,2011-01-02,16,0,0,0,0.00108,9.43567E-20,0,0,0,0,2.8723E-6,0,2.51176E-22
,2011-01-03,1,0,0,0.05953,0.01197,0.11902,0,0,0,0,0.00003,0,0.00029
,2011-01-03,3,0,0,0,0.16487,2.21766,0,0,0,0,0.00076,0,0.01022
,2011-01-03,7,0,0,0,0.00113,3.01129E-22,0,0,0,0,0.00001,0,1.40256E-24
,2011-01-03,9,0,0,0,0.01419,7.66471E-20,0,0,0,0,0.00005,0,2.47049E-22
,2011-01-03,16,0,0,0,0.00072,1.56217E-19,0,0,0,0,1.92072E-6,0,4.15848E-22
,2011-01-04,1,0,0,0.03962,0.0071,0.07062,0,0,0,0,0.00002,0,0.00017
,2011-01-04,3,0,0,0,0.10972,1.47583,0,0,0,0,0.00051,0,0.0068
,2011-01-04,7,0,0,0,0.00073,5.53499E-22,0,0,0,0,3.40914E-6,0,2.57801E-24
,2011-01-04,9,0,0,0,0.00862,9.50223E-21,0,0,0,0,0.00003,0,3.06276E-23
,2011-01-04,16,0,0,0,0.00051,1.34662E-19,0,0,0,0,1.36974E-6,0,3.58468E-22
,2011-01-05,1,0,0,0.02432,0.00423,0.04209,0,0,0,0,0.00001,0,0.0001
,2011-01-05,3,0,0,0,0.06735,0.9059,0,0,0,0,0.00031,0,0.00417
