@T, output
created_at,"Thu Apr 20 02:25:44 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,simRunoff_qm_sec
Type,LocalDate,Integer,Double
Unit,-,-,-
,2011-01-01,-22,0.03147
,2011-01-02,-22,0.03043
,2011-01-03,-22,0.02957
,2011-01-04,-22,0.02862
,2011-01-05,-22,0.02763
,2011-01-06,-22,0.02661
,2011-01-07,-22,0.0256
,2011-01-08,-22,0.0246
,2011-01-09,-22,0.02362
,2011-01-10,-22,0.02266
,2011-01-11,-22,0.02174
,2011-01-12,-22,0.02085
,2011-01-13,-22,0.01999
,2011-01-14,-22,0.01916
,2011-01-15,-22,0.01838
,2011-01-16,-22,0.01762
,2011-01-17,-22,0.0169
,2011-01-18,-22,0.01621
,2011-01-19,-22,0.01556
,2011-01-20,-22,0.01493
,2011-01-21,-22,0.01434
,2011-01-22,-22,0.01377
,2011-01-23,-22,0.01323
,2011-01-24,-22,0.01272
,2011-01-25,-22,0.01224
,2011-01-26,-22,0.01177
,2011-01-27,-22,0.01134
,2011-01-28,-22,0.01092
,2011-01-29,-22,0.01052
,2011-01-30,-22,0.01014
,2011-01-31,-22,0.00978
,2011-02-01,-22,0.00944
,2011-02-02,-22,0.00911
,2011-02-03,-22,0.0088
,2011-02-04,-22,0.0085
,2011-02-05,-22,0.00822
,2011-02-06,-22,0.00795
,2011-02-07,-22,0.00769
,2011-02-08,-22,0.00745
,2011-02-09,-22,0.00721
,2011-02-10,-22,0.00699
,2011-02-11,-22,0.00678
,2011-02-12,-22,0.00657
,2011-02-13,-22,0.00638
,2011-02-14,-22,0.00619
,2011-02-15,-22,0.00606
,2011-02-16,-22,0.0064
,2011-02-17,-22,0.00757
,2011-02-18,-22,0.01001
,2011-02-19,-22,0.01397
,2011-02-20,-22,0.01944
,2011-02-21,-22,0.02601
,2011-02-22,-22,0.03313
,2011-02-23,-22,0.04019
,2011-02-24,-22,0.04669
,2011-02-25,-22,0.0523
,2011-02-26,-22,0.05684
,2011-02-27,-22,0.06025
,2011-02-28,-22,0.06257
,2011-03-01,-22,0.06387
,2011-03-02,-22,0.06429
,2011-03-03,-22,0.06397
,2011-03-04,-22,0.06304
,2011-03-05,-22,0.06164
,2011-03-06,-22,0.05988
,2011-03-07,-22,0.05786
,2011-03-08,-22,0.05568
,2011-03-09,-22,0.05339
,2011-03-10,-22,0.05104
,2011-03-11,-22,0.0487
,2011-03-12,-22,0.04637
,2011-03-13,-22,0.0441
,2011-03-14,-22,0.04189
,2011-03-15,-22,0.03977
,2011-03-16,-22,0.03773
,2011-03-17,-22,0.03578
,2011-03-18,-22,0.03393
,2011-03-19,-22,0.03217
,2011-03-20,-22,0.0305
,2011-03-21,-22,0.02893
,2011-03-22,-22,0.02744
