@T, output
created_at,"Sun Apr 30 06:48:42 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,simRunoff_qm_sec
Type,LocalDate,Integer,Double
Unit,-,-,-
,2011-01-01,-27,0.0378
,2011-01-02,-27,0.03576
,2011-01-03,-27,0.03384
,2011-01-04,-27,0.0318
,2011-01-05,-27,0.02956
,2011-01-06,-27,0.02728
,2011-01-07,-27,0.02506
,2011-01-08,-27,0.02299
,2011-01-09,-27,0.0211
,2011-01-10,-27,0.0194
,2011-01-11,-27,0.01788
,2011-01-12,-27,0.01652
,2011-01-13,-27,0.0153
,2011-01-14,-27,0.01421
,2011-01-15,-27,0.01338
,2011-01-16,-27,0.01327
,2011-01-17,-27,0.01255
,2011-01-18,-27,0.01156
,2011-01-19,-27,0.01129
,2011-01-20,-27,0.01081
,2011-01-21,-27,0.01022
,2011-01-22,-27,0.00975
,2011-01-23,-27,0.00934
,2011-01-24,-27,0.00897
,2011-01-25,-27,0.00862
,2011-01-26,-27,0.00827
,2011-01-27,-27,0.00795
,2011-01-28,-27,0.00762
,2011-01-29,-27,0.00731
,2011-01-30,-27,0.00701
,2011-01-31,-27,0.00671
,2011-02-01,-27,0.00643
,2011-02-02,-27,0.00615
,2011-02-03,-27,0.00588
,2011-02-04,-27,0.00562
,2011-02-05,-27,0.00537
,2011-02-06,-27,0.00513
,2011-02-07,-27,0.0049
,2011-02-08,-27,0.00468
,2011-02-09,-27,0.00446
,2011-02-10,-27,0.00425
,2011-02-11,-27,0.00406
,2011-02-12,-27,0.00387
,2011-02-13,-27,0.00369
,2011-02-14,-27,0.00352
,2011-02-15,-27,0.00335
,2011-02-16,-27,0.01065
,2011-02-17,-27,0.03059
,2011-02-18,-27,0.03087
,2011-02-19,-27,0.02897
,2011-02-20,-27,0.02695
,2011-02-21,-27,0.02515
,2011-02-22,-27,0.02358
,2011-02-23,-27,0.0222
,2011-02-24,-27,0.02108
,2011-02-25,-27,0.02039
,2011-02-26,-27,0.0196
,2011-02-27,-27,0.01863
,2011-02-28,-27,0.01755
,2011-03-01,-27,0.0164
,2011-03-02,-27,0.01535
,2011-03-03,-27,0.01439
,2011-03-04,-27,0.01354
,2011-03-05,-27,0.01276
,2011-03-06,-27,0.01204
,2011-03-07,-27,0.01137
,2011-03-08,-27,0.01075
,2011-03-09,-27,0.01016
,2011-03-10,-27,0.00961
,2011-03-11,-27,0.00909
,2011-03-12,-27,0.00869
,2011-03-13,-27,0.00848
,2011-03-14,-27,0.00842
,2011-03-15,-27,0.00849
,2011-03-16,-27,0.00865
,2011-03-17,-27,0.00883
,2011-03-18,-27,0.00897
,2011-03-19,-27,0.00901
,2011-03-20,-27,0.00895
,2011-03-21,-27,0.00884
,2011-03-22,-27,0.00876
