@T, output
created_at,"Mon May 01 13:56:34 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,simRunoff_qm_sec,simRunoff,reachNitrateConcentration,reachNitrateLoads,actRD1,actRD2,actRG1,actRG2,outRD1,outRD2,outRG1,outRG2
Type,LocalDate,Integer,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,-,-,-,mg/L as N,kg as N,-,-,-,-,-,-,-,-
,2011-01-01,-27,0.01532,1323435.44118,0.02841,0.22999,8.74828E-11,6770754.71814,409.00724,455.3307,1.70975E-11,1323266.51622,79.93578,88.98917
,2011-01-01,-25,0.00964,833176.00931,0.00888,0.06034,3.70144E-11,5963662.99129,380.02881,548.28904,5.17043E-12,833046.33535,53.08509,76.58886
,2011-01-01,-23,0.02483,2145135.52944,0.04439,0.43438,44.47903,7640091.75444,608.41948,462.56242,12.48671,2144822.38326,170.80315,129.85632
,2011-01-01,-22,0.02609,2253988.41733,0.09926,0.22891,16.38923,52220.39955,4.97583,3.34621,707.07337,2252922.30971,214.6703,144.36395
,2011-01-02,-27,0.01465,1265632.06104,0.11594,0.91453,8.03496E-11,6563631.35727,58493.17738,470.60552,1.53555E-11,1254363.60019,11178.52429,89.93656
,2011-01-02,-25,0.00955,825164.17603,0.00713,0.04818,3.48539E-11,5935965.56721,380.91878,587.89315,4.84428E-12,825029.52255,52.94324,81.71025
,2011-01-02,-23,0.02341,2023001.50061,0.05965,0.56292,49.32549,7358531.8792,54327.71901,452.18867,13.46023,2008039.37759,14825.26689,123.3959
,2011-01-02,-22,0.02546,2199818.33835,0.09925,0.22344,15.39842,51348.25168,23.60314,3.29856,659.14305,2198007.64404,1010.35346,141.1978
,2011-01-03,-27,0.0142,1226614.44887,0.25724,1.99281,7.39521E-11,6368898.41629,150878.95147,494.85545,1.39121E-11,1198137.52453,28383.83055,93.09379
,2011-01-03,-25,0.00927,801207.21897,0.00569,0.03786,3.27492E-11,5850465.92284,396.8138,622.78959,4.48415E-12,801067.61107,54.33323,85.27467
,2011-01-03,-23,0.02292,1980601.85374,0.09294,0.8656,55.30456,7142554.81206,189791.24023,462.45069,14.93773,1929199.51502,51262.49336,124.90764
,2011-01-03,-22,0.02519,2176492.24666,0.0989,0.22031,14.62541,50916.98026,85.98422,3.28603,623.90342,2172060.17666,3667.98842,140.17815
,2011-01-04,-27,0.01388,1199542.8682,0.43595,3.3341,6.81533E-11,6181017.96114,266873.75846,524.97945,1.2678E-11,1149801.0069,49644.20394,97.65736
,2011-01-04,-25,0.00885,765039.43796,0.00448,0.02907,3.07532E-11,5722267.70958,435.04429,655.20013,4.11077E-12,764893.70534,58.15223,87.58039
,2011-01-04,-23,0.02301,1987676.58149,0.14202,1.32562,59.79302,6942580.10243,403214.8774,492.71038,16.178,1878430.59646,109096.49604,133.31099
,2011-01-04,-22,0.02497,2157293.30052,0.10264,0.22663,13.905,50483.90384,214.73005,3.28572,591.47529,2147428.11304,9133.94804,139.76415
,2011-01-05,-27,0.01363,1177711.93097,0.63945,4.83915,6.28531E-11,5990654.72182,398725.79693,558.40508,1.15843E-11,1104120.96646,73488.04642,102.91809
,2011-01-05,-25,0.00828,715037.50396,0.00214,0.01338,2.89108E-11,5540342.6564,497.88803,686.37174,3.73043E-12,714884.69587,64.24378,88.56431
,2011-01-05,-23,0.02336,2018121.43446,0.20299,1.91261,61.67662,6733824.87825,669708.53774,538.87801,16.811,1835417.40014,182540.34303,146.88028
,2011-01-05,-22,0.02481,2143834.10545,0.10979,0.24092,13.23265,50060.49307,424.51598,3.30307,561.73755,2125111.08063,18021.06924,140.21803
,2011-01-06,-27,0.01339,1157045.16331,0.85658,6.41676,5.79964E-11,5794733.65603,538801.55226,593.4919,1.05941E-11,1058514.73292,98422.01817,108.41222
,2011-01-06,-25,0.00768,663288.04283,0.00103,0.00622,2.72311E-11,5345725.1867,592.23506,717.57825,3.37796E-12,663125.56334,73.46547,89.01402
