@T, output
created_at,"Mon May 01 13:23:24 MDT 2023"
date_format,yyyy-MM-dd
@H,time,SurfaceN_in,SurfaceNabs,sinterflowN_in,sinterflowNabs,PercoNabs,Denit_trans,Volati_trans,actnup,SurfaceN,sinterflowN,sum_Ninput,PercoN
Type,LocalDate,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,kgN/ha,kgN,kgN,kgN,kgN,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha
,2011-01-01,0,0,0.00927,0.08524,0.78568,0,0,0,0,0.00122,0,0.00996
,2011-01-02,0,0,0.00287,0.03254,0.46376,0,0,0,0,0.00031,0,0.00398
,2011-01-03,0,0,0.00135,0.01816,0.28297,0,0,0,0,0.00018,0,0.00255
,2011-01-04,0,0,0.00062,0.01028,0.17644,0,0,0,0,0.00011,0,0.00171
,2011-01-05,0,0,0.00018,0.00456,0.09274,0,0,0,0,0.00006,0,0.00105
,2011-01-06,0,0,0.00001,0.00223,0.05439,0,0,0,0,0.00003,0,0.00064
,2011-01-07,0,0,1.82604E-7,0.00125,0.03329,0,0,0,0,0.00002,0,0.00039
,2011-01-08,0,0,5.38066E-9,0.00062,0.01771,0,0,0,0,0.00001,0,0.00021
,2011-01-09,0,0,0.00789,0.01495,0.01222,0.00103,0,0,0,0.0001,0,0.00006
,2011-01-10,0,0,0.00211,0.0051,0.07615,0,0,0,0,0.00002,0,0.00035
,2011-01-11,0,0,0.00098,0.00295,0.05598,0,0,0,0,0.00001,0,0.00026
,2011-01-12,0,0,0.00063,0.00193,0.0367,0,0,0,0,0.00001,0,0.00017
,2011-01-13,0,0,0.00042,0.00136,0.0255,0,0,0,0,0.00001,0,0.00011
,2011-01-14,0,0,0.00028,0.00087,0.01651,0,0,0,0,3.88804E-6,0,0.00007
,2011-01-15,0,0,0.00011,0.00388,0.0609,0,0,0,0,0.00001,0,0.00013
,2011-01-16,0,0,0.00062,0.00077,0.00068,0.00009,0,0,0,0.00001,0,0.00002
,2011-01-17,0,0,0.00041,0.00051,0.00495,0.00005,0,0,0,0.00001,0,0.00005
,2011-01-18,0,0,0.00026,0.00029,0.00359,0,0,0,0,4.20513E-6,0,0.00003
,2011-01-19,0,0,0.00067,0.00102,0.0066,0.00005,0,0,0,0.00002,0,0.00007
,2011-01-20,0,0,0.00027,0.00038,0.00391,0,0,0,0,0.00001,0,0.00004
,2011-01-21,0,0,0.00014,0.00016,0.00216,0,0,0,0,2.27666E-6,0,0.00002
,2011-01-22,0,0,0.00006,0.00089,0.00382,0.00009,0,0,0,2.93157E-6,0,0.00002
,2011-01-23,0,0,0.00003,0.00032,0.00285,0,0,0,0,1.15812E-6,0,0.00001
,2011-01-24,0,0,0.00002,0.0001,0.00148,0,0,0,0,3.97258E-7,0,0.00001
,2011-01-25,0,0,0.00001,0.00005,0.00073,0,0,0,0,1.70173E-7,0,2.3287E-6
,2011-01-26,0,0,3.42179E-7,0.00002,0.00027,0,0,0,0,4.80727E-8,0,7.00879E-7
,2011-01-27,0,0,2.23181E-7,4.91741E-6,0.00007,0,0,0,0,1.25937E-8,0,1.6883E-7
,2011-01-28,0,0,3.95625E-10,1.23588E-7,1.67719E-6,0,0,0,0,3.57531E-10,0,4.11885E-9
,2011-01-29,0,0,6.16752E-12,1.11738E-8,4.47627E-8,0,0,0,0,7.60356E-11,0,1.09886E-10
,2011-01-30,0,0,1.43085E-13,7.44543E-9,1.12305E-9,0,0,0,0,6.23929E-11,0,2.75615E-12
,2011-01-31,0,0,2.9769E-15,2.00023E-10,2.4887E-11,0,0,0,0,1.67835E-12,0,6.10554E-14
,2011-02-01,0,0,5.59839E-17,4.89258E-12,4.94326E-13,0,0,0,0,4.10995E-14,0,1.21244E-15
,2011-02-02,0,0,9.8208E-19,1.21315E-13,9.10874E-15,0,0,0,0,1.02038E-15,0,2.23371E-17
,2011-02-03,0,0,1.63588E-20,2.99725E-15,1.58426E-16,0,0,0,0,2.5237E-17,0,3.88445E-19
,2011-02-04,0,0,2.59529E-22,7.23918E-17,2.6077E-18,0,0,0,0,6.10041E-19,0,6.39304E-21
,2011-02-05,0,0,3.92514E-24,1.73732E-18,4.06975E-20,0,0,0,0,1.46493E-20,0,9.97639E-23
,2011-02-06,0,0,5.64006E-26,4.13929E-20,6.00656E-22,0,0,0,0,3.4918E-22,0,1.4723E-24
,2011-02-07,0,0,7.55149E-28,9.78765E-22,8.20303E-24,0,0,0,0,8.25905E-24,0,2.01057E-26
,2011-02-08,0,0,9.50392E-30,2.29666E-23,1.04808E-25,0,0,0,0,1.93834E-25,0,2.56873E-28
,2011-02-09,0,0,1.13253E-31,5.34779E-25,1.26334E-27,0,0,0,0,4.51391E-27,0,3.09623E-30
,2011-02-10,0,0,1.27243E-33,1.23572E-26,1.4306E-29,0,0,0,0,1.0431E-28,0,3.50608E-32
,2011-02-11,0,0,1.36298E-35,2.83373E-28,1.53926E-31,0,0,0,0,2.39207E-30,0,3.77238E-34
,2011-02-12,0,0,1.39154E-37,6.44931E-30,1.57075E-33,0,0,0,0,5.44423E-32,0,3.84959E-36
,2011-02-13,0,0,1.33756E-39,1.45686E-31,1.49199E-35,0,0,0,0,1.22983E-33,0,3.65679E-38
,2011-02-14,0,0,1.2051E-41,3.26669E-33,1.30788E-37,0,0,0,0,2.75763E-35,0,3.20593E-40
,2011-02-15,0,0,0.03622,0.06318,0.05913,0.00112,0,0,0,0.00046,0,0.00018
,2011-02-16,0,0,0.03711,0.13039,0.20957,0.0019,0,0,0,0.00066,0,0.00101
,2011-02-17,0,0,0.02584,0.10449,0.63687,0.00088,0,0,0,0.00073,0,0.00318
,2011-02-18,0,0,0.0062,0.02834,0.39509,0,0,0,0,0.00042,0,0.00386
,2011-02-19,0,0,0.00218,0.01325,0.20447,0,0,0,0,0.00013,0,0.00184
,2011-02-20,0,0,0.00098,0.01189,0.12651,0,0,0,0,0.00012,0,0.00097
,2011-02-21,0,0,0.0005,0.00343,0.05113,0,0,0,0,0.00003,0,0.00043
,2011-02-22,0,0,0.0001,0.00105,0.01503,0,0,0,0,0.00001,0,0.00013
,2011-02-23,0,0,0.00004,0.0003,0.00437,0,0,0,0,1.46898E-6,0,0.00002
,2011-02-24,0,0,0.00002,0.00006,0.00095,0,0,0,0,3.18636E-7,0,4.30164E-6
,2011-02-25,0,0,2.31226E-6,3.47725E-6,0.00005,0,0,0,0,2.59724E-8,0,3.48649E-7
,2011-02-26,0,0,5.61117E-8,8.49986E-8,1.24688E-6,0,0,0,0,6.19295E-10,0,8.67484E-9
,2011-02-27,0,0,4.31473E-8,5.01867E-8,3.24548E-8,0,0,0,0,3.35556E-10,0,2.29012E-10
,2011-02-28,0,0,1.53628E-9,5.77265E-9,8.39722E-10,0,0,0,0,9.22168E-11,0,6.13014E-12
,2011-03-01,0,0,1.0636E-12,1.75715E-12,1.9915E-11,0,0,0,0,1.69814E-14,0,1.46201E-13
,2011-03-02,0,0,2.26372E-14,3.01433E-14,4.43448E-13,0,0,0,0,2.26312E-16,0,3.2778E-15
,2011-03-03,0,0,4.68691E-16,6.31698E-16,9.28615E-15,0,0,0,0,4.65254E-18,0,6.75004E-17
