@T, output
created_at,"Mon May 01 13:23:24 MDT 2023"
date_format,yyyy-MM-dd
@H,time,sNO3_Pool,sNH4_Pool,sN_activ_pool,sN_stable_pool,sNResiduePool
Type,LocalDate,Double,Double,Double,Double,Double
Unit,-,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha
,2011-01-01,0.31346,0,28.86125,2010.76574,0.00034
,2011-01-02,0.31001,0,28.86123,2010.76524,0.00034
,2011-01-03,0.292,0,28.86125,2010.76475,0.00034
,2011-01-04,0.28007,0,28.86131,2010.76426,0.00034
,2011-01-05,0.25929,0,28.86141,2010.76376,0.00034
,2011-01-06,0.24174,0,28.86156,2010.76327,0.00034
,2011-01-07,0.22488,0,28.86173,2010.76277,0.00034
,2011-01-08,0.22108,0,28.8619,2010.76228,0.00034
,2011-01-09,0.22403,0,28.86208,2010.76179,0.00034
,2011-01-10,0.22664,0,28.86225,2010.76129,0.00034
,2011-01-11,0.22936,0,28.86243,2010.7608,0.00034
,2011-01-12,0.23161,0,28.8626,2010.76031,0.00034
,2011-01-13,0.2339,0,28.86277,2010.75981,0.00034
,2011-01-14,0.23546,0,28.86295,2010.75932,0.00034
,2011-01-15,0.21912,0,28.86313,2010.75883,0.00034
,2011-01-16,0.2096,0,28.86332,2010.75833,0.00034
,2011-01-17,0.20485,0,28.86351,2010.75784,0.00034
,2011-01-18,0.1989,0,28.86378,2010.75722,0.00034
,2011-01-19,0.2022,0,28.86405,2010.7566,0.00034
,2011-01-20,0.20496,0,28.86431,2010.75598,0.00034
,2011-01-21,0.20766,0,28.86449,2010.75549,0.00034
,2011-01-22,0.20415,0,28.86477,2010.75487,0.00034
,2011-01-23,0.20156,0,28.86504,2010.75425,0.00034
,2011-01-24,0.19641,0,28.86525,2010.75376,0.00034
,2011-01-25,0.19324,0,28.86545,2010.75327,0.00034
,2011-01-26,0.18831,0,28.86566,2010.75278,0.00034
,2011-01-27,0.18115,0,28.86595,2010.75216,0.00034
,2011-01-28,0.16937,0,28.86624,2010.75154,0.00034
,2011-01-29,0.1581,0,28.86654,2010.75092,0.00034
,2011-01-30,0.15389,0,28.86757,2010.74906,0.00034
