@T, output
created_at,"Mon May 01 13:23:24 MDT 2023"
date_format,yyyy-MM-dd
@H,time,precip,tmean,tmax,tmin,rhum,wind,rain,snow,solRad,netRad,netRainOut,netSnowOut,irrigation_amount,interception,intercStorage,throughfall,snowDepth,snowTotSWE,snowMelt,potET,actET,soilSat,soilSatMPS,soilSatLPS,soilActMPS,soilActLPS,percolation,inRD1,inRD2,inRG1,inRG2,actRG1,actRG2,outRD1,outRD2,outRG1,outRG2,actET,E_dps,E_intercept,genRD1,genRD2,genRG1,genRG2
Type,LocalDate,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,mm,C,C,C,-,-,-,-,MJ/m2/day,MJ/m2,-,-,-,-,-,-,-,mm,-,mm,mm,-,-,-,-,-,l,-,l,-,-,-,-,l,l,-,-,mm,-,-,-,-,-,-
,2011-01-01,0.65246,-17.7533,-15.12944,-20.37716,59.10801,11.94267,0,1922839.74018,10.65597,3.39864,0,820892.02478,0,1101947.7154,5355579.64517,820892.02478,104.5711,20719345.88814,0,186659.1465,186659.12647,0.22562,0.6065,0.02025,43894833.32002,1512375.35358,1684079.72263,0,31974.35027,8198.36638,3.76304,1129873.2137,1433485.67449,0,327554.1769,807.74655,65.69156,186659.12647,0,1163523.01262,0,306588.56033,807.74655,65.69156
,2011-01-02,0.32216,-12.70159,-7.53164,-17.87154,39.77941,7.4876,0,902806.14262,11.15595,2.98102,0,422332.55104,0,480473.59158,3834413.13808,422332.55104,109.20117,21141678.43918,0,864916.91206,861222.11051,0.21467,0.59377,0.01127,43284272.93934,826890.7484,406561.69899,0,5155.82376,23419.82922,13.00117,1308447.0554,1569931.55861,0,35651.97251,112818.74161,107.72851,861222.11051,0,2001640.09867,0,34083.08781,112818.74161,107.72851
,2011-01-03,0.37942,-4.26632,0.98472,-9.51736,38.19707,5.97187,0,1319781.72429,7.3561,2.48298,0,1125198.00233,0,194583.72196,3126852.58796,1125198.00233,120.02671,22266876.44151,0,4079552.34232,4053236.03531,0.1911,0.53199,0.00644,39379685.52774,478906.27181,187844.8612,0,2274.37024,26890.5418,16.47035,1327484.53639,1630903.7592,0,15813.69536,130626.91072,117.98279,4053236.03531,0,902144.27209,0,15134.80657,130626.91072,117.98279
,2011-01-04,0.00991,-6.63186,-1.342,-11.92172,55.80946,9.71388,0,34616.64133,8.67666,2.76705,0,0,0,34616.64133,2592011.08497,0,120.02671,22266876.44151,0,2515072.90382,2423004.31293,0.17676,0.49554,0.0028,37125989.0855,214261.20415,92877.49392,0,988.62716,26827.78439,18.07049,1282008.39204,1662572.91662,0,7445.62847,132483.07767,122.56501,2423004.31293,0,569458.14433,0,7119.7995,132483.07767,122.56501
,2011-01-05,0.52624,-3.80757,0.82574,-8.44088,42.68766,14.52832,0,1567937.08939,5.78264,2.52328,0,749644.92139,0,818292.168,2796415.70456,749644.92139,126.46678,23016521.3629,0,4674653.32541,4394296.45987,0.1534,0.42803,0.00095,32924058.97713,74817.50331,36501.12807,0,230.29381,25126.95813,18.75127,1202602.97831,1672244.87109,0,2559.99435,127868.07848,124.94503,4394296.45987,0,613887.54841,0,2465.97329,127868.07848,124.94503
,2011-01-06,0.20282,-2.17731,0.67714,-5.03175,46.67806,11.02481,0,706027.69086,7.46869,2.66966,0,412612.56624,0,293415.12462,2858291.35788,412612.56624,129.83385,23429133.92914,0,5391751.33892,2726402.09626,0.13726,0.38134,0.00036,30234125.70656,28821.24741,13670.69178,0,6.74815,22795.2535,18.91532,1113976.43155,1672124.00714,0,740.60737,119872.29728,125.67189,2726402.09626,0,231539.47129,0,738.10311,119872.29728,125.67189
,2011-01-07,0.00511,2.03718,5.55372,-1.47936,45.34974,5.3778,0,17924.14809,7.08331,2.65361,0,0,0,17924.14809,2585711.40489,0,117.95932,22643147.5572,785986.37194,6039007.55722,2702056.91537,0.13397,0.36349,0.00021,28331481.12115,17085.24987,6110.70949,0,0.17702,20572.41661,18.9182,1027190.89344,1674500.80104,0,263.45631,110985.12571,125.66281,2702056.91537,0,290504.10108,0,263.38829,110985.12571,125.66281
,2011-01-08,0.74694,0.38162,4.74284,-3.9796,56.66417,4.13949,0,1993336.17074,9.27811,2.84989,0,422715.06574,0,1570621.105,2559661.59887,422715.06574,108.75864,21442085.08821,1623777.53472,2464076.18757,1266599.07829,0.13305,0.36875,0.00005,28698270.97653,4310.99069,3035.773,0,0.00499,18563.00321,18.9169,945231.97842,1675652.6426,0,127.09222,102298.92514,125.84143,1266599.07829,0,1596670.91102,0,127.09032,102298.92514,125.84143
