@T, output
created_at,"Mon May 01 13:23:24 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,swc_h[0],swc_h[1],swc_h[2],swc_h[3],outRD2_h[0],outRD2_h[1],outRD2_h[2],outRD2_h[3],NO3_N[0],NO3_N[1],NO3_N[2],NO3_N[3],InterflowN[0],InterflowN[1],InterflowN[2],InterflowN[3]
Type,LocalDate,Integer,Double,Double,Double,Double,Double,Double,Double,Double,Object,Object,Object,Object,Double,Double,Double,Double
Unit,-,-,-,-,-,-,l,l,l,l,mg/L,mg/L,mg/L,mg/L,kgN/ha,kgN/ha,kgN/ha,kgN/ha
,2011-01-01,1,0.08996,0.07184,NaN,NaN,0.00506,0.26052,NaN,NaN,null,null,null,null,5.48571E-7,0.00018,NaN,NaN
,2011-01-01,3,0.09662,0.1179,NaN,NaN,0.01462,0.04715,NaN,NaN,null,null,null,null,0.00003,0.00233,NaN,NaN
,2011-01-01,7,0.1899,0.13255,0.03653,0.01941,0.11076,0.22607,0.05563,0.01196,null,null,null,null,4.65307E-6,0.00003,0,0
,2011-01-01,9,0.10502,0.07354,0.03475,NaN,0.31961,0.08916,0.01087,NaN,null,null,null,null,0.00039,0,0,NaN
,2011-01-01,16,0.16896,0.0972,0.07389,NaN,0.10292,0.02831,0.00504,NaN,null,null,null,null,0.00002,9.54799E-101,0,NaN
,2011-01-02,1,0.08876,0.0661,NaN,NaN,0.00001,0.04741,NaN,NaN,null,null,null,null,1.75275E-9,0.00004,NaN,NaN
,2011-01-02,3,0.09642,0.11631,NaN,NaN,0.00004,0.02311,NaN,NaN,null,null,null,null,7.43165E-8,0.00113,NaN,NaN
,2011-01-02,7,0.1897,0.1273,0.03808,0.02008,0.00017,0.03946,0.00666,0.00077,null,null,null,null,7.22211E-9,0.00001,2.69155E-10,4.97077E-27
,2011-01-02,9,0.1047,0.07388,0.03478,NaN,0.00077,0.00006,6.38323E-7,NaN,null,null,null,null,9.32887E-7,0,7.72798E-14,NaN
,2011-01-02,16,0.16752,0.09756,0.07389,NaN,0.00019,0.00001,1.04659E-7,NaN,null,null,null,null,3.51284E-8,4.62603E-9,6.9407E-12,NaN
,2011-01-03,1,0.08531,0.06339,NaN,NaN,5.96996E-8,0.0192,NaN,NaN,null,null,null,null,8.33426E-12,0.00002,NaN,NaN
,2011-01-03,3,0.09332,0.11531,NaN,NaN,2.43756E-7,0.01134,NaN,NaN,null,null,null,null,6.46514E-10,0.00055,NaN,NaN
,2011-01-03,7,0.1897,0.125,0.0388,0.02031,2.45052E-6,0.01726,0.0022,0.00017,null,null,null,null,1.02943E-10,2.28135E-6,1.65503E-8,1.75643E-11
,2011-01-03,9,0.10376,0.07369,0.03476,NaN,0.00002,4.67492E-7,9.63056E-10,NaN,null,null,null,null,1.99336E-8,5.93774E-11,3.6881E-14,NaN
,2011-01-03,16,0.16638,0.09787,0.07389,NaN,3.90166E-6,3.0895E-8,4.51588E-11,NaN,null,null,null,null,7.16068E-10,2.28693E-11,2.96381E-15,NaN
,2011-01-04,1,0.07921,0.06167,NaN,NaN,1.34166E-10,0.00865,NaN,NaN,null,null,null,null,2.5236E-14,0.00001,NaN,NaN
,2011-01-04,3,0.08774,0.11454,NaN,NaN,1.06888E-9,0.00522,NaN,NaN,null,null,null,null,4.27527E-12,0.00026,NaN,NaN
,2011-01-04,7,0.1897,0.1226,0.03963,0.02041,4.04655E-8,0.00929,0.00096,0.00006,null,null,null,null,1.6999E-12,1.22772E-6,1.73436E-8,1.31036E-11
,2011-01-04,9,0.09876,0.07115,0.03446,NaN,3.77406E-7,3.23424E-9,1.08548E-12,NaN,null,null,null,null,4.58245E-10,7.76447E-13,2.75477E-16,NaN
,2011-01-04,16,0.16534,0.09816,0.07389,NaN,8.61627E-8,1.73172E-10,3.70879E-14,NaN,null,null,null,null,1.60231E-11,1.26503E-13,2.40984E-18,NaN
,2011-01-05,1,0.07614,0.0606,NaN,NaN,5.76709E-14,0.00331,NaN,NaN,null,null,null,null,1.34466E-17,2.73505E-6,NaN,NaN
,2011-01-05,3,0.08497,0.11398,NaN,NaN,1.79665E-12,0.00157,NaN,NaN,null,null,null,null,1.00263E-14,0.00008,NaN,NaN
,2011-01-05,7,0.1897,0.12112,0.04017,0.02044,6.95643E-10,0.00267,0.00018,0.00001,null,null,null,null,2.9223E-14,3.58629E-7,1.60404E-8,7.08477E-12
,2011-01-05,9,0.09513,0.06928,0.03428,NaN,6.15236E-9,1.24647E-11,5.55725E-16,NaN,null,null,null,null,7.48488E-12,3.60128E-15,6.12847E-19,NaN
,2011-01-05,16,0.16295,0.09737,0.07373,NaN,1.89357E-9,9.58457E-13,3.13947E-17,NaN,null,null,null,null,3.56556E-13,6.91401E-16,2.02096E-21,NaN
,2011-01-06,1,0.06993,0.05946,NaN,NaN,7.16569E-18,0.00082,NaN,NaN,null,null,null,null,2.68435E-21,6.86819E-7,NaN,NaN
,2011-01-06,3,0.07925,0.11338,NaN,NaN,1.61403E-15,0.00004,NaN,NaN,null,null,null,null,1.41305E-17,1.87116E-6,NaN,NaN
,2011-01-06,7,0.1897,0.12001,0.04058,0.02044,1.21157E-11,0.00008,1.53742E-6,8.841E-9,null,null,null,null,5.08963E-16,1.07376E-8,1.80794E-10,7.81611E-14
,2011-01-06,9,0.0895,0.06629,0.034,NaN,7.32574E-11,2.99165E-14,1.48028E-19,NaN,null,null,null,null,8.92562E-14,9.47813E-18,1.03832E-21,NaN
,2011-01-06,16,0.15939,0.0956,0.07342,NaN,3.77959E-11,4.57659E-15,2.18114E-20,NaN,null,null,null,null,7.19749E-15,3.26235E-18,1.3925E-24,NaN
,2011-01-07,1,0.06317,0.05814,NaN,NaN,1.18515E-23,0.00002,NaN,NaN,null,null,null,null,1.05558E-26,1.60174E-8,NaN,NaN
,2011-01-07,3,0.07308,0.11271,NaN,NaN,2.3874E-19,1.07369E-6,NaN,NaN,null,null,null,null,3.6196E-21,5.28563E-8,NaN,NaN
,2011-01-07,7,0.1897,0.11902,0.04095,0.02045,2.11942E-13,2.10912E-6,1.1428E-8,1.12407E-11,null,null,null,null,8.90338E-18,2.91984E-10,1.31495E-12,9.21748E-17
,2011-01-07,9,0.08389,0.06329,0.03376,NaN,4.66549E-13,2.96466E-17,1.18517E-23,NaN,null,null,null,null,5.68961E-16,9.69952E-21,1.216E-25,NaN
,2011-01-07,16,0.15411,0.09248,0.0729,NaN,6.35066E-13,1.68827E-17,1.06485E-23,NaN,null,null,null,null,1.2215E-16,1.18882E-20,6.74967E-28,NaN
,2011-01-08,1,0.08214,0.05683,NaN,NaN,9.24224E-36,4.79446E-7,NaN,NaN,null,null,null,null,2.04048E-38,4.07412E-10,NaN,NaN
,2011-01-08,3,0.08655,0.11195,NaN,NaN,2.11096E-9,3.07005E-8,NaN,NaN,null,null,null,null,7.22864E-11,1.5145E-9,NaN,NaN
,2011-01-08,7,0.1897,0.11814,0.04128,0.02046,3.71309E-15,5.84424E-8,8.79192E-11,1.49499E-14,null,null,null,null,1.55982E-19,8.20458E-12,9.92438E-15,1.14618E-19
,2011-01-08,9,0.07747,0.05984,0.03353,NaN,1.28993E-15,9.29883E-21,1.9803E-28,NaN,null,null,null,null,1.57401E-18,3.07038E-24,1.77082E-30,NaN
,2011-01-08,16,0.1468,0.08786,0.07214,NaN,7.96102E-15,3.9869E-20,2.82962E-27,NaN,null,null,null,null,1.54459E-18,2.75258E-23,1.78258E-31,NaN
,2011-01-09,1,0.11329,0.06697,NaN,NaN,0.15304,0.05505,NaN,NaN,null,null,null,null,0.00013,1.94878E-8,NaN,NaN
,2011-01-09,3,0.12136,0.11527,NaN,NaN,0.07676,0.00741,NaN,NaN,null,null,null,null,0.00106,2.38749E-7,NaN,NaN
,2011-01-09,7,0.1897,0.11734,0.04158,0.02047,6.50843E-17,1.59333E-9,6.62819E-13,1.93505E-17,null,null,null,null,2.7341E-21,2.26547E-13,7.35657E-17,1.39697E-22
,2011-01-09,9,0.07479,0.0584,0.03346,NaN,9.008E-19,4.57034E-25,2.69794E-34,NaN,null,null,null,null,1.0995E-21,1.50886E-28,2.27148E-36,NaN
,2011-01-09,16,0.14356,0.08625,0.07182,NaN,6.13848E-17,5.06851E-23,3.24057E-31,NaN,null,null,null,null,1.19908E-20,3.35826E-26,2.03189E-35,NaN
,2011-01-10,1,0.10511,0.06621,NaN,NaN,0.02682,0.04391,NaN,NaN,null,null,null,null,0.00001,0.00004,NaN,NaN
,2011-01-10,3,0.11285,0.11577,NaN,NaN,0.02346,0.01247,NaN,NaN,null,null,null,null,0.00013,0.00058,NaN,NaN
,2011-01-10,7,0.1897,0.1166,0.04185,0.02048,1.14102E-18,4.21096E-11,4.7961E-15,2.36916E-20,null,null,null,null,4.79327E-23,6.05765E-15,5.24356E-19,1.61994E-25
,2011-01-10,9,0.07479,0.0584,0.03346,NaN,2.86897E-22,7.99919E-30,9.09921E-41,NaN,null,null,null,null,3.50251E-25,2.64101E-33,7.65577E-43,NaN
,2011-01-10,16,0.1432,0.08636,0.07182,NaN,3.6791E-19,4.81515E-26,2.5078E-35,NaN,null,null,null,null,7.22918E-23,3.16027E-29,1.56634E-39,NaN
,2011-01-11,1,0.10433,0.06445,NaN,NaN,0.00027,0.02393,NaN,NaN,null,null,null,null,9.5932E-8,0.00002,NaN,NaN
,2011-01-11,3,0.11205,0.11549,NaN,NaN,0.00027,0.00954,NaN,NaN,null,null,null,null,1.51871E-6,0.00044,NaN,NaN
,2011-01-11,7,0.1897,0.11593,0.04209,0.02049,2.00049E-20,1.07452E-12,3.31125E-17,2.72142E-23,null,null,null,null,8.4038E-25,1.5625E-16,3.57143E-21,1.77099E-28
,2011-01-11,9,0.07478,0.0584,0.03346,NaN,9.12312E-26,1.39629E-34,3.05764E-47,NaN,null,null,null,null,1.11399E-28,4.61024E-38,2.57087E-49,NaN
