@T, output
created_at,"Mon May 01 13:23:24 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,SurfaceN_in,SurfaceNabs,sinterflowN_in,sinterflowNabs,PercoNabs,Denit_trans,Volati_trans,actnup,SurfaceN,sinterflowN,sum_Ninput,PercoN
Type,LocalDate,Integer,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,-,kgN/ha,kgN,kgN,kgN,kgN,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha
,2011-01-01,1,0,0,0.18882,0.07329,1.07048,0,0,0,0,0.00018,0,0.00262
,2011-01-01,3,0,0,0,0.51254,9.88775,0,0,0,0,0.00236,0,0.04556
,2011-01-01,7,0,0,0,0.00831,0,0,0,0,0,0.00004,0,0
,2011-01-01,9,0,0,0,0.1196,0.08855,0,0,0,0,0.00039,0,0.00029
,2011-01-01,16,0,0,0,0.007,0,0,0,0,0,0.00002,0,0
,2011-01-02,1,0,0,0.08857,0.01451,0.21262,0,0,0,0,0.00004,0,0.00052
,2011-01-02,3,0,0,0,0.24525,4.7855,0,0,0,0,0.00113,0,0.02205
,2011-01-02,7,0,0,0,0.00112,8.5094E-20,0,0,0,0,0.00001,0,3.96339E-22
,2011-01-02,9,0,0,0,0.00029,0,0,0,0,0,9.32887E-7,0,0
,2011-01-02,16,0,0,0,0.00001,5.58781E-8,0,0,0,0,3.97614E-8,0,1.48747E-10
,2011-01-03,1,0,0,0.04348,0.0062,0.09078,0,0,0,0,0.00002,0,0.00022
,2011-01-03,3,0,0,0,0.12041,2.34968,0,0,0,0,0.00055,0,0.01083
,2011-01-03,7,0,0,0,0.00049,0.00001,0,0,0,0,2.29802E-6,0,2.76072E-8
,2011-01-03,9,0,0,0,0.00001,6.14061E-8,0,0,0,0,1.9993E-8,0,1.97925E-10
,2011-01-03,16,0,0,0,2.7759E-7,2.3861E-11,0,0,0,0,7.3894E-10,0,6.35175E-14
,2011-01-04,1,0,0,0.02006,0.00288,0.04219,0,0,0,0,0.00001,0,0.0001
,2011-01-04,3,0,0,0,0.05556,1.08416,0,0,0,0,0.00026,0,0.005
,2011-01-04,7,0,0,0,0.00027,2.51343E-6,0,0,0,0,1.24508E-6,0,1.17067E-8
,2011-01-04,9,0,0,0,1.42411E-7,6.43115E-11,0,0,0,0,4.59021E-10,0,2.07289E-13
,2011-01-04,16,0,0,0,6.06678E-9,1.94011E-14,0,0,0,0,1.61496E-11,0,5.16454E-17
,2011-01-05,1,0,0,0.00602,0.00112,0.0164,0,0,0,0,2.73505E-6,0,0.00004
