@T, output
created_at,"Mon May 01 13:23:24 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,SurfaceN_in,SurfaceNabs,sinterflowN_in,sinterflowNabs,PercoNabs,Denit_trans,Volati_trans,actnup,SurfaceN,sinterflowN,sum_Ninput,PercoN
Type,LocalDate,Integer,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,-,kgN/ha,kgN,kgN,kgN,kgN,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha
,2011-01-01,1,0,0,0.18882,0.07329,1.07048,0,0,0,0,0.00018,0,0.00262
,2011-01-02,1,0,0,0.08857,0.01451,0.21262,0,0,0,0,0.00004,0,0.00052
,2011-01-03,1,0,0,0.04348,0.0062,0.09078,0,0,0,0,0.00002,0,0.00022
,2011-01-04,1,0,0,0.02006,0.00288,0.04219,0,0,0,0,0.00001,0,0.0001
,2011-01-05,1,0,0,0.00602,0.00112,0.0164,0,0,0,0,2.73505E-6,0,0.00004
,2011-01-06,1,0,0,0.00015,0.00028,0.00412,0,0,0,0,6.86819E-7,0,0.00001
,2011-01-07,1,0,0,4.14264E-6,0.00001,0.0001,0,0,0,0,1.60174E-8,0,2.34686E-7
,2011-01-08,1,0,0,1.34389E-7,1.66729E-7,2.4429E-6,0,0,0,0,4.07412E-10,0,5.96937E-9
,2011-01-09,1,0,0,0.22921,0.05187,0.28203,0.00273,0,0,0,0.00013,0,0.00069
,2011-01-10,1,0,0,0.07438,0.01816,0.21118,0,0,0,0,0.00004,0,0.00052
,2011-01-11,1,0,0,0.03472,0.00748,0.10909,0,0,0,0,0.00002,0,0.00027
,2011-01-12,1,0,0,0.02244,0.00569,0.08335,0,0,0,0,0.00001,0,0.0002
,2011-01-13,1,0,0,0.01506,0.00629,0.0922,0,0,0,0,0.00002,0,0.00023
,2011-01-14,1,0,0,0.01004,0.0032,0.04685,0,0,0,0,0.00001,0,0.00011
,2011-01-15,1,0,0,0.00403,0.00158,0.02312,0,0,0,0,3.85567E-6,0,0.00006
,2011-01-16,1,0,0,0.00036,0.00056,0.00814,0,0,0,0,1.35771E-6,0,0.00002
,2011-01-17,1,0,0,0.0006,0.00001,0.00018,0,0,0,0,3.04408E-8,0,4.41793E-7
,2011-01-18,1,0,0,0.00009,1.22342E-6,4.8608E-6,0,0,0,0,2.9895E-9,0,1.18776E-8
,2011-01-19,1,0,0,0.0019,0.00359,0.00002,0,0,0,0,0.00001,0,4.68329E-8
,2011-01-20,1,0,0,0.00002,0.00175,0.00001,0,0,0,0,4.28531E-6,0,2.9542E-8
