@T, output
created_at,"Mon May 01 13:23:24 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,sNO3_Pool,sNH4_Pool,sN_activ_pool,sN_stable_pool,sNResiduePool,surfNO3_pool,surfNH4_pool,NO3_Pool[1],NO3_Pool[2],NO3_Pool[3]
Type,LocalDate,Integer,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,-,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha,-,-,kgN/ha,kgN/ha,kgN/ha
,2011-01-01,1,0.00562,0,47.44864,4338.9374,3.01462E-29,0.00196,0,0.00481,NaN,NaN
,2011-01-01,3,1.08725,0,12.08128,1120.29406,2.30418E-30,0.00188,0,1.07184,NaN,NaN
,2011-01-01,7,0.00307,0,76.52371,474.32434,0.003,0.00514,0,0.00199,0.00078,5.65754E-20
,2011-01-01,9,0.05366,0,37.62843,3272.61258,1.57644E-30,0.00444,0,0,0.03711,NaN
,2011-01-01,16,0.00449,0,9.73566,810.44133,2.013E-17,0.00273,0,0.00319,0.00042,NaN
,2011-01-02,1,0.00528,0,47.44864,4338.9374,3.01462E-29,0.00196,0,0.00444,NaN,NaN
,2011-01-02,3,1.06407,0,12.08128,1120.29406,2.30418E-30,0.00188,0,1.04399,NaN,NaN
,2011-01-02,7,0.00307,0,76.52371,474.32434,0.003,0.00586,0,0.00186,0.00089,0.00002
,2011-01-02,9,0.0528,0,37.62843,3272.61258,1.57644E-30,0.00444,0,0.00046,0.03603,NaN
,2011-01-02,16,0.00449,0,9.73566,810.44133,2.013E-17,0.00307,0,0.00319,0.00041,NaN
,2011-01-03,1,0.00515,0,47.44864,4338.9374,3.01462E-29,0.00196,0,0.00426,NaN,NaN
,2011-01-03,3,1.05269,0,12.08128,1120.29406,2.30418E-30,0.00188,0,1.02724,NaN,NaN
,2011-01-03,7,0.00306,0,76.52371,474.32434,0.003,0.00643,0,0.00181,0.00093,0.00002
