@T, output
created_at,"Mon May 01 13:23:24 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,sNO3_Pool,sNH4_Pool,sN_activ_pool,sN_stable_pool,sNResiduePool,surfNO3_pool,surfNH4_pool,NO3_Pool[1],NO3_Pool[2],NO3_Pool[3]
Type,LocalDate,Integer,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,-,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha,-,-,kgN/ha,kgN/ha,kgN/ha
,2011-01-01,1,0.00562,0,47.44864,4338.9374,3.01462E-29,0.00196,0,0.00481,NaN,NaN
,2011-01-02,1,0.00528,0,47.44864,4338.9374,3.01462E-29,0.00196,0,0.00444,NaN,NaN
,2011-01-03,1,0.00515,0,47.44864,4338.9374,3.01462E-29,0.00196,0,0.00426,NaN,NaN
,2011-01-04,1,0.00509,0,47.44864,4338.9374,3.01462E-29,0.00196,0,0.00415,NaN,NaN
,2011-01-05,1,0.00506,0,47.44864,4338.9374,3.01462E-29,0.00211,0,0.00406,NaN,NaN
,2011-01-06,1,0.00505,0,47.44864,4338.9374,3.01462E-29,0.00211,0,0.00397,NaN,NaN
,2011-01-07,1,0.00505,0,47.44864,4338.9374,3.01462E-29,0.00211,0,0.00387,NaN,NaN
,2011-01-08,1,0.00743,0,47.44864,4338.9374,3.01462E-29,0,0,0.00379,NaN,NaN
,2011-01-09,1,0.00827,0,47.44864,4338.9374,3.01462E-29,0,0,0.00461,NaN,NaN
,2011-01-10,1,0.00789,0,47.44864,4338.9374,3.01462E-29,0.0001,0,0.0043,NaN,NaN
,2011-01-11,1,0.00769,0,47.44864,4338.9374,3.01462E-29,0.0001,0,0.0041,NaN,NaN
,2011-01-12,1,0.00753,0,47.44864,4338.9374,3.01462E-29,0.0001,0,0.00394,NaN,NaN
,2011-01-13,1,0.00732,0,47.44864,4338.9374,3.01462E-29,0.0001,0,0.00374,NaN,NaN
