@T, output
created_at,"Mon May 01 13:23:24 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,LAI,BioAct,precip,tmean,tmax,tmin,rhum,wind,rain,snow,solRad,netRad,netRainOut,netSnowOut,irrigation_amount,interception,intercStorage,throughfall,snowDepth,snowTotSWE,snowMelt,potET,actET,E_dps,E_intercept,actDPS,soilSat,soilSatMPS,soilSatLPS,soilActMPS,soilActLPS,percolation,inRD1,inRD2,inRG1,inRG2,actRG1,actRG2,genRD1,genRD2,genRG1,genRG2,outRD1,outRD2,outRG1,outRG2,inSoilStor
Type,LocalDate,Integer,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,-,-,kg/ha,mm,C,C,C,-,-,-,-,MJ/m2/day,MJ/m2,-,-,-,-,-,-,-,mm,-,mm,mm,-,-,-,-,-,-,-,-,l,-,l,-,-,-,-,-,-,-,-,l,l,-,-,-
,2011-01-01,3,0,0,0.28728,-16.17739,-13.47551,-18.87927,56.92647,11.73891,0,0.28728,10.03568,2.23279,0,0.06959,0,0.21768,0,0.06959,90.70827,3.35928,0,0.13627,0.13627,0,0.21768,0,0.42108,0.88256,0.0362,28.7452,1.41385,0.92015,0,0,0,0,0.58041,0.34756,0,0.06178,2.55853E-236,5.88059E-7,0,0.06178,2.55853E-236,5.88059E-7,0
,2011-01-02,3,0,1,0,-10.19533,-5.00194,-15.38872,33.0117,7.42107,0,0,10.72279,1.6883,0,0,0,0,0,0,90.70827,3.35928,0,0.78329,0.78329,0,0,0,0.40353,0.86182,0.0213,28.06986,0.83182,0.45092,0,0,0,0,0.80807,0.51403,0,0.02315,0.05678,0.00003,0,0.02315,0.05678,0.00003,0
,2011-01-03,3,0,1,0,-1.84157,3.35843,-7.04157,32.34716,5.88733,0,0,7.44161,1.67872,0,0,0,0,0,0,90.70827,3.35928,0,1.34877,1.34877,0,0,0,0.38145,0.82437,0.01205,26.8499,0.47046,0.22122,0,0,0,0,0.86856,0.59567,0,0.01134,0.07905,0.00004,0,0.01134,0.07905,0.00004,0
,2011-01-04,3,0,1,0,-5.73964,-0.05285,-11.42642,55.16975,9.52043,0,0,9.42311,1.92496,0,0,0,0,0,0,90.70827,3.35928,0,0.75537,0.75537,0,0,0,0.36941,0.80637,0.00497,26.26371,0.19414,0.10191,0,0,0,0,0.84788,0.63325,0,0.00522,0.08497,0.00004,0,0.00522,0.08497,0.00004,0
,2011-01-05,3,0,1,0.24356,-1.82739,3.01503,-6.66982,37.18761,14.29009,0,0.24356,6.30805,1.92312,0,0.24356,0,0,0,0.24356,93.72387,3.60284,0,1.42467,1.42467,0,0,0,0.34907,0.76721,0.00032,24.98841,0.01264,0.03057,0,0,0,0,0.78422,0.64449,0,0.00157,0.08294,0.00005,0,0.00157,0.08294,0.00005,0
,2011-01-06,3,0,1,0,0.21315,3.01503,-2.58872,38.74129,10.8859,0,0,7.11713,1.84821,0,0,0,0,0,0,93.72387,3.60284,0,1.54467,1.54455,0,0,0,0.32749,0.72013,0.00002,23.4548,0.00092,0.00074,0,0,0,0,0.70797,0.64472,0,0.00004,0.07671,0.00005,0,0.00004,0.07671,0.00005,0
,2011-01-07,3,0,1,0,4.17637,7.15467,1.19806,38.95894,5.34384,0,0,6.47974,1.89746,0,0,0,0,0,0,93.72387,3.60284,0,1.74194,1.73358,0,0,0,0.30329,0.66693,1.72333E-6,21.72205,0.00007,0.00002,0,0,0,0,0.63873,0.64468,0,1.07369E-6,0.06926,0.00005,0,1.07369E-6,0.06926,0.00005,0
,2011-01-08,3,0,1,0.70276,1.20376,5.97733,-3.56982,55.82764,4.08449,0,0.70276,9.67069,1.94722,0,0.70276,0,0,0,0.70276,0,0,4.3056,1.01937,1.01937,0,0,0,0.34917,0.76783,1.25228E-7,25.00833,4.89043E-6,5.99094E-7,0,0,0,0,0.57625,0.64463,0,3.28115E-8,0.06248,0.00005,0,3.28115E-8,0.06248,0.00005,0
,2011-01-09,3,0,1,9.38016,3.07261,10.09806,-3.95285,51.8785,1.61144,0,9.38016,7.0931,2.07091,0,9.38016,0,0,0,9.38016,0,0,9.38016,0.93226,0.93226,0,0,0,0.46392,0.97138,0.0407,31.63806,1.58936,0.14465,0,0,0,0,0.61112,0.69799,0,0.08417,0.05637,0.00005,0,0.08417,0.05637,0.00005,0
,2011-01-10,3,0,1,0.24989,-10.93776,-3.42267,-18.45285,91.17284,3.18191,0,0.24989,10.66366,2.67326,0,0.24989,0,0,0,0.24989,8.67934,0.24989,0,0.15214,0.15214,0,0,0,0.4579,0.9861,0.01737,32.11769,0.67833,0.24333,0,0,0,0,0.70483,0.69263,0,0.03593,0.05978,0.00005,0,0.03593,0.05978,0.00005,0.09514
