@T, output
created_at,"Mon May 01 13:23:24 MDT 2023"
date_format,yyyy-MM-dd
@H,time,catchmentSimRunoff,catchmentSimRunoffN,catchmentSimRunoff_NO3,catchmentSimRunoff_NO3_N,catchmentNO3_N_Load_kg_ha,catchmentRD1_w,catchmentRD2_w,catchmentRG1_w,catchmentRG2_w,catchmentNRD1_w,catchmentNRD2_w,catchmentNRG1_w,catchmentNRG2_w,catchmentSed,deepsinkW,deepsinkN
Type,LocalDate,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,m3/s,kg,mg/L,mg/L,kg/ha,mm/m2,mm/m2,mm/m2,mm/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg,L,kg
,2011-01-01,0.02628,0.22537,0.09927,0.09927,0.00003,0.00001,0.03383,3.45262E-6,2.17367E-6,0,3.36021E-9,1.23876E-14,1.68989E-13,0,0,0
,2011-01-02,0.02594,0.23448,0.1046,0.1046,0.00003,0.00001,0.03335,0.00006,2.16594E-6,0,3.27026E-9,2.25592E-10,3.29166E-13,0,0,0
,2011-01-03,0.02617,0.26609,0.11768,0.11768,0.00004,0.00001,0.0335,0.00021,2.22904E-6,0,3.1976E-9,7.69585E-10,3.97896E-13,0,0,0
,2011-01-04,0.02661,0.32368,0.14078,0.14078,0.00005,0.00001,0.03379,0.00048,2.34684E-6,0,3.1428E-9,1.683E-9,4.40463E-13,0,0,0
,2011-01-05,0.02722,0.40846,0.1737,0.1737,0.00006,0.00001,0.03416,0.00089,2.52395E-6,0,3.10214E-9,2.98776E-9,4.67465E-13,0,0,0
,2011-01-06,0.02793,0.51971,0.21539,0.21539,0.00008,0.00001,0.03455,0.00142,2.75793E-6,0,3.07056E-9,4.67817E-9,4.83457E-13,0,0,0
,2011-01-07,0.02867,0.65532,0.26454,0.26454,0.0001,0.00001,0.03488,0.00205,3.04146E-6,0,3.04336E-9,6.72734E-9,4.92769E-13,0,0,0
,2011-01-08,0.02939,0.81197,0.3198,0.3198,0.00012,0.00001,0.03509,0.00275,3.36463E-6,0,3.01691E-9,9.08955E-9,4.97474E-13,0,0,0
,2011-01-09,0.03025,0.99488,0.38061,0.38061,0.00015,0.00001,0.03541,0.00355,3.75149E-6,0,3.02419E-9,1.18095E-8,5.33398E-13,0,0,0
,2011-01-10,0.03116,1.1988,0.44533,0.44533,0.00018,0.00001,0.03571,0.00441,4.18365E-6,0,3.0342E-9,1.48401E-8,5.55829E-13,0,0,0
,2011-01-11,0.032,1.41931,0.51332,0.51332,0.00021,0.00001,0.03589,0.00532,4.64255E-6,0,3.03894E-9,1.81232E-8,5.75164E-13,0,0,0
,2011-01-12,0.03275,1.65201,0.58382,0.58382,0.00025,0.00001,0.03592,0.00626,0.00001,0,3.03624E-9,2.15956E-8,5.7018E-13,0,0,0
,2011-01-13,0.03338,1.89183,0.6559,0.6559,0.00028,0.00001,0.03579,0.00721,0.00001,0,3.02534E-9,2.51824E-8,5.30038E-13,0,0,0
,2011-01-14,0.03388,2.13309,0.72863,0.72863,0.00032,0.00001,0.0355,0.00814,0.00001,0,3.00545E-9,2.87997E-8,5.47813E-13,0,0,0
,2011-01-15,0.03449,2.38714,0.801,0.801,0.00036,0.00001,0.03534,0.00908,0.00001,0,3.10146E-9,3.24917E-8,5.56164E-13,0,0,0
,2011-01-16,0.03471,2.63367,0.87829,0.87829,0.00039,0.00001,0.03474,0.00996,0.00001,0,3.05596E-9,3.62129E-8,6.83996E-13,0,0,0
,2011-01-17,0.03474,2.86165,0.95331,0.95331,0.00043,0.00001,0.03398,0.01076,0.00001,0,3.00055E-9,3.96677E-8,6.75306E-13,0,0,0
,2011-01-18,0.03461,3.06766,1.02582,1.02582,0.00046,4.86279E-6,0.03311,0.01147,0.00001,0,2.93629E-9,4.28037E-8,6.62456E-13,0,0,0
,2011-01-19,0.03433,3.25012,1.09574,1.09574,0.00048,4.5633E-6,0.03214,0.01208,0.00001,0,2.86498E-9,4.55956E-8,6.48899E-13,0,0,0
,2011-01-20,0.03391,3.408,1.16309,1.16309,0.00051,4.27397E-6,0.0311,0.01258,0.00001,0,2.78776E-9,4.80269E-8,6.33087E-13,0,0,0
,2011-01-21,0.03338,3.54105,1.22791,1.22791,0.00053,3.99643E-6,0.03001,0.01298,0.00001,0,2.70579E-9,5.00928E-8,5.82269E-13,0,0,0
,2011-01-22,0.0328,3.6555,1.28998,1.28998,0.00055,3.73558E-6,0.02893,0.01331,0.00001,0,2.62479E-9,5.18803E-8,5.78928E-13,0,0,0
