@T, output
created_at,"Mon May 01 13:23:24 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,simRunoff_qm_sec,simRunoff,reachNitrateConcentration,reachNitrateLoads,actRD1,actRD2,actRG1,actRG2,outRD1,outRD2,outRG1,outRG2
Type,LocalDate,Integer,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,-,-,-,mg/L as N,kg as N,-,-,-,-,-,-,-,-
,2011-01-01,-27,0.01663,1436413.31304,0.04885,0.41433,8.74701E-11,7045116.6864,410.89866,468.97741,1.78319E-11,1436233.93945,83.76676,95.60683
,2011-01-01,-25,0.01392,1203017.60639,0.05562,0.46302,3.64314E-11,7121372.29115,378.79306,584.42145,6.15355E-12,1202854.912,63.98108,98.71331
,2011-01-01,-23,0.02587,2235542.38413,0.04605,0.46198,50.63583,7794671.81401,1732.99757,463.47999,14.51837,2234898.08896,496.88724,132.88956
,2011-01-01,-22,0.02628,2270225.24295,0.09927,0.23058,16.42327,52423.00327,5.34953,3.36791,710.88353,2269137.02406,231.55501,145.78034
,2011-01-02,-27,0.01741,1504605.17386,0.38209,3.33052,7.99622E-11,6974884.06827,236428.81575,571.94292,1.66824E-11,1455160.04595,49325.80428,119.32363
,2011-01-02,-25,0.01358,1173176.96943,0.16285,1.33671,3.39079E-11,6973425.23128,60890.63036,681.12175,5.65458E-12,1162909.08137,10154.30218,113.58588
,2011-01-02,-23,0.02624,2267114.11305,0.12899,1.30547,60.2015,7637812.86296,215406.2483,520.01823,17.37805,2204766.45821,62180.16593,150.11087
,2011-01-02,-22,0.02594,2241542.62238,0.1046,0.23992,15.47134,51889.98932,88.80779,3.36967,666.94716,2236902.03884,3828.37482,145.26155
,2011-01-03,-27,0.01828,1579438.28687,0.77432,6.94535,7.28933E-11,6854486.94487,534931.52825,701.77397,1.5579E-11,1464961.15836,114327.14331,149.9852
,2011-01-03,-25,0.01317,1137596.76833,0.29578,2.38612,3.15381E-11,6778869.93374,149875.08814,789.84029,5.17749E-12,1112862.64994,24604.45316,129.66523
,2011-01-03,-23,0.0278,2402242.28594,0.25249,2.64951,66.68089,7474342.77278,616238.40214,654.84445,19.79702,2219071.87674,182956.19416,194.41802
,2011-01-03,-22,0.02617,2261220.6029,0.11768,0.27225,14.75526,51966.42242,322.23681,3.4581,637.86819,2246502.97795,13930.26337,149.49339
,2011-01-04,-27,0.01902,1643452.34621,1.16569,10.70466,6.62848E-11,6688551.1467,850235.51503,841.0123,1.44485E-11,1457938.71396,185330.31237,183.31988
,2011-01-04,-25,0.01274,1101160.96223,0.46649,3.69514,2.93193E-11,6550225.17371,268836.27306,914.49748,4.73393E-12,1057606.70039,43406.60606,147.65579
,2011-01-04,-23,0.02975,2570504.12923,0.39213,4.29465,68.27362,7263594.50435,1117059.92583,841.34591,20.93853,2227639.08451,342586.0776,258.02859
,2011-01-04,-22,0.02661,2299106.22901,0.14078,0.33113,14.09769,52138.05277,744.4985,3.62149,612.7016,2265979.37746,32356.75598,157.39397
,2011-01-05,-27,0.01953,1687606.58361,1.5309,14.28156,6.01921E-11,6484438.81031,1155830.25039,979.76617,1.32937E-11,1432119.52329,255270.67424,216.38608
,2011-01-05,-25,0.01233,1065232.52161,0.66592,5.17789,2.72515E-11,6293392.91129,415869.83142,1057.25123,4.32606E-12,999047.25951,66017.42832,167.83378
,2011-01-05,-23,0.03155,2725783.77545,0.53584,6.09143,65.65474,7009191.68835,1631885.27997,1050.70249,20.70778,2210728.25652,514703.41521,331.39594
,2011-01-05,-22,0.02722,2351534.57694,0.1737,0.41779,13.48166,52337.4758,1362.46157,3.86677,590.17499,2291131.84255,59643.28698,169.27242
,2011-01-06,-27,0.01979,1710093.02747,1.85866,17.4763,5.46521E-11,6256998.88531,1434435.14425,1113.99789,1.21494E-11,1390963.06301,318882.31699,247.64746
