@T, output
created_at,"Mon May 01 13:23:24 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,simRunoff_qm_sec,simRunoff,reachNitrateConcentration,reachNitrateLoads,actRD1,actRD2,actRG1,actRG2,outRD1,outRD2,outRG1,outRG2
Type,LocalDate,Integer,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,-,-,-,mg/L as N,kg as N,-,-,-,-,-,-,-,-
,2011-01-01,-23,0.02587,2235542.38413,0.04605,0.46198,50.63583,7794671.81401,1732.99757,463.47999,14.51837,2234898.08896,496.88724,132.88956
,2011-01-02,-23,0.02624,2267114.11305,0.12899,1.30547,60.2015,7637812.86296,215406.2483,520.01823,17.37805,2204766.45821,62180.16593,150.11087
,2011-01-03,-23,0.0278,2402242.28594,0.25249,2.64951,66.68089,7474342.77278,616238.40214,654.84445,19.79702,2219071.87674,182956.19416,194.41802
,2011-01-04,-23,0.02975,2570504.12923,0.39213,4.29465,68.27362,7263594.50435,1117059.92583,841.34591,20.93853,2227639.08451,342586.0776,258.02859
,2011-01-05,-23,0.03155,2725783.77545,0.53584,6.09143,65.65474,7009191.68835,1631885.27997,1050.70249,20.70778,2210728.25652,514703.41521,331.39594
,2011-01-06,-23,0.03292,2843919.51673,0.67883,7.92881,60.28374,6731911.47392,2102959.19145,1261.67576,19.40226,2166658.79054,676835.25488,406.06905
,2011-01-07,-23,0.03377,2917575.971,0.82066,9.7437,53.54188,6450585.51409,2503285.15742,1462.55019,17.44341,2101536.62725,815545.41603,476.48431
,2011-01-08,-23,0.03413,2949193.68839,0.9611,11.49028,46.44143,6178178.36228,2826279.05502,1648.41877,15.20791,2023133.08396,925505.59816,539.79836
,2011-01-09,-23,0.03607,3116433.55053,1.07187,13.27757,39.89744,6138205.86966,3130763.70184,1845.28174,13.41168,2063381.55723,1052418.28306,620.29857
,2011-01-10,-23,0.03707,3202829.62835,1.17308,14.79018,33.62883,6018606.67641,3384539.15775,2016.64802,11.4519,2049566.17141,1152565.25912,686.74592
,2011-01-11,-23,0.03729,3221981.2526,1.27917,16.19014,27.94395,5817359.21728,3615207.69622,2168.57306,9.54289,1986634.05561,1234597.0842,740.56989
,2011-01-12,-23,0.03716,3210634.28087,1.38301,17.46449,22.98858,5589525.07898,3825406.10524,2300.35939,7.83752,1905642.53849,1304199.64096,784.2639
,2011-01-13,-23,0.03681,3180388.92193,1.48159,18.59521,18.77716,5354818.90464,4013214.56071,2401.55017,6.37308,1817458.05486,1362109.39327,815.10071
,2011-01-14,-23,0.03625,3131860.56227,1.57471,19.56862,15.25502,5115468.85752,4176986.86807,2488.63396,5.14005,1723615.36109,1407401.53628,838.52484
,2011-01-15,-23,0.03546,3063935.97131,1.66331,20.37956,12.34585,4876451.77475,4309405.3854,2568.93708,4.11679,1626080.00234,1436995.22581,856.62638
,2011-01-16,-23,0.03447,2977819.68446,1.74795,21.02737,9.9673,4644353.23826,4404902.96136,2645.61706,3.27896,1527859.17766,1449086.89562,870.33223
,2011-01-17,-23,0.0333,2876774.94437,1.82981,21.53004,8.03824,4423936.86451,4462858.29316,2720.47463,2.60129,1431648.21862,1444243.74059,880.38387
,2011-01-18,-23,0.03201,2765314.52407,1.90949,21.90724,6.48317,4218436.92821,4486269.53444,2794.7041,2.05891,1339683.56681,1424741.36127,887.53707
,2011-01-19,-23,0.0307,2652454.8434,1.98518,22.17927,5.23515,4034084.85211,4482978.86341,2870.58186,1.62983,1255904.20728,1395655.32757,893.67873
,2011-01-20,-23,0.02936,2536556.68455,2.0588,22.35904,4.23447,3865556.35433,4455175.82745,2947.01211,1.29041,1177988.43438,1357668.88821,898.07155
,2011-01-21,-23,0.028,2418952.83645,2.13139,22.46372,3.43271,3709837.14923,4407665.17752,3010.52909,1.02254,1105092.43206,1312962.60046,896.78139
,2011-01-22,-23,0.02714,2345290.03666,2.17811,22.5183,2.79359,3618235.5305,4371855.50046,3082.69606,0.81967,1061631.97048,1282752.74798,904.49852
