@T, output
created_at,"Fri Apr 28 18:43:40 MDT 2023"
date_format,yyyy-MM-dd
@H,time,catchmentSimRunoff
Type,LocalDate,Double
Unit,-,m3/s
,2011-01-01,0.05713
,2011-01-02,0.05529
,2011-01-03,0.0543
,2011-01-04,0.05376
,2011-01-05,0.05341
,2011-01-06,0.05304
,2011-01-07,0.05252
,2011-01-08,0.05178
,2011-01-09,0.05152
,2011-01-10,0.05124
,2011-01-11,0.0507
,2011-01-12,0.0499
,2011-01-13,0.04887
,2011-01-14,0.04764
,2011-01-15,0.04675
,2011-01-16,0.04521
,2011-01-17,0.04356
,2011-01-18,0.04184
,2011-01-19,0.0401
,2011-01-20,0.03837
,2011-01-21,0.03667
,2011-01-22,0.03515
,2011-01-23,0.03378
,2011-01-24,0.03248
,2011-01-25,0.03123
,2011-01-26,0.03001
,2011-01-27,0.02881
,2011-01-28,0.02763
,2011-01-29,0.02648
,2011-01-30,0.02535
,2011-01-31,0.02426
,2011-02-01,0.0232
,2011-02-02,0.02217
,2011-02-03,0.0212
,2011-02-04,0.02025
,2011-02-05,0.01935
,2011-02-06,0.01848
,2011-02-07,0.01766
,2011-02-08,0.01687
,2011-02-09,0.01612
,2011-02-10,0.01541
,2011-02-11,0.01473
,2011-02-12,0.01409
,2011-02-13,0.01348
,2011-02-14,0.0129
,2011-02-15,0.0143
,2011-02-16,0.01842
,2011-02-17,0.02658
,2011-02-18,0.03812
,2011-02-19,0.05145
,2011-02-20,0.06475
,2011-02-21,0.07654
,2011-02-22,0.08595
,2011-02-23,0.09271
,2011-02-24,0.09695
,2011-02-25,0.09903
,2011-02-26,0.09932
,2011-02-27,0.09819
,2011-02-28,0.096
,2011-03-01,0.09302
,2011-03-02,0.08951
,2011-03-03,0.08566
,2011-03-04,0.0818
,2011-03-05,0.07809
,2011-03-06,0.07458
,2011-03-07,0.07121
,2011-03-08,0.06795
,2011-03-09,0.06476
,2011-03-10,0.06164
,2011-03-11,0.05859
,2011-03-12,0.05561
,2011-03-13,0.05271
,2011-03-14,0.04992
,2011-03-15,0.04726
,2011-03-16,0.04475
,2011-03-17,0.04241
,2011-03-18,0.04025
,2011-03-19,0.03827
,2011-03-20,0.03645
,2011-03-21,0.03481
,2011-03-22,0.03331
,2011-03-23,0.03195
,2011-03-24,0.03072
,2011-03-25,0.02959
,2011-03-26,0.02856
,2011-03-27,0.02759
,2011-03-28,0.0267
,2011-03-29,0.02585
,2011-03-30,0.02503
,2011-03-31,0.02426
,2011-04-01,0.02351
,2011-04-02,0.02279
,2011-04-03,0.0221
,2011-04-04,0.02147
,2011-04-05,0.02088
,2011-04-06,0.02035
,2011-04-07,0.01991
,2011-04-08,0.01956
,2011-04-09,0.0193
,2011-04-10,0.01913
,2011-04-11,0.01902
,2011-04-12,0.01897
,2011-04-13,0.02551
,2011-04-14,0.05678
,2011-04-15,0.08168
,2011-04-16,0.10761
,2011-04-17,0.13173
,2011-04-18,0.15327
,2011-04-19,0.1706
,2011-04-20,0.18617
,2011-04-21,0.19848
,2011-04-22,0.20683
,2011-04-23,0.21297
,2011-04-24,0.22622
,2011-04-25,0.23706
,2011-04-26,0.24343
,2011-04-27,0.24585
,2011-04-28,0.24556
,2011-04-29,0.24372
,2011-04-30,0.24128
,2011-05-01,0.23773
,2011-05-02,0.23269
,2011-05-03,0.22617
,2011-05-04,0.21838
,2011-05-05,0.20966
,2011-05-06,0.20033
,2011-05-07,0.19066
,2011-05-08,0.18089
,2011-05-09,0.17121
,2011-05-10,0.16197
,2011-05-11,0.17624
,2011-05-12,0.24546
,2011-05-13,0.293
,2011-05-14,0.3566
,2011-05-15,0.45279
,2011-05-16,0.5078
,2011-05-17,0.54504
,2011-05-18,0.77061
,2011-05-19,1.38022
,2011-05-20,1.53155
,2011-05-21,1.58914
,2011-05-22,1.55252
,2011-05-23,1.48951
,2011-05-24,1.41607
,2011-05-25,1.33929
,2011-05-26,1.26377
,2011-05-27,1.19701
,2011-05-28,1.13554
,2011-05-29,1.0836
