@T, output
created_at,"Fri Apr 28 18:43:40 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,simRunoff_qm_sec
Type,LocalDate,Integer,Double
Unit,-,-,-
,2011-01-01,-27,0.03142
,2011-01-01,-25,0.02739
,2011-01-01,-23,0.04764
,2011-01-01,-22,0.05713
,2011-01-02,-27,0.03231
,2011-01-02,-25,0.02511
,2011-01-02,-23,0.04837
,2011-01-02,-22,0.05529
,2011-01-03,-27,0.03265
,2011-01-03,-25,0.02298
,2011-01-03,-23,0.04991
,2011-01-03,-22,0.0543
,2011-01-04,-27,0.03228
,2011-01-04,-25,0.02102
,2011-01-04,-23,0.05107
,2011-01-04,-22,0.05376
,2011-01-05,-27,0.03133
,2011-01-05,-25,0.01924
,2011-01-05,-23,0.05138
,2011-01-05,-22,0.05341
,2011-01-06,-27,0.03001
,2011-01-06,-25,0.01767
,2011-01-06,-23,0.05082
,2011-01-06,-22,0.05304
,2011-01-07,-27,0.02849
,2011-01-07,-25,0.01627
,2011-01-07,-23,0.04956
,2011-01-07,-22,0.05252
,2011-01-08,-27,0.0269
,2011-01-08,-25,0.015
,2011-01-08,-23,0.04782
,2011-01-08,-22,0.05178
,2011-01-09,-27,0.02545
,2011-01-09,-25,0.01383
,2011-01-09,-23,0.04957
,2011-01-09,-22,0.05152
,2011-01-10,-27,0.02387
,2011-01-10,-25,0.01274
,2011-01-10,-23,0.04915
,2011-01-10,-22,0.05124
,2011-01-11,-27,0.02231
,2011-01-11,-25,0.01174
,2011-01-11,-23,0.04739
,2011-01-11,-22,0.0507
,2011-01-12,-27,0.02084
,2011-01-12,-25,0.01081
,2011-01-12,-23,0.04536
,2011-01-12,-22,0.0499
,2011-01-13,-27,0.01946
,2011-01-13,-25,0.00996
,2011-01-13,-23,0.04322
,2011-01-13,-22,0.04887
,2011-01-14,-27,0.01816
,2011-01-14,-25,0.00919
,2011-01-14,-23,0.04102
,2011-01-14,-22,0.04764
,2011-01-15,-27,0.01696
,2011-01-15,-25,0.00848
,2011-01-15,-23,0.03879
,2011-01-15,-22,0.04675
,2011-01-16,-27,0.01584
,2011-01-16,-25,0.00783
,2011-01-16,-23,0.03654
,2011-01-16,-22,0.04521
,2011-01-17,-27,0.01484
,2011-01-17,-25,0.00724
,2011-01-17,-23,0.03434
,2011-01-17,-22,0.04356
,2011-01-18,-27,0.01388
,2011-01-18,-25,0.0067
,2011-01-18,-23,0.03222
,2011-01-18,-22,0.04184
,2011-01-19,-27,0.01303
,2011-01-19,-25,0.00621
,2011-01-19,-23,0.03028
,2011-01-19,-22,0.0401
,2011-01-20,-27,0.01225
,2011-01-20,-25,0.00576
,2011-01-20,-23,0.02846
,2011-01-20,-22,0.03837
,2011-01-21,-27,0.01156
