@T, output
created_at,"Wed Apr 19 01:32:45 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,simRunoff_qm_sec
Type,LocalDate,Integer,Double
Unit,-,-,-
,2011-01-01,-22,0.07858
,2011-01-02,-22,0.08427
,2011-01-03,-22,0.08817
,2011-01-04,-22,0.08962
,2011-01-05,-22,0.08894
,2011-01-06,-22,0.0866
,2011-01-07,-22,0.08307
,2011-01-08,-22,0.07875
,2011-01-09,-22,0.074
,2011-01-10,-22,0.06908
,2011-01-11,-22,0.0642
,2011-01-12,-22,0.05949
,2011-01-13,-22,0.05503
,2011-01-14,-22,0.05088
,2011-01-15,-22,0.04704
,2011-01-16,-22,0.04352
,2011-01-17,-22,0.0403
,2011-01-18,-22,0.03738
,2011-01-19,-22,0.03471
,2011-01-20,-22,0.03229
,2011-01-21,-22,0.0301
,2011-01-22,-22,0.0281
,2011-01-23,-22,0.02629
,2011-01-24,-22,0.02463
,2011-01-25,-22,0.02311
,2011-01-26,-22,0.02172
,2011-01-27,-22,0.02045
,2011-01-28,-22,0.01928
,2011-01-29,-22,0.01821
,2011-01-30,-22,0.01722
,2011-01-31,-22,0.01631
,2011-02-01,-22,0.01546
,2011-02-02,-22,0.01468
,2011-02-03,-22,0.01395
,2011-02-04,-22,0.01328
,2011-02-05,-22,0.01265
,2011-02-06,-22,0.01206
,2011-02-07,-22,0.01151
,2011-02-08,-22,0.011
,2011-02-09,-22,0.01052
,2011-02-10,-22,0.01006
,2011-02-11,-22,0.00964
,2011-02-12,-22,0.00924
,2011-02-13,-22,0.00886
,2011-02-14,-22,0.00851
,2011-02-15,-22,0.00817
,2011-02-16,-22,0.00785
,2011-02-17,-22,0.00755
,2011-02-18,-22,0.00727
,2011-02-19,-22,0.007
,2011-02-20,-22,0.00674
,2011-02-21,-22,0.0065
,2011-02-22,-22,0.00627
,2011-02-23,-22,0.00604
,2011-02-24,-22,0.00583
,2011-02-25,-22,0.00563
,2011-02-26,-22,0.00544
,2011-02-27,-22,0.00526
,2011-02-28,-22,0.00509
,2011-03-01,-22,0.00492
,2011-03-02,-22,0.00476
,2011-03-03,-22,0.00461
,2011-03-04,-22,0.00447
,2011-03-05,-22,0.00433
,2011-03-06,-22,0.00419
,2011-03-07,-22,0.00407
,2011-03-08,-22,0.00394
,2011-03-09,-22,0.00383
,2011-03-10,-22,0.00372
,2011-03-11,-22,0.00361
,2011-03-12,-22,0.00351
,2011-03-13,-22,0.00341
,2011-03-14,-22,0.00348
,2011-03-15,-22,0.00446
,2011-03-16,-22,0.01488
,2011-03-17,-22,0.0414
,2011-03-18,-22,0.07455
,2011-03-19,-22,0.16006
,2011-03-20,-22,0.26329
,2011-03-21,-22,0.42036
,2011-03-22,-22,0.46001
