@T, output
created_at,"Fri Apr 14 13:21:36 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,simRunoff_qm_sec
Type,LocalDate,Integer,Double
Unit,-,-,-
,2011-01-01,-27,0.03604
,2011-01-01,-25,0.02736
,2011-01-01,-23,0.05874
,2011-01-01,-22,0.07341
,2011-01-02,-27,0.03479
,2011-01-02,-25,0.02589
,2011-01-02,-23,0.05762
,2011-01-02,-22,0.06962
,2011-01-03,-27,0.0337
,2011-01-03,-25,0.02453
,2011-01-03,-23,0.05573
,2011-01-03,-22,0.06641
,2011-01-04,-27,0.03232
,2011-01-04,-25,0.02288
,2011-01-04,-23,0.053
,2011-01-04,-22,0.06337
,2011-01-05,-27,0.0306
,2011-01-05,-25,0.02102
,2011-01-05,-23,0.04983
,2011-01-05,-22,0.06035
,2011-01-06,-27,0.0286
,2011-01-06,-25,0.01908
,2011-01-06,-23,0.04651
,2011-01-06,-22,0.05731
,2011-01-07,-27,0.02648
,2011-01-07,-25,0.01723
,2011-01-07,-23,0.0432
,2011-01-07,-22,0.05428
,2011-01-08,-27,0.02433
,2011-01-08,-25,0.01548
,2011-01-08,-23,0.03998
,2011-01-08,-22,0.05127
,2011-01-09,-27,0.02224
,2011-01-09,-25,0.01386
,2011-01-09,-23,0.03691
,2011-01-09,-22,0.04832
,2011-01-10,-27,0.02026
,2011-01-10,-25,0.01241
,2011-01-10,-23,0.03399
,2011-01-10,-22,0.04543
,2011-01-11,-27,0.01845
,2011-01-11,-25,0.01114
,2011-01-11,-23,0.03126
,2011-01-11,-22,0.04264
,2011-01-12,-27,0.01681
,2011-01-12,-25,0.01005
,2011-01-12,-23,0.02873
,2011-01-12,-22,0.03997
,2011-01-13,-27,0.01532
,2011-01-13,-25,0.00911
,2011-01-13,-23,0.0264
,2011-01-13,-22,0.03743
,2011-01-14,-27,0.014
,2011-01-14,-25,0.00831
,2011-01-14,-23,0.02426
,2011-01-14,-22,0.03502
,2011-01-15,-27,0.01283
,2011-01-15,-25,0.00761
,2011-01-15,-23,0.02231
,2011-01-15,-22,0.03276
,2011-01-16,-27,0.01179
,2011-01-16,-25,0.00701
,2011-01-16,-23,0.02053
,2011-01-16,-22,0.03064
,2011-01-17,-27,0.01087
,2011-01-17,-25,0.00648
,2011-01-17,-23,0.01894
,2011-01-17,-22,0.02867
,2011-01-18,-27,0.01005
,2011-01-18,-25,0.00601
,2011-01-18,-23,0.01749
,2011-01-18,-22,0.02684
,2011-01-19,-27,0.00932
,2011-01-19,-25,0.00559
,2011-01-19,-23,0.01618
,2011-01-19,-22,0.02513
,2011-01-20,-27,0.00867
,2011-01-20,-25,0.00521
,2011-01-20,-23,0.01501
,2011-01-20,-22,0.02355
,2011-01-21,-27,0.00808
