@T, output
created_at,"Fri Apr 14 13:21:36 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,simRunoff_qm_sec
Type,LocalDate,Integer,Double
Unit,-,-,-
,2011-01-01,-27,0.03604
,2011-01-02,-27,0.03479
,2011-01-03,-27,0.0337
,2011-01-04,-27,0.03232
,2011-01-05,-27,0.0306
,2011-01-06,-27,0.0286
,2011-01-07,-27,0.02648
,2011-01-08,-27,0.02433
,2011-01-09,-27,0.02224
,2011-01-10,-27,0.02026
,2011-01-11,-27,0.01845
,2011-01-12,-27,0.01681
,2011-01-13,-27,0.01532
,2011-01-14,-27,0.014
,2011-01-15,-27,0.01283
,2011-01-16,-27,0.01179
,2011-01-17,-27,0.01087
,2011-01-18,-27,0.01005
,2011-01-19,-27,0.00932
,2011-01-20,-27,0.00867
,2011-01-21,-27,0.00808
,2011-01-22,-27,0.00754
,2011-01-23,-27,0.00706
,2011-01-24,-27,0.00663
,2011-01-25,-27,0.00624
,2011-01-26,-27,0.00588
,2011-01-27,-27,0.00555
,2011-01-28,-27,0.00525
,2011-01-29,-27,0.00497
,2011-01-30,-27,0.00471
,2011-01-31,-27,0.00447
,2011-02-01,-27,0.00425
,2011-02-02,-27,0.00405
,2011-02-03,-27,0.00386
,2011-02-04,-27,0.00368
,2011-02-05,-27,0.00352
,2011-02-06,-27,0.00336
,2011-02-07,-27,0.00322
,2011-02-08,-27,0.00309
,2011-02-09,-27,0.00296
,2011-02-10,-27,0.00285
,2011-02-11,-27,0.00273
,2011-02-12,-27,0.00263
,2011-02-13,-27,0.00253
,2011-02-14,-27,0.00244
,2011-02-15,-27,0.00235
,2011-02-16,-27,0.00227
,2011-02-17,-27,0.00219
,2011-02-18,-27,0.00212
,2011-02-19,-27,0.00205
,2011-02-20,-27,0.00198
,2011-02-21,-27,0.00192
,2011-02-22,-27,0.00186
,2011-02-23,-27,0.0018
,2011-02-24,-27,0.00174
,2011-02-25,-27,0.00169
,2011-02-26,-27,0.00164
,2011-02-27,-27,0.00159
,2011-02-28,-27,0.00155
,2011-03-01,-27,0.0015
,2011-03-02,-27,0.00146
,2011-03-03,-27,0.00142
,2011-03-04,-27,0.00138
,2011-03-05,-27,0.00134
,2011-03-06,-27,0.00131
,2011-03-07,-27,0.00127
,2011-03-08,-27,0.00124
,2011-03-09,-27,0.00121
,2011-03-10,-27,0.00119
,2011-03-11,-27,0.0014
,2011-03-12,-27,0.00338
,2011-03-13,-27,0.01206
,2011-03-14,-27,0.0307
,2011-03-15,-27,0.06032
,2011-03-16,-27,0.11061
,2011-03-17,-27,0.16169
,2011-03-18,-27,0.18725
,2011-03-19,-27,0.19332
,2011-03-20,-27,0.18998
,2011-03-21,-27,0.24205
,2011-03-22,-27,0.24047
