@T, output
created_at,"Mon May 01 14:13:56 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,SurfaceN_in,SurfaceNabs,sinterflowN_in,sinterflowNabs,PercoNabs,Denit_trans,Volati_trans,actnup,SurfaceN,sinterflowN,sum_Ninput,PercoN
Type,LocalDate,Integer,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,-,kgN/ha,kgN,kgN,kgN,kgN,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha
,2011-01-01,9,0,0,0,0.13692,0,0,0,0,0,0.00044,0,0
,2011-01-02,9,0,0,0,0.0008,0,0,0,0,0,2.58133E-6,0,0
,2011-01-03,9,0,0,0,0.00006,0,0,0,0,0,1.98462E-7,0,0
,2011-01-04,9,0,0,0,2.89233E-6,0,0,0,0,0,9.32256E-9,0,0
,2011-01-05,9,0,0,0,1.26641E-7,0,0,0,0,0,4.0819E-10,0,0
,2011-01-06,9,0,0,0,4.75574E-9,0,0,0,0,0,1.53287E-11,0,0
,2011-01-07,9,0,0,0,1.5281E-10,0,0,0,0,0,4.9254E-13,0,0
,2011-01-08,9,0,0,0,3.85636E-12,0,0,0,0,0,1.24298E-14,0,0
,2011-01-09,9,0,0,0,7.07308E-14,0,0,0,0,0,2.2798E-16,0,0
,2011-01-10,9,0,0,0,1.11726E-15,0,0,0,0,0,3.60115E-18,0,0
,2011-01-11,9,0,0,0,1.72494E-17,0,0,0,0,0,5.55983E-20,0,0
,2011-01-12,9,0,0,0,2.60479E-19,0,0,0,0,0,8.39577E-22,0,0
,2011-01-13,9,0,0,0,3.85026E-21,0,0,0,0,0,1.24102E-23,0,0
,2011-01-14,9,0,0,0,5.57516E-23,0,0,0,0,0,1.79699E-25,0,0
,2011-01-15,9,0,0,0,7.91386E-25,0,0,0,0,0,2.5508E-27,0,0
,2011-01-16,9,0,0,0,1.10199E-26,0,0,0,0,0,3.55193E-29,0,0
,2011-01-17,9,0,0,0,1.50626E-28,0,0,0,0,0,4.855E-31,0,0
,2011-01-18,9,0,0,0,2.02233E-30,0,0,0,0,0,6.51838E-33,0,0
,2011-01-19,9,0,0,0,2.47882E-32,0,0,0,0,0,7.98976E-35,0,0
,2011-01-20,9,0,0,0,2.26781E-34,0,0,0,0,0,7.30961E-37,0,0
,2011-01-21,9,0,0,0,2.04171E-36,0,0,0,0,0,6.58084E-39,0,0
,2011-01-22,9,0,0,0,1.80961E-38,0,0,0,0,0,5.83274E-41,0,0
,2011-01-23,9,0,0,0,1.5796E-40,0,0,0,0,0,5.09136E-43,0,0
