@T, output
created_at,"Mon May 01 14:14:38 MDT 2023"
date_format,yyyy-MM-dd
@H,time,precip,tmean,outRD1,insed,gensed,outsed,sedpool
Type,LocalDate,Double,Double,Double,Double,Double,Double,Double
Unit,-,mm,C,l,-,t/d,-,-
,2011-01-01,0.6528,-16.71592,0,0,0,0,0
,2011-01-02,0.32232,-8.12252,0,0,0,0,0
,2011-01-03,0.36382,-6.55,0,0,0,0,0
,2011-01-04,0.00572,-6.8,0,0,0,0,0
,2011-01-05,0.56693,-3.30436,0,0,0,0,0
,2011-01-06,0.20483,-1.52747,0,0,0,0,0
,2011-01-07,0.00297,1.85167,0,0,0,0,0
,2011-01-08,0.76108,-0.35275,0,0,0,0,0
,2011-01-09,8.36618,-9.15713,0,0,0,0,0
,2011-01-10,0.63711,-14.5192,0,0,0,0,0
,2011-01-11,0.27228,-9.53513,0,0,0,0,0
,2011-01-12,0.0048,-6.1,0,0,0,0,0
,2011-01-13,0,-1.35,0,0,0,0,0
,2011-01-14,0.16393,-2.21429,0,0,0,0,0
,2011-01-15,0.15824,-0.97362,0,0,0,0,0
,2011-01-16,1.45378,-0.56372,0,0,0,0,0
,2011-01-17,6.01531,1.06815,0,0,0,0,0
,2011-01-18,0.69825,-3.76208,0,0,0,0,0
,2011-01-19,5.47619,-9.23846,0,0,0,0,0
,2011-01-20,0.88661,-10.54506,0,0,0,0,0
,2011-01-21,1.56826,-5.06262,0,0,0,0,0
,2011-01-22,1.87509,-3.40656,0,0,0,0,0
,2011-01-23,0.27574,-7.93078,0,0,0,0,0
,2011-01-24,0.24482,-7.3,0,0,0,0,0
,2011-01-25,0.07586,-2.04778,0,0,0,0,0
,2011-01-26,0.00194,-6.09946,0,0,0,0,0
,2011-01-27,0,2.23957,0,0,0,0,0
,2011-01-28,0,2.21538,0,0,0,0,0
,2011-01-29,0,0.37694,0,0,0,0,0
,2011-01-30,0.07317,2.12145,0,0,0,0,0
,2011-01-31,2.33075,-11.05162,0,0,0,0,0
,2011-02-01,0.08375,-24,0,0,0,0,0
,2011-02-02,0.00068,-22.5,0,0,0,0,0
,2011-02-03,1.78096,-9.18732,0,0,0,0,0
,2011-02-04,0.55062,-2.17195,0,0,0,0,0
,2011-02-05,13.31872,-3.58019,0,0,0,0,0
,2011-02-06,4.44255,-12.63407,0,0,0,0,0
,2011-02-07,10.15123,-10.5055,0,0,0,0,0
,2011-02-08,1.63786,-22.6489,0,0,0,0,0
,2011-02-09,0.59555,-7.75,0,0,0,0,0
,2011-02-10,0.24187,-10.56427,0,0,0,0,0
,2011-02-11,0.19278,-7.87968,0,0,0,0,0
,2011-02-12,0.15121,2.36157,0,0,0,0,0
,2011-02-13,0.00168,3.39727,0,0,0,0,0
,2011-02-14,0,1.4165,0,0,0,0,0
,2011-02-15,0,4.95661,0,0,0,0,0
,2011-02-16,0.0513,3.10934,0,0,0,0,0
,2011-02-17,2.0786,-5.87144,0,0,0,0,0
,2011-02-18,0.03345,-2.76757,0,0,0,0,0
,2011-02-19,2.0751,1.66264,0,0,0,0,0
,2011-02-20,0.04417,-1.39227,0,0,0,0,0
,2011-02-21,0.17096,-9.47034,0,0,0,0,0
,2011-02-22,0.00225,-4.62473,0,0,0,0,0
,2011-02-23,0.02142,-2.6,0,0,0,0,0
,2011-02-24,2.91586,-6.1544,0,0,0,0,0
,2011-02-25,3.81813,-5.97363,0,0,0,0,0
,2011-02-26,0.6005,-1.31482,0,0,0,0,0
,2011-02-27,0.51668,-0.79998,0,0,0,0,0
,2011-02-28,0.00559,-3.92144,0,0,0,0,0
,2011-03-01,0,-0.45,0,0,0,0,0
,2011-03-02,0,-0.7566,0,0,0,0,0
,2011-03-03,1.2492,-1.51099,0,0,0,0,0
,2011-03-04,0.16488,-5.97583,0,0,0,0,0
,2011-03-05,0.22605,-2.478,0,0,0,0,0
,2011-03-06,2.83257,0.92091,0,0,0,0,0
,2011-03-07,0.73988,-1.40767,0,0,0,0,0
,2011-03-08,0.01068,-3.38514,0,0,0,0,0
,2011-03-09,0.16878,-0.53459,0,0,0,0,0
,2011-03-10,0.00219,1.43791,0,0,0,0,0
,2011-03-11,0,5.31706,0,0,0,0,0
,2011-03-12,3.65475,2.62968,0,0,0,0,0
,2011-03-13,1.62879,0.311,0,0,0,0,0
