@T, output
created_at,"Mon May 01 14:14:37 MDT 2023"
date_format,yyyy-MM-dd
@H,time,precip,tmean,tmax,tmin,rhum,wind,rain,snow,solRad,netRad,netRainOut,netSnowOut,irrigation_amount,interception,intercStorage,throughfall,snowDepth,snowTotSWE,snowMelt,potET,actET,soilSat,soilSatMPS,soilSatLPS,soilActMPS,soilActLPS,percolation,inRD1,inRD2,inRG1,inRG2,actRG1,actRG2,outRD1,outRD2,outRG1,outRG2,actET,E_dps,E_intercept,genRD1,genRD2,genRG1,genRG2
Type,LocalDate,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,mm,C,C,C,-,-,-,-,MJ/m2/day,MJ/m2,-,-,-,-,-,-,-,mm,-,mm,mm,-,-,-,-,-,l,-,l,-,-,-,-,l,l,-,-,mm,-,-,-,-,-,-
,2011-01-01,0.6528,-16.71592,-7.87908,-25.55276,60.36791,11.94267,0,1910659.03851,8.62771,3.09341,0,59701.44284,0,1850957.59567,5976666.53785,59701.44284,98.01208,19958155.30621,0,93560.39353,93560.3924,0.25312,0.56411,0.06246,42712305.45475,4707970.83533,4076.60781,0,6495.71739,1.60927,1.33638,2816.80633,875419.52423,0,62109.77641,5.34036,23.32919,93560.3924,0,1291446.0002,0,55746.32361,5.34036,23.32919
,2011-01-02,0.32232,-8.12252,0.41432,-16.65936,50.23499,7.4876,0,812843.14403,11.44156,2.85893,0,6.30173,0,812836.8423,4320412.35067,6.30173,98.01224,19958161.60793,0,586043.69947,572359.70411,0.24697,0.55405,0.05962,42262536.00926,4564273.14137,3679.34319,0,378.75963,6.5591,1.33719,5067.27179,876583.53652,0,17806.8518,249.39804,23.3637,572359.70411,0,2469091.02949,0,17500.87755,249.39804,23.3637
,2011-01-03,0.36382,-6.55,-4.3,-12.10442,63.95146,5.97187,0,1399551.76816,7.0405,2.76372,0,0.15969,0,1399551.60847,4685233.65246,0.15969,98.01224,19958161.76763,0,1373926.90498,1343341.57852,0.23779,0.53558,0.05622,41122008.85374,4343747.67964,3021.38125,0,342.24651,8.89772,1.33776,6675.52214,877535.1118,0,15031.90398,448.39634,23.39476,1343341.57852,0,1034730.30667,0,14737.57234,448.39634,23.39476
,2011-01-04,0.00572,-6.8,-3.6,-12.96376,55.90729,9.71388,0,20924.8582,11.56696,2.97498,0,0,0,20924.8582,4032419.1484,0,98.01224,19958161.76763,0,2407794.56034,2332226.43808,0.22455,0.50486,0.05219,39098584.53349,4020281.97894,2427.0743,0,311.02118,10.33217,1.33815,7740.48541,878294.88739,0,12547.52975,590.5856,23.42016,2332226.43808,0,673739.36226,0,12262.40667,590.5856,23.42016
,2011-01-05,0.56693,-3.30436,5.57151,-12.18024,71.8854,14.52832,0,1679268.78449,7.66131,2.87754,0,152368.15739,0,1526900.62711,4698654.02506,152368.15739,98.97409,20110529.92501,0,1862697.45643,1817424.61806,0.21399,0.48467,0.047,37768558.71422,3520748.96465,1937.947,0,284.08508,11.0878,1.3384,8380.70093,878896.88026,0,10480.35358,684.72439,23.44044,1817424.61806,0,860665.75045,0,10213.36125,684.72439,23.44044
,2011-01-06,0.20483,-1.52747,6.58135,-9.63629,63.49624,11.02481,0,790878.50972,7.366,2.80309,0,0,0,790878.50972,4912010.14858,0,98.97409,20110529.92501,0,3149349.73791,3029754.19832,0.19774,0.4449,0.04283,35029872.2625,3219792.73756,1520.63618,0,257.14545,11.34465,1.33856,8681.81916,879364.3253,0,8624.98975,741.29962,23.4565,3029754.19832,0,577522.3862,0,8380.33451,741.29962,23.4565
,2011-01-07,0.00297,1.85167,7.91652,-4.21319,60.57229,5.3778,0,10928.98334,11.30467,2.96946,0,0,0,10928.98334,4226395.37464,0,98.97409,20110529.92501,0,3737409.22724,3420233.8679,0.17924,0.40017,0.03803,31968972.0974,2852428.79841,1176.9244,0,232.5643,11.23513,1.33866,8723.27721,879721.00766,0,7085.87625,767.8888,23.46898,3420233.8679,0,696543.75728,0,6862.02942,767.8888,23.46898
,2011-01-08,0.76108,-0.35275,4.18681,-4.89232,63.1475,4.13949,0,1933319.01824,8.01872,2.90012,0,392031.63697,0,1541287.38127,4084790.32775,392031.63697,100.80206,20502561.56198,0,1706412.3865,959625.54409,0.17051,0.38772,0.03316,31376981.90347,2478531.79357,883.30623,0,200.53312,10.87697,1.33872,8561.69452,879983.11446,0,5578.88158,771.5193,23.4785,959625.54409,0,1682892.42816,0,5385.50315,771.5193,23.4785
