@T, output
created_at,"Sat Apr 15 01:21:32 MDT 2023"
date_format,yyyy-MM-dd
@H,time,catchmentSimRunoff
Type,LocalDate,Double
Unit,-,m3/s
,2011-01-01,0.08442
,2011-01-02,0.07742
,2011-01-03,0.07127
,2011-01-04,0.06576
,2011-01-05,0.06075
,2011-01-06,0.05616
,2011-01-07,0.05194
,2011-01-08,0.04806
,2011-01-09,0.04447
,2011-01-10,0.04116
,2011-01-11,0.0381
,2011-01-12,0.03529
,2011-01-13,0.03271
,2011-01-14,0.03033
,2011-01-15,0.02814
,2011-01-16,0.02614
,2011-01-17,0.0243
,2011-01-18,0.02262
,2011-01-19,0.02108
,2011-01-20,0.01967
,2011-01-21,0.01838
,2011-01-22,0.01721
,2011-01-23,0.01613
,2011-01-24,0.01514
,2011-01-25,0.01423
,2011-01-26,0.0134
,2011-01-27,0.01263
,2011-01-28,0.01193
,2011-01-29,0.01128
,2011-01-30,0.01068
,2011-01-31,0.01013
,2011-02-01,0.00962
,2011-02-02,0.00914
,2011-02-03,0.0087
,2011-02-04,0.00829
,2011-02-05,0.0079
,2011-02-06,0.00755
,2011-02-07,0.00722
,2011-02-08,0.00691
,2011-02-09,0.00662
,2011-02-10,0.00635
,2011-02-11,0.00609
,2011-02-12,0.00586
,2011-02-13,0.00563
,2011-02-14,0.00542
,2011-02-15,0.00522
,2011-02-16,0.00503
,2011-02-17,0.00485
,2011-02-18,0.00469
,2011-02-19,0.00453
,2011-02-20,0.00438
,2011-02-21,0.00424
,2011-02-22,0.0041
,2011-02-23,0.00397
,2011-02-24,0.00385
,2011-02-25,0.00374
,2011-02-26,0.00363
,2011-02-27,0.00352
,2011-02-28,0.00342
,2011-03-01,0.00333
,2011-03-02,0.00324
,2011-03-03,0.00315
,2011-03-04,0.00307
,2011-03-05,0.00299
,2011-03-06,0.00291
,2011-03-07,0.00284
,2011-03-08,0.00277
,2011-03-09,0.0027
,2011-03-10,0.00264
,2011-03-11,0.00257
,2011-03-12,0.00251
,2011-03-13,0.00246
,2011-03-14,0.0024
,2011-03-15,0.00235
,2011-03-16,0.0023
,2011-03-17,0.00225
,2011-03-18,0.0022
,2011-03-19,0.00215
,2011-03-20,0.00211
,2011-03-21,0.01283
,2011-03-22,0.0247
,2011-03-23,0.03448
,2011-03-24,0.04317
,2011-03-25,0.07807
,2011-03-26,0.10403
,2011-03-27,0.149
,2011-03-28,0.16654
,2011-03-29,0.16516
,2011-03-30,0.15555
,2011-03-31,0.25285
,2011-04-01,0.56688
,2011-04-02,0.89412
,2011-04-03,0.91684
,2011-04-04,0.81158
,2011-04-05,0.83017
,2011-04-06,0.84931
,2011-04-07,0.87539
,2011-04-08,0.84692
,2011-04-09,0.74569
,2011-04-10,0.60445
,2011-04-11,0.48863
,2011-04-12,0.41292
,2011-04-13,0.39485
,2011-04-14,0.39461
,2011-04-15,0.36864
,2011-04-16,0.44926
,2011-04-17,0.66191
,2011-04-18,0.90364
,2011-04-19,0.97861
,2011-04-20,1.01278
,2011-04-21,0.87717
,2011-04-22,0.72716
,2011-04-23,0.69648
,2011-04-24,0.82879
,2011-04-25,0.8185
,2011-04-26,0.73506
,2011-04-27,0.64809
,2011-04-28,0.57185
,2011-04-29,0.50714
,2011-04-30,0.45149
,2011-05-01,0.40348
,2011-05-02,0.3618
,2011-05-03,0.32581
,2011-05-04,0.29506
,2011-05-05,0.26983
,2011-05-06,0.25058
,2011-05-07,0.23852
,2011-05-08,0.23508
,2011-05-09,0.2405
,2011-05-10,0.25278
,2011-05-11,0.35319
,2011-05-12,0.64647
,2011-05-13,0.96823
,2011-05-14,1.12629
,2011-05-15,1.05686
,2011-05-16,0.87668
,2011-05-17,0.72448
,2011-05-18,0.78804
,2011-05-19,1.05754
,2011-05-20,1.34091
,2011-05-21,1.51532
,2011-05-22,1.7935
,2011-05-23,1.94669
,2011-05-24,1.76703
,2011-05-25,1.50472
,2011-05-26,1.2972
,2011-05-27,1.15471
,2011-05-28,1.15455
,2011-05-29,1.35214
