@T, output
created_at,"Mon May 01 14:15:33 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,sNO3_Pool,sNH4_Pool,sN_activ_pool,sN_stable_pool,sNResiduePool,surfNO3_pool,surfNH4_pool,NO3_Pool[1],NO3_Pool[2],NO3_Pool[3]
Type,LocalDate,Integer,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,-,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha,-,-,kgN/ha,kgN/ha,kgN/ha
,2011-01-01,7,0.00272,0,76.52371,474.32434,0.003,0.00514,0,0.00243,0.00002,0
,2011-01-02,7,0.0024,0,76.52371,474.32434,0.003,0.00608,0,0.00209,0.00003,0
,2011-01-03,7,0.00212,0,76.52371,474.32434,0.003,0.00633,0,0.0018,0.00003,0
,2011-01-04,7,0.00189,0,76.52371,474.32434,0.003,0.00633,0,0.00155,0.00004,0
,2011-01-05,7,0.00168,0,76.52371,474.32434,0.003,0.00749,0,0.00134,0.00004,0
,2011-01-06,7,0.00151,0,76.52371,474.32434,0.003,0.00762,0,0.00116,0.00005,0
,2011-01-07,7,0.00136,0,76.52371,474.32434,0.003,0.00762,0,0.001,0.00005,0
,2011-01-08,7,0.00123,0,76.52371,474.32434,0.003,0.00847,0,0.00086,0.00005,0
,2011-01-09,7,0.00111,0,76.52371,474.32434,0.003,0.01072,0,0.00075,0.00006,0
,2011-01-10,7,0.00101,0,76.52371,474.32434,0.003,0.0117,0,0.00064,0.00006,0
,2011-01-11,7,0.00093,0,76.52371,474.32434,0.003,0.01195,0,0.00056,0.00006,0
,2011-01-12,7,0.00086,0,76.52371,474.32434,0.003,0.01195,0,0.00048,0.00006,0
,2011-01-13,7,0.00079,0,76.52371,474.32434,0.003,0.01195,0,0.00042,0.00006,0
,2011-01-14,7,0.00074,0,76.52371,474.32434,0.003,0.01199,0,0.00036,0.00006,8.69923E-119
,2011-01-15,7,0.00069,0,76.52371,474.32434,0.003,0.01202,0,0.00031,0.00006,2.20632E-118
