@T, output
created_at,"Mon May 01 14:17:52 MDT 2023"
date_format,yyyy-MM-dd
@H,time,SurfaceN_in,SurfaceNabs,sinterflowN_in,sinterflowNabs,PercoNabs,Denit_trans,Volati_trans,actnup,SurfaceN,sinterflowN,sum_Ninput,PercoN
Type,LocalDate,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,kgN/ha,kgN,kgN,kgN,kgN,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha
,2011-01-01,0,0,0.00527,0.02874,0.00028,0.00001,0,0,0,0.0006,0,1.38764E-6
,2011-01-02,0,0,0.0022,0.01861,0.00026,3.6491E-6,0,0,0,0.00053,0,1.2986E-6
,2011-01-03,0,0,0.00179,0.01671,0.00023,3.12657E-6,0,0,0,0.0005,0,1.11379E-6
,2011-01-04,0,0,0.00146,0.01466,0.00019,2.6856E-6,0,0,0,0.00045,0,9.23781E-7
,2011-01-05,0,0,0.0012,0.01274,0.00015,7.41237E-7,0,0,0,0.0004,0,7.40596E-7
,2011-01-06,0,0,0.00096,0.01061,0.00011,6.44083E-7,0,0,0,0.00035,0,5.68917E-7
,2011-01-07,0,0,0.00079,0.00914,0.00009,5.59673E-7,0,0,0,0.00032,0,4.27476E-7
,2011-01-08,0,0,0.00065,0.00737,0.00006,4.86322E-7,0,0,0,0.00027,0,2.99086E-7
,2011-01-09,0,0,0.00053,0.00589,0.00004,4.22557E-7,0,0,0,0.00023,0,1.9267E-7
,2011-01-10,0,0,0.00044,0.00524,0.00003,3.6715E-7,0,0,0,0.00022,0,1.23793E-7
,2011-01-11,0,0,0.00036,0.00485,0.00002,3.19021E-7,0,0,0,0.00021,0,8.29366E-8
,2011-01-12,0,0,0.0003,0.00451,0.00001,2.77211E-7,0,0,0,0.0002,0,5.66152E-8
,2011-01-13,0,0,0.00025,0.00418,0.00001,2.40887E-7,0,0,0,0.00019,0,3.84338E-8
,2011-01-14,0,0,0.0002,0.00389,0.00001,2.09322E-7,0,0,0,0.00018,0,2.62845E-8
,2011-01-15,0,0,0.00017,0.00363,4.01397E-6,1.81893E-7,0,0,0,0.00017,0,1.78561E-8
,2011-01-16,0,0,0.00013,0.0034,2.70135E-6,1.58058E-7,0,0,0,0.00016,0,1.19286E-8
,2011-01-17,0,0,0.00011,0.00309,1.75094E-6,1.37346E-7,0,0,0,0.00015,0,7.69625E-9
,2011-01-18,0,0,0.00009,0.00291,1.10535E-6,1.19348E-7,0,0,0,0.00015,0,4.84577E-9
,2011-01-19,0,0,0.00007,0.00274,6.61655E-7,1.03711E-7,0,0,0,0.00014,0,2.89411E-9
,2011-01-20,0,0,0.00006,0.00245,3.59704E-7,9.01234E-8,0,0,0,0.00012,0,1.56863E-9
,2011-01-21,0,0,0.00005,0.00233,1.83475E-7,7.83153E-8,0,0,0,0.00012,0,7.97076E-10
,2011-01-22,0,0,0.00004,0.00222,7.81942E-8,6.80541E-8,0,0,0,0.00011,0,3.37833E-10
,2011-01-23,0,0,0.00003,0.00212,2.56073E-8,5.91372E-8,0,0,0,0.00011,0,1.09737E-10
,2011-01-24,0,0,0.00002,0.00202,5.18203E-9,5.13884E-8,0,0,0,0.00011,0,2.19475E-11
,2011-01-25,0,0,0.00002,0.00194,3.07646E-10,4.46548E-8,0,0,0,0.0001,0,1.29269E-12
,2011-01-26,0,0,0.00002,0.00186,4.64637E-16,3.88034E-8,0,0,0,0.0001,0,5.63879E-18
,2011-01-27,0,0,0.00001,0.00164,4.27278E-16,3.37187E-8,0,0,0,0.00009,0,5.1854E-18
,2011-01-28,0,0,0.00001,0.00147,3.93501E-16,2.93001E-8,0,0,0,0.00008,0,4.7755E-18
,2011-01-29,0,0,0.00001,0.00127,3.6291E-16,2.54605E-8,0,0,0,0.00007,0,4.40424E-18
,2011-01-30,0,0,0.00001,0.00113,3.24496E-16,2.21239E-8,0,0,0,0.00006,0,3.93806E-18
,2011-01-31,0,0,0.00001,0.00102,1.04799E-16,1.92246E-8,0,0,0,0.00006,0,1.27183E-18
,2011-02-01,0,0,0.00001,0.00093,2.44877E-18,1.67052E-8,0,0,0,0.00005,0,2.9718E-20
,2011-02-02,0,0,0.00001,0.00092,2.37149E-18,1.45159E-8,0,0,0,0.00005,0,2.87802E-20
,2011-02-03,0,0,0.00001,0.0009,2.29726E-18,1.26134E-8,0,0,0,0.00005,0,2.78793E-20
,2011-02-04,0,0,0.00001,0.00089,2.22582E-18,1.09603E-8,0,0,0,0.00005,0,2.70124E-20
,2011-02-05,0,0,0.00001,0.00087,2.15706E-18,9.52382E-9,0,0,0,0.00005,0,2.61779E-20
,2011-02-06,0,0,0.00001,0.00086,2.09085E-18,8.27558E-9,0,0,0,0.00005,0,2.53744E-20
,2011-02-07,0,0,0.00001,0.00085,2.02708E-18,7.19092E-9,0,0,0,0.00005,0,2.46005E-20
,2011-02-08,0,0,0.00001,0.00083,1.96566E-18,6.24841E-9,0,0,0,0.00005,0,2.38551E-20
,2011-02-09,0,0,0.00001,0.00082,1.90647E-18,5.42942E-9,0,0,0,0.00005,0,2.31368E-20
,2011-02-10,0,0,0.00001,0.00081,1.84942E-18,4.71776E-9,0,0,0,0.00005,0,2.24445E-20
,2011-02-11,0,0,0.00001,0.0008,1.79443E-18,4.09938E-9,0,0,0,0.00004,0,2.17771E-20
,2011-02-12,0,0,0.00001,0.00079,1.74141E-18,3.56204E-9,0,0,0,0.00004,0,2.11336E-20
,2011-02-13,0,0,0.00001,0.00078,1.69026E-18,3.09512E-9,0,0,0,0.00004,0,2.05129E-20
,2011-02-14,0,0,0.00001,0.00077,1.64093E-18,2.68941E-9,0,0,0,0.00004,0,1.99142E-20
,2011-02-15,0,0,0.00001,0.00076,1.59333E-18,2.33687E-9,0,0,0,0.00004,0,1.93365E-20
,2011-02-16,0,0,0.00001,0.00075,1.54738E-18,2.03054E-9,0,0,0,0.00004,0,1.87789E-20
,2011-02-17,0,0,0.00001,0.00074,1.50303E-18,1.76436E-9,0,0,0,0.00004,0,1.82407E-20
,2011-02-18,0,0,0.00001,0.00074,1.46021E-18,1.53307E-9,0,0,0,0.00004,0,1.7721E-20
,2011-02-19,0,0,0.00001,0.00073,1.41886E-18,1.3321E-9,0,0,0,0.00004,0,1.72192E-20
,2011-02-20,0,0,0.00001,0.00071,1.37892E-18,1.15747E-9,0,0,0,0.00004,0,1.67344E-20
,2011-02-21,0,0,0.00001,0.00069,1.34032E-18,1.00573E-9,0,0,0,0.00004,0,1.62661E-20
,2011-02-22,0,0,0.00001,0.00066,1.30303E-18,8.73882E-10,0,0,0,0.00004,0,1.58135E-20
,2011-02-23,0,0,0.00001,0.00063,1.26698E-18,7.59318E-10,0,0,0,0.00003,0,1.5376E-20
,2011-02-24,0,0,0.00001,0.00058,1.23214E-18,6.59771E-10,0,0,0,0.00003,0,1.49531E-20
,2011-02-25,0,0,0.00001,0.00054,1.19845E-18,5.73274E-10,0,0,0,0.00003,0,1.45442E-20
,2011-02-26,0,0,0.00001,0.00051,1.16586E-18,4.98116E-10,0,0,0,0.00003,0,1.41488E-20
