@T, output
created_at,"Mon May 01 14:18:47 MDT 2023"
date_format,yyyy-MM-dd
@H,time,sNO3_Pool,sNH4_Pool,sN_activ_pool,sN_stable_pool,sNResiduePool
Type,LocalDate,Double,Double,Double,Double,Double
Unit,-,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha
,2011-01-01,0.32332,0,28.86112,2010.76574,0.00034
,2011-01-02,0.32402,0,28.86097,2010.76524,0.00034
,2011-01-03,0.31663,0,28.86084,2010.76475,0.00034
,2011-01-04,0.30506,0,28.86072,2010.76425,0.00034
,2011-01-05,0.29638,0,28.86062,2010.76376,0.00034
,2011-01-06,0.28089,0,28.86054,2010.76327,0.00034
,2011-01-07,0.26294,0,28.86048,2010.76277,0.00034
,2011-01-08,0.25826,0,28.86043,2010.76228,0.00034
,2011-01-09,0.261,0,28.86037,2010.76178,0.00034
,2011-01-10,0.26355,0,28.86032,2010.76129,0.00034
,2011-01-11,0.26561,0,28.86026,2010.7608,0.00034
,2011-01-12,0.26755,0,28.86021,2010.7603,0.00034
,2011-01-13,0.26949,0,28.86015,2010.75981,0.00034
,2011-01-14,0.27144,0,28.86009,2010.75931,0.00034
,2011-01-15,0.27094,0,28.86003,2010.75882,0.00034
,2011-01-16,0.27278,0,28.85998,2010.75832,0.00034
,2011-01-17,0.27309,0,28.85992,2010.75783,0.00034
,2011-01-18,0.26864,0,28.85987,2010.75733,0.00034
,2011-01-19,0.27058,0,28.85983,2010.75684,0.00034
,2011-01-20,0.27253,0,28.85978,2010.75635,0.00034
,2011-01-21,0.27449,0,28.85974,2010.75585,0.00034
,2011-01-22,0.27645,0,28.85969,2010.75536,0.00034
,2011-01-23,0.2784,0,28.85964,2010.75486,0.00034
,2011-01-24,0.28035,0,28.8596,2010.75437,0.00034
,2011-01-25,0.27182,0,28.85957,2010.75387,0.00034
,2011-01-26,0.26315,0,28.85955,2010.75338,0.00034
,2011-01-27,0.2424,0,28.85956,2010.75288,0.00034
,2011-01-28,0.22403,0,28.85961,2010.75239,0.00034
,2011-01-29,0.20869,0,28.85966,2010.75189,0.00034
,2011-01-30,0.19283,0,28.85971,2010.7514,0.00034
