@T, output
created_at,"Mon May 01 14:18:47 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,simRunoff_qm_sec,simRunoff,reachNitrateConcentration,reachNitrateLoads,actRD1,actRD2,actRG1,actRG2,outRD1,outRD2,outRG1,outRG2
Type,LocalDate,Integer,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,-,-,-,mg/L as N,kg as N,-,-,-,-,-,-,-,-
,2011-01-01,-27,0.01493,1290087.25618,0.02649,0.21237,8.75911E-11,6727207.46334,409.02576,448.97892,1.67953E-11,1289922.73624,78.42952,86.09042
,2011-01-01,-25,0.00891,770055.11636,0.00104,0.00683,3.7123E-11,5777926.16886,380.40378,522.29287,4.94681E-12,769934.82794,50.69053,69.59789
,2011-01-01,-23,0.02431,2100736.34007,0.04417,0.42869,41.32504,7603766.14493,552.51794,462.2181,11.41552,2100444.6165,152.62612,127.68193
,2011-01-01,-22,0.02565,2216458.78914,0.09924,0.22511,16.29961,51887.97568,4.92874,3.31842,695.92888,2215410.73909,210.43769,141.68348
,2011-01-02,-27,0.01392,1202607.24197,0.03427,0.26389,8.06181E-11,6490798.03473,6106.12397,446.64007,1.49218E-11,1201394.37819,1130.19431,82.66947
,2011-01-02,-25,0.00842,727885.4109,0.00105,0.00669,3.50982E-11,5624532.99373,375.26547,538.92156,4.54141E-12,727767.12281,48.55619,69.7319
,2011-01-02,-23,0.02229,1926019.40036,0.04436,0.40799,40.56685,7265928.23428,5659.97776,442.73964,10.74419,1924392.34202,1499.05387,117.26028
,2011-01-02,-22,0.02495,2155856.84746,0.09828,0.21689,15.30942,50922.10811,6.36508,3.25678,647.82786,2154801.86444,269.34253,137.81264
,2011-01-03,-27,0.01304,1126569.01577,0.0428,0.31745,7.44578E-11,6273845.54613,16313.13241,446.48294,1.33345E-11,1123567.57745,2921.47878,79.95953
,2011-01-03,-25,0.0079,682648.76119,0.00102,0.00623,3.31453E-11,5455346.85008,369.84411,552.45969,4.1469E-12,682533.36924,46.27221,69.11974
,2011-01-03,-23,0.02082,1799190.22283,0.04544,0.40087,41.29728,7001780.82099,19908.78039,429.75835,10.58103,1793968.58187,5100.94895,110.11098
,2011-01-03,-22,0.02451,2117975.72911,0.09607,0.20832,14.52594,50310.24673,11.90892,3.21912,611.15732,2116728.08207,501.0501,135.43962
,2011-01-04,-27,0.01225,1058500.97571,0.06689,0.47882,6.89884E-11,6069503.5268,30175.79814,448.10777,1.19709E-11,1053187.0811,5236.13845,77.75617
,2011-01-04,-25,0.00737,636850.92114,0.00089,0.00529,3.13028E-11,5278680.21752,365.32397,563.87748,3.77589E-12,636738.83656,44.06707,68.01751
,2011-01-04,-23,0.01971,1703348.59567,0.04738,0.40421,42.76804,6781697.31735,45971.96889,422.27802,10.66893,1691764.40292,11468.18221,105.34161
,2011-01-04,-22,0.02401,2074775.55665,0.09403,0.19975,13.78292,49602.61121,24.41138,3.17723,576.03065,2073046.51295,1020.22692,132.78613
,2011-01-05,-27,0.01153,996516.86985,0.09686,0.67013,6.41038E-11,5874481.91389,46866.32785,451.08406,1.07873E-11,988554.32391,7886.63779,75.90816
,2011-01-05,-25,0.00685,592056.15432,0.00071,0.00405,2.95897E-11,5100069.97166,362.36477,574.05368,3.43438E-12,591947.46747,42.05842,66.62842
,2011-01-05,-23,0.01884,1628030.2779,0.04993,0.41443,44.39283,6586947.6124,84848.69668,419.61794,10.83184,1607213.99314,20703.06622,102.3867
,2011-01-05,-22,0.02348,2028656.01875,0.09211,0.19137,13.08054,48833.85672,46.68544,3.13396,542.69289,2026046.39047,1936.91182,130.02358
,2011-01-06,-27,0.01088,939675.46242,0.13206,0.88396,5.97211E-11,5687571.08949,65769.57716,455.10329,9.7533E-12,928860.04427,10741.09341,74.32474
,2011-01-06,-25,0.00636,549429.69029,0.0005,0.00276,2.80131E-11,4924149.81091,361.26932,583.73353,3.12507E-12,549324.26843,40.30219,65.11967
