@T, output
created_at,"Mon May 01 04:20:36 MDT 2023"
date_format,yyyy-MM-dd
@H,time,catchmentSimRunoff
Type,LocalDate,Double
Unit,-,m3/s
,2011-01-01,0.12424
,2011-01-02,0.10598
,2011-01-03,0.09066
,2011-01-04,0.07797
,2011-01-05,0.06748
,2011-01-06,0.0588
,2011-01-07,0.05158
,2011-01-08,0.04556
,2011-01-09,0.04048
,2011-01-10,0.03618
,2011-01-11,0.03252
,2011-01-12,0.02938
,2011-01-13,0.02668
,2011-01-14,0.02433
,2011-01-15,0.02228
,2011-01-16,0.02048
,2011-01-17,0.0189
,2011-01-18,0.01749
,2011-01-19,0.01625
,2011-01-20,0.01513
,2011-01-21,0.01413
,2011-01-22,0.01322
,2011-01-23,0.01241
,2011-01-24,0.01167
,2011-01-25,0.011
,2011-01-26,0.01039
,2011-01-27,0.00983
,2011-01-28,0.00931
,2011-01-29,0.00884
,2011-01-30,0.00841
,2011-01-31,0.00801
,2011-02-01,0.00766
,2011-02-02,0.00736
,2011-02-03,0.00712
,2011-02-04,0.00695
,2011-02-05,0.00685
,2011-02-06,0.00682
,2011-02-07,0.00687
,2011-02-08,0.00697
,2011-02-09,0.00711
,2011-02-10,0.00728
,2011-02-11,0.00744
,2011-02-12,0.0076
,2011-02-13,0.00772
,2011-02-14,0.00781
,2011-02-15,0.00786
,2011-02-16,0.00786
,2011-02-17,0.00783
,2011-02-18,0.00776
,2011-02-19,0.00766
,2011-02-20,0.00753
,2011-02-21,0.00737
,2011-02-22,0.0072
,2011-02-23,0.00702
,2011-02-24,0.00683
,2011-02-25,0.00664
,2011-02-26,0.00644
,2011-02-27,0.00625
,2011-02-28,0.00607
,2011-03-01,0.0059
,2011-03-02,0.00573
,2011-03-03,0.00558
,2011-03-04,0.00545
,2011-03-05,0.00533
,2011-03-06,0.00522
,2011-03-07,0.00513
,2011-03-08,0.00506
,2011-03-09,0.00512
,2011-03-10,0.0059
,2011-03-11,0.01216
,2011-03-12,0.04594
,2011-03-13,0.14681
,2011-03-14,0.28289
,2011-03-15,0.37395
,2011-03-16,0.72396
,2011-03-17,0.83141
,2011-03-18,0.75039
,2011-03-19,1.04164
,2011-03-20,1.36475
,2011-03-21,1.34636
,2011-03-22,1.14243
,2011-03-23,0.79545
,2011-03-24,0.54593
,2011-03-25,0.39009
,2011-03-26,0.29355
,2011-03-27,0.23211
,2011-03-28,0.19154
,2011-03-29,0.16376
,2011-03-30,0.14411
,2011-03-31,0.13268
,2011-04-01,0.12771
,2011-04-02,0.14299
,2011-04-03,0.19238
,2011-04-04,0.26317
,2011-04-05,0.32524
,2011-04-06,0.3568
,2011-04-07,0.35622
,2011-04-08,0.33408
,2011-04-09,0.30206
,2011-04-10,0.2681
,2011-04-11,0.23633
,2011-04-12,0.20854
,2011-04-13,0.18523
,2011-04-14,0.16694
,2011-04-15,0.15898
,2011-04-16,0.25785
,2011-04-17,0.62503
,2011-04-18,0.95891
,2011-04-19,0.92942
,2011-04-20,0.87282
,2011-04-21,0.77048
,2011-04-22,0.67506
,2011-04-23,0.67066
,2011-04-24,1.10354
,2011-04-25,1.16933
,2011-04-26,1.09249
,2011-04-27,0.97838
,2011-04-28,0.89262
,2011-04-29,0.81729
,2011-04-30,0.7326
,2011-05-01,0.64114
,2011-05-02,0.5531
,2011-05-03,0.47544
,2011-05-04,0.41228
,2011-05-05,0.36321
,2011-05-06,0.32508
,2011-05-07,0.29442
,2011-05-08,0.26863
,2011-05-09,0.2463
,2011-05-10,0.22795
,2011-05-11,0.53971
,2011-05-12,0.96351
,2011-05-13,0.91738
,2011-05-14,0.95274
,2011-05-15,0.76948
,2011-05-16,0.59181
,2011-05-17,0.45318
,2011-05-18,1.37151
,2011-05-19,2.06194
,2011-05-20,3.66733
,2011-05-21,3.6068
,2011-05-22,2.84792
,2011-05-23,2.2424
,2011-05-24,1.70784
,2011-05-25,1.3115
,2011-05-26,1.02906
,2011-05-27,0.82514
,2011-05-28,0.68014
,2011-05-29,0.57579
