@T, output
created_at,"Mon May 01 14:19:34 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,sNO3_Pool,sNH4_Pool,sN_activ_pool,sN_stable_pool,sNResiduePool,surfNO3_pool,surfNH4_pool,NO3_Pool[1],NO3_Pool[2],NO3_Pool[3]
Type,LocalDate,Integer,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,-,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha,-,-,kgN/ha,kgN/ha,kgN/ha
,2011-01-01,1,0.00728,0,47.44864,4338.9374,3.01462E-29,0.00194,0,0.0065,NaN,NaN
,2011-01-01,3,1.13279,0,12.08128,1120.29406,2.30418E-30,0.00192,0,1.11688,NaN,NaN
,2011-01-01,7,0.00304,0,76.52371,474.32434,0.003,0.00514,0,0.00257,0.00014,0
,2011-01-01,9,0.0537,0,37.62843,3272.61258,1.57644E-30,0.00443,0,0.03018,0.00276,NaN
,2011-01-01,16,0.00445,0,9.73566,810.44133,2.013E-17,0.00274,0,0.00334,4.15085E-34,NaN
,2011-01-02,1,0.00888,0,47.44864,4338.9374,3.01462E-29,0,0,0.00612,NaN,NaN
,2011-01-02,3,1.13248,0,12.08128,1120.29406,2.30418E-30,0,0,1.10851,NaN,NaN
,2011-01-02,7,0.00301,0,76.52371,474.32434,0.003,0.00608,0,0.00247,0.00021,3.44217E-43
,2011-01-02,9,0.05138,0,37.62843,3272.61258,1.57644E-30,0.00444,0,0.02845,0.00268,NaN
,2011-01-02,16,0.00445,0,9.73566,810.44133,2.013E-17,0.00312,0,0.00334,4.46438E-32,NaN
,2011-01-03,1,0.00868,0,47.44864,4338.9374,3.01462E-29,0,0,0.00586,NaN,NaN
,2011-01-03,3,1.13066,0,12.08128,1120.29406,2.30418E-30,0,0,1.09997,NaN,NaN
,2011-01-03,7,0.00299,0,76.52371,474.32434,0.003,0.00633,0,0.00239,0.00027,8.07673E-39
,2011-01-03,9,0.04684,0,37.62843,3272.61258,1.57644E-30,0.00444,0,0.02503,0.00253,NaN
