@T, output
created_at,"Mon May 01 08:10:27 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,simRunoff_qm_sec
Type,LocalDate,Integer,Double
Unit,-,-,-
,2011-01-01,-27,0.12109
,2011-01-02,-27,0.09935
,2011-01-03,-27,0.07777
,2011-01-04,-27,0.0598
,2011-01-05,-27,0.04603
,2011-01-06,-27,0.03578
,2011-01-07,-27,0.02824
,2011-01-08,-27,0.02262
,2011-01-09,-27,0.01838
,2011-01-10,-27,0.01515
,2011-01-11,-27,0.0127
,2011-01-12,-27,0.01081
,2011-01-13,-27,0.00933
,2011-01-14,-27,0.00815
,2011-01-15,-27,0.00721
,2011-01-16,-27,0.00644
,2011-01-17,-27,0.0058
,2011-01-18,-27,0.00526
,2011-01-19,-27,0.0048
,2011-01-20,-27,0.0044
,2011-01-21,-27,0.00405
,2011-01-22,-27,0.00374
,2011-01-23,-27,0.00347
,2011-01-24,-27,0.00322
,2011-01-25,-27,0.003
,2011-01-26,-27,0.00281
,2011-01-27,-27,0.00263
,2011-01-28,-27,0.00247
,2011-01-29,-27,0.00232
,2011-01-30,-27,0.00233
,2011-01-31,-27,0.0029
,2011-02-01,-27,0.00452
,2011-02-02,-27,0.00703
,2011-02-03,-27,0.00956
,2011-02-04,-27,0.01132
,2011-02-05,-27,0.01283
,2011-02-06,-27,0.01456
,2011-02-07,-27,0.01627
,2011-02-08,-27,0.01739
,2011-02-09,-27,0.01763
,2011-02-10,-27,0.01706
,2011-02-11,-27,0.01595
,2011-02-12,-27,0.01458
,2011-02-13,-27,0.0134
,2011-02-14,-27,0.0149
,2011-02-15,-27,0.02834
,2011-02-16,-27,0.05191
,2011-02-17,-27,0.06616
,2011-02-18,-27,0.0673
,2011-02-19,-27,0.07669
,2011-02-20,-27,0.09618
,2011-02-21,-27,0.08656
,2011-02-22,-27,0.0775
,2011-02-23,-27,0.06641
,2011-02-24,-27,0.05517
,2011-02-25,-27,0.04535
,2011-02-26,-27,0.03744
,2011-02-27,-27,0.0318
,2011-02-28,-27,0.02811
,2011-03-01,-27,0.02607
,2011-03-02,-27,0.02588
,2011-03-03,-27,0.02696
,2011-03-04,-27,0.02805
,2011-03-05,-27,0.02882
,2011-03-06,-27,0.05876
,2011-03-07,-27,0.09824
,2011-03-08,-27,0.11009
,2011-03-09,-27,0.14184
,2011-03-10,-27,0.14441
,2011-03-11,-27,0.17852
,2011-03-12,-27,0.20031
,2011-03-13,-27,0.20273
,2011-03-14,-27,0.19437
,2011-03-15,-27,0.26132
,2011-03-16,-27,0.34982
,2011-03-17,-27,0.3334
,2011-03-18,-27,0.26794
,2011-03-19,-27,0.20704
,2011-03-20,-27,0.16386
,2011-03-21,-27,0.15617
,2011-03-22,-27,0.14677
