@T, output
created_at,"Mon May 01 14:20:35 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,precip,tmean,outRD1,insed,gensed,outsed,sedpool
Type,LocalDate,Integer,Double,Double,Double,Double,Double,Double,Double
Unit,-,-,mm,C,l,-,t/d,-,-
,2011-01-01,16,1.18418,-17.71167,0,0,0,0,0
,2011-01-02,16,0.95018,-8.92554,0,0,0,0,0
,2011-01-03,16,0.0354,-6.55,0,0,0,0,0
,2011-01-04,16,0.00065,-6.8,0,0,0,0,0
,2011-01-05,16,0.96636,-6.09888,0,0,0,0,0
,2011-01-06,16,0.02626,-1.69878,0,0,0,0,0
,2011-01-07,16,0.00043,0.34199,0,0,0,0,0
,2011-01-08,16,1.09602,0.21471,0,0,0,0,0
,2011-01-09,16,5.40801,-10.40984,0,0,0,0,0
,2011-01-10,16,0.93469,-17.36725,0,0,0,0,0
,2011-01-11,16,0.18545,-12.40459,0,0,0,0,0
,2011-01-12,16,0.00474,-6.1,0,0,0,0,0
,2011-01-13,16,0,-1.35,0,0,0,0,0
,2011-01-14,16,0,-1.79672,0,0,0,0,0
,2011-01-15,16,0,-1.74452,0,0,0,0,0
,2011-01-16,16,1.89532,-1.62371,0,0,0,0,0
,2011-01-17,16,12.15798,-0.92334,0,0,0,0,0
,2011-01-18,16,1.23604,-4.38308,0,0,0,0,0
,2011-01-19,16,4.17788,-9.08857,0,0,0,0,0
,2011-01-20,16,1.43441,-10.20244,0,0,0,0,0
,2011-01-21,16,2.46155,-6.15473,0,0,0,0,0
,2011-01-22,16,1.98993,-6.13683,0,0,0,0,0
,2011-01-23,16,0.21582,-7.0314,0,0,0,0,0
,2011-01-24,16,0.7942,-7.3,0,0,0,0,0
,2011-01-25,16,0.02346,-4.06068,0,0,0,0,0
,2011-01-26,16,0.00043,-5.62835,0,0,0,0,0
,2011-01-27,16,0,1.08322,0,0,0,0,0
,2011-01-28,16,0,2.74002,0,0,0,0,0
,2011-01-29,16,0,-0.89719,0,0,0,0,0
,2011-01-30,16,0,0.0336,0,0,0,0,0
,2011-01-31,16,1.40373,-13.43927,0,0,0,0,0
,2011-02-01,16,0.03747,-24,0,0,0,0,0
