@T, output
created_at,"Mon May 01 14:20:35 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,LAI,BioAct,precip,tmean,tmax,tmin,rhum,wind,rain,snow,solRad,netRad,netRainOut,netSnowOut,irrigation_amount,interception,intercStorage,throughfall,snowDepth,snowTotSWE,snowMelt,potET,actET,E_dps,E_intercept,actDPS,soilSat,soilSatMPS,soilSatLPS,soilActMPS,soilActLPS,percolation,inRD1,inRD2,inRG1,inRG2,actRG1,actRG2,genRD1,genRD2,genRG1,genRG2,outRD1,outRD2,outRG1,outRG2,inSoilStor
Type,LocalDate,Integer,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,-,-,kg/ha,mm,C,C,C,-,-,-,-,MJ/m2/day,MJ/m2,-,-,-,-,-,-,-,mm,-,mm,mm,-,-,-,-,-,-,-,-,l,-,l,-,-,-,-,-,-,-,-,l,l,-,-,-
,2011-01-01,9,4,10219.9813,0.01511,-16.78268,-8.11596,-25.4494,60.36791,12.28339,0,0.01511,8.62771,3.4175,0,0,0,0.01511,0.73032,0,0,0,0,0,0,0,0.55267,0,0.15606,0.43289,0.02198,18.14574,1.90273,1.56685E-55,0,0,0,0,1.06835E-55,0.17954,0,0.45041,1.78908E-236,0.00001,0,0.45041,1.78908E-236,0.00001,0
,2011-01-02,9,4,10219.9813,0.00965,-8.17635,0.19037,-16.54307,50.235,7.59884,0,0.00965,11.44156,3.28782,0,0,0,0.00965,0,0,0,0,0,0.48685,0.33837,0,0.73997,0,0.1534,0.42485,0.02194,17.80876,1.89844,5.47965E-74,0,0,0,0,9.95275E-56,0.17953,0,0.0029,7.30796E-57,0.00001,0,0.0029,7.30796E-57,0.00001,0
,2011-01-03,9,4,10219.9813,0.00024,-6.55,-4.3,-11.96516,63.95146,6.11324,0,0.00024,7.0405,3.02615,0,0,0,0.00024,0,0,0,0,0,0.97515,0.6289,0,0.00024,0,0.14849,0.41446,0.01967,17.3729,1.70252,3.01826E-76,0,0,0,0,9.27194E-56,0.17952,0,0.00288,6.80807E-57,0.00001,0,0.00288,6.80807E-57,0.00001,0
,2011-01-04,9,4,10219.9813,0,-6.8,-3.6,-12.83886,55.90729,10.03736,0,0,11.56696,3.40613,0,0,0,0,0,0,0,0,0,1.2542,0.68877,0,0,0,0.14311,0.4072,0.0152,17.06897,1.31571,2.58473E-83,0,0,0,0,8.63771E-56,0.1795,0,0.00198,6.34237E-57,0.00001,0,0.00198,6.34237E-57,0.00001,0
,2011-01-05,9,4,10219.9813,0.01379,-3.49171,5.10493,-12.08836,71.88541,14.92669,0,0.01379,7.66131,3.1624,0,0,0,0.01379,0,0,0,0,0,1.05133,0.5042,0,0.01379,0,0.13918,0.40696,0.00948,17.0589,0.82076,1.55795E-93,0,0,0,0,8.04685E-56,0.17949,0,0.00081,5.90853E-57,0.00001,0,0.00081,5.90853E-57,0.00001,0
,2011-01-06,9,4,10219.9813,0,-1.53896,6.42199,-9.4999,63.49624,11.2571,0,0,7.366,3.07777,0,0,0,0,0,0,0,0,0,1.50827,0.82313,0,0,0,0.13277,0.40209,0.00233,16.85456,0.20181,5.20034E-94,0,0,0,0,7.49642E-56,0.17947,0,0.00016,5.50436E-57,0.00001,0,0.00016,5.50436E-57,0.00001,0
,2011-01-07,9,4,10219.9813,0,1.75045,7.68826,-4.18735,60.57229,5.43459,0,0,11.30467,3.39025,0,0,0,0,0,0,0,0,0,1.76397,0.95895,0,0,0,0.12531,0.384,0.00001,16.09615,0.00127,8.08973E-119,0,0,0,0,6.98363E-56,0.17946,0,1.25607E-6,5.12784E-57,0.00001,0,1.25607E-6,5.12784E-57,0.00001,0
,2011-01-08,9,4,10219.9813,0.70761,-0.31471,4.21265,-4.84207,63.1475,4.23145,0,0.70761,8.01872,3.19856,0,0,0,0.70761,0,0,0,0,0,0.66946,0.34103,0,0.70761,0,0.12265,0.37589,7.33007E-8,15.75638,0.00001,6.46553E-212,0,0,0,0,6.50592E-56,0.17945,0,3.13307E-14,4.77708E-57,0.00001,0,3.13307E-14,4.77708E-57,0.00001,0
,2011-01-09,9,4,10219.9813,7.52938,-9.24111,0.60723,-19.08946,89.52229,1.50436,0,7.52938,3.66028,2.82609,0,0,0,7.52938,7.25147,0,0,0,0,0,0,0,0.27791,0,0.12265,0.37589,3.17561E-10,15.75639,2.74842E-8,2.03379E-304,0,0,0,0,6.06089E-56,0.17943,0,3.60583E-22,4.45031E-57,0.00001,0,3.60583E-22,4.45031E-57,0.00001,0
