@T, output
created_at,"Mon May 01 05:38:01 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,simRunoff_qm_sec
Type,LocalDate,Integer,Double
Unit,-,-,-
,2011-01-01,-27,0.02539
,2011-01-01,-25,0.02414
,2011-01-01,-23,0.03986
,2011-01-01,-22,0.04753
,2011-01-02,-27,0.02536
,2011-01-02,-25,0.02508
,2011-01-02,-23,0.03838
,2011-01-02,-22,0.04577
,2011-01-03,-27,0.02577
,2011-01-03,-25,0.02523
,2011-01-03,-23,0.03751
,2011-01-03,-22,0.04437
,2011-01-04,-27,0.02613
,2011-01-04,-25,0.0244
,2011-01-04,-23,0.03673
,2011-01-04,-22,0.04309
,2011-01-05,-27,0.02615
,2011-01-05,-25,0.02289
,2011-01-05,-23,0.03588
,2011-01-05,-22,0.0419
,2011-01-06,-27,0.02571
,2011-01-06,-25,0.02104
,2011-01-06,-23,0.03492
,2011-01-06,-22,0.04076
,2011-01-07,-27,0.02484
,2011-01-07,-25,0.01911
,2011-01-07,-23,0.03386
,2011-01-07,-22,0.03964
,2011-01-08,-27,0.02364
,2011-01-08,-25,0.01724
,2011-01-08,-23,0.03267
,2011-01-08,-22,0.03853
,2011-01-09,-27,0.02222
,2011-01-09,-25,0.01548
,2011-01-09,-23,0.03136
,2011-01-09,-22,0.0374
,2011-01-10,-27,0.0207
,2011-01-10,-25,0.0139
,2011-01-10,-23,0.02995
,2011-01-10,-22,0.03624
,2011-01-11,-27,0.01919
,2011-01-11,-25,0.01249
,2011-01-11,-23,0.02848
,2011-01-11,-22,0.03504
,2011-01-12,-27,0.01772
,2011-01-12,-25,0.01125
,2011-01-12,-23,0.02696
,2011-01-12,-22,0.03382
,2011-01-13,-27,0.01635
,2011-01-13,-25,0.01017
,2011-01-13,-23,0.02545
,2011-01-13,-22,0.03257
,2011-01-14,-27,0.01507
,2011-01-14,-25,0.00922
,2011-01-14,-23,0.02395
,2011-01-14,-22,0.0313
,2011-01-15,-27,0.0139
,2011-01-15,-25,0.0084
,2011-01-15,-23,0.02249
,2011-01-15,-22,0.03003
,2011-01-16,-27,0.01283
,2011-01-16,-25,0.00768
,2011-01-16,-23,0.0211
,2011-01-16,-22,0.02876
,2011-01-17,-27,0.01186
,2011-01-17,-25,0.00705
,2011-01-17,-23,0.01977
,2011-01-17,-22,0.0275
,2011-01-18,-27,0.01099
,2011-01-18,-25,0.00649
,2011-01-18,-23,0.01852
,2011-01-18,-22,0.02627
,2011-01-19,-27,0.01019
,2011-01-19,-25,0.00599
,2011-01-19,-23,0.01734
,2011-01-19,-22,0.02507
,2011-01-20,-27,0.00947
,2011-01-20,-25,0.00554
,2011-01-20,-23,0.01625
,2011-01-20,-22,0.02391
,2011-01-21,-27,0.00882
