@T, output
created_at,"Mon May 01 14:21:19 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,swc_h[0],swc_h[1],swc_h[2],swc_h[3],outRD2_h[0],outRD2_h[1],outRD2_h[2],outRD2_h[3],NO3_N[0],NO3_N[1],NO3_N[2],NO3_N[3],InterflowN[0],InterflowN[1],InterflowN[2],InterflowN[3]
Type,LocalDate,Integer,Double,Double,Double,Double,Double,Double,Double,Double,Object,Object,Object,Object,Double,Double,Double,Double
Unit,-,-,-,-,-,-,l,l,l,l,mg/L,mg/L,mg/L,mg/L,kgN/ha,kgN/ha,kgN/ha,kgN/ha
,2011-01-01,1,0.08325,0.09977,NaN,NaN,0.00001,0.1407,NaN,NaN,null,null,null,null,8.456E-10,0.0001,NaN,NaN
,2011-01-01,3,0.09026,0.11979,NaN,NaN,0.00011,0.00017,NaN,NaN,null,null,null,null,2.09797E-7,0.00001,NaN,NaN
,2011-01-01,7,0.20273,0.14953,0.02855,0.01451,0.15747,0.02736,1.65182E-35,4.29885E-172,null,null,null,null,0.00001,4.12072E-6,0,0
,2011-01-01,9,0.11431,0.04686,0.03221,NaN,0.07352,2.85537E-51,2.40857E-260,NaN,null,null,null,null,0.00009,0,0,NaN
,2011-01-01,16,0.19622,0.08971,0.07288,NaN,0.05389,1.89628E-24,4.86163E-116,NaN,null,null,null,null,0.00001,9.54799E-101,0,NaN
,2011-01-02,1,0.0835,0.09802,NaN,NaN,9.82092E-39,0.12003,NaN,NaN,null,null,null,null,1.06601E-42,0.00008,NaN,NaN
,2011-01-02,3,0.09098,0.11933,NaN,NaN,4.0404E-12,0.00016,NaN,NaN,null,null,null,null,7.44094E-15,0.00001,NaN,NaN
,2011-01-02,7,0.20273,0.14916,0.02864,0.01451,2.87546E-28,0.02583,2.95566E-35,5.11361E-171,null,null,null,null,1.20794E-32,3.85197E-6,0,0
,2011-01-02,9,0.11299,0.04871,0.03221,NaN,0.00001,3.52804E-53,1.8167E-268,NaN,null,null,null,null,1.47993E-8,0,0,NaN
,2011-01-02,16,0.19621,0.08971,0.07288,NaN,0.00012,1.852E-35,6.66897E-163,NaN,null,null,null,null,2.08822E-8,0,3.47066E-190,NaN
,2011-01-03,1,0.0813,0.09632,NaN,NaN,4.3758E-70,0.09907,NaN,NaN,null,null,null,null,5.54387E-74,0.00007,NaN,NaN
,2011-01-03,3,0.08907,0.11879,NaN,NaN,4.94316E-40,0.00011,NaN,NaN,null,null,null,null,1.57542E-42,0.00001,NaN,NaN
,2011-01-03,7,0.20273,0.14881,0.02872,0.01451,1.26552E-45,0.02444,4.98249E-35,4.71955E-170,null,null,null,null,5.31626E-50,3.64541E-6,0,0
,2011-01-03,9,0.1095,0.04991,0.0322,NaN,4.52759E-6,1.22609E-50,7.58005E-258,NaN,null,null,null,null,5.52856E-9,0,0,NaN
,2011-01-03,16,0.1962,0.08972,0.07288,NaN,0.00012,1.85698E-35,6.63044E-163,NaN,null,null,null,null,2.08531E-8,0,3.45061E-190,NaN
,2011-01-04,1,0.07963,0.09477,NaN,NaN,2.91114E-104,0.08155,NaN,NaN,null,null,null,null,4.24036E-108,0.00006,NaN,NaN
,2011-01-04,3,0.08771,0.11824,NaN,NaN,1.47654E-69,0.00007,NaN,NaN,null,null,null,null,6.57589E-72,3.574E-6,NaN,NaN
,2011-01-04,7,0.20273,0.14848,0.02879,0.01451,5.5697E-63,0.02319,7.97895E-35,3.50118E-169,null,null,null,null,2.33975E-67,3.45783E-6,0,0
,2011-01-04,9,0.10564,0.05038,0.03216,NaN,2.74116E-8,9.47216E-59,9.07353E-293,NaN,null,null,null,null,3.38412E-11,0,0,NaN
,2011-01-04,16,0.1962,0.08972,0.07288,NaN,0.00012,1.86194E-35,6.69069E-163,NaN,null,null,null,null,2.0824E-8,0,3.48196E-190,NaN
,2011-01-05,1,0.07749,0.0933,NaN,NaN,5.76979E-141,0.06779,NaN,NaN,null,null,null,null,9.94695E-145,0.00005,NaN,NaN
,2011-01-05,3,0.08589,0.11764,NaN,NaN,2.17464E-100,0.00004,NaN,NaN,null,null,null,null,1.3062E-102,2.12105E-6,NaN,NaN
,2011-01-05,7,0.20273,0.14817,0.02886,0.01451,2.45129E-80,0.02204,1.22214E-34,2.14931E-168,null,null,null,null,1.02976E-84,3.28681E-6,0,0
,2011-01-05,9,0.10182,0.05021,0.03212,NaN,7.16118E-26,4.6408E-134,0,NaN,null,null,null,null,8.93138E-29,0,0,NaN
,2011-01-05,16,0.18962,0.08756,0.07273,NaN,0.00011,6.81004E-38,2.16911E-173,NaN,null,null,null,null,2.0795E-8,0,1.12885E-200,NaN
,2011-01-06,1,0.07565,0.0919,NaN,NaN,1.69509E-181,0.05634,NaN,NaN,null,null,null,null,3.44542E-185,0.00004,NaN,NaN
,2011-01-06,3,0.0844,0.11702,NaN,NaN,3.64383E-133,0.00002,NaN,NaN,null,null,null,null,2.83185E-135,1.11302E-6,NaN,NaN
,2011-01-06,7,0.20273,0.14787,0.02893,0.01451,1.07885E-97,0.02099,1.80067E-34,1.11852E-167,null,null,null,null,4.53208E-102,3.13032E-6,0,0
,2011-01-06,9,0.09865,0.04997,0.03209,NaN,1.81981E-44,6.97258E-214,0,NaN,null,null,null,null,2.28804E-47,0,0,NaN
,2011-01-06,16,0.18962,0.08757,0.07273,NaN,0.00003,1.19515E-40,4.01819E-185,NaN,null,null,null,null,4.6629E-9,0,2.09114E-212,NaN
,2011-01-07,1,0.07301,0.09049,NaN,NaN,4.76455E-226,0.04693,NaN,NaN,null,null,null,null,1.21257E-229,0.00003,NaN,NaN
,2011-01-07,3,0.08211,0.11634,NaN,NaN,9.91167E-168,0.00001,NaN,NaN,null,null,null,null,1.00749E-169,5.03106E-7,NaN,NaN
,2011-01-07,7,0.20273,0.14759,0.029,0.01451,4.74813E-115,0.02003,2.5642E-34,5.03542E-167,null,null,null,null,1.99463E-119,2.98665E-6,0,0
,2011-01-07,9,0.09434,0.04911,0.03204,NaN,2.85613E-64,4.27004E-301,0,NaN,null,null,null,null,3.6145E-67,0,0,NaN
,2011-01-07,16,0.17736,0.08358,0.07245,NaN,0.00003,9.1311E-49,6.71442E-220,NaN,null,null,null,null,4.66083E-9,0,3.49431E-247,NaN
,2011-01-08,1,0.06976,0.08904,NaN,NaN,6.36102E-278,0.03872,NaN,NaN,null,null,null,null,2.19689E-281,0.00003,NaN,NaN
,2011-01-08,3,0.07922,0.11559,NaN,NaN,1.89649E-205,3.42326E-6,NaN,NaN,null,null,null,null,2.57818E-207,1.7031E-7,NaN,NaN
,2011-01-08,7,0.20273,0.14732,0.02906,0.01451,2.08971E-132,0.01914,3.54338E-34,1.99474E-166,null,null,null,null,8.7786E-137,2.85433E-6,0,0
,2011-01-08,9,0.08939,0.04802,0.03199,NaN,5.27736E-86,0,0,NaN,null,null,null,null,6.71201E-89,0,0,NaN
,2011-01-08,16,0.16606,0.0805,0.07213,NaN,3.72245E-8,5.2828E-77,2.25372E-279,NaN,null,null,null,null,6.73829E-12,0,1.17288E-306,NaN
,2011-01-09,1,0.0674,0.08763,NaN,NaN,0,0.03149,NaN,NaN,null,null,null,null,0,0.00002,NaN,NaN
,2011-01-09,3,0.07725,0.11482,NaN,NaN,4.53752E-248,6.62753E-7,NaN,NaN,null,null,null,null,7.92205E-250,3.30022E-8,NaN,NaN
,2011-01-09,7,0.20273,0.14706,0.02912,0.01451,9.19709E-150,0.01832,4.76774E-34,7.05502E-166,null,null,null,null,3.86357E-154,2.73211E-6,0,0
,2011-01-09,9,0.08745,0.04789,0.03198,NaN,1.81743E-110,0,0,NaN,null,null,null,null,2.31933E-113,0,0,NaN
,2011-01-09,16,0.16271,0.0809,0.07206,NaN,1.00818E-26,9.38842E-153,0,NaN,null,null,null,null,1.86751E-30,0,0,NaN
,2011-01-10,1,0.06721,0.08636,NaN,NaN,0,0.02547,NaN,NaN,null,null,null,null,0,0.00002,NaN,NaN
,2011-01-10,3,0.07753,0.11408,NaN,NaN,7.88357E-295,3.82788E-8,NaN,NaN,null,null,null,null,1.55764E-296,1.90654E-9,NaN,NaN
,2011-01-10,7,0.20273,0.14681,0.02917,0.01451,4.04775E-167,0.01756,6.26473E-34,2.25558E-165,null,null,null,null,1.70041E-171,2.61891E-6,0,0
,2011-01-10,9,0.08735,0.04815,0.03198,NaN,3.41334E-136,0,0,NaN,null,null,null,null,4.36817E-139,0,0,NaN
,2011-01-10,16,0.16116,0.08144,0.07205,NaN,1.24224E-45,1.14383E-229,0,NaN,null,null,null,null,2.35011E-49,0,0,NaN
,2011-01-11,1,0.06691,0.08512,NaN,NaN,0,0.02084,NaN,NaN,null,null,null,null,0,0.00001,NaN,NaN
,2011-01-11,3,0.07769,0.11335,NaN,NaN,0,1.97678E-12,NaN,NaN,null,null,null,null,0,9.84821E-14,NaN,NaN
,2011-01-11,7,0.20273,0.14657,0.02923,0.01451,1.78147E-184,0.01686,8.05892E-34,6.58877E-165,null,null,null,null,7.4837E-189,2.5138E-6,0,0
,2011-01-11,9,0.08725,0.0484,0.03198,NaN,5.45001E-162,0,0,NaN,null,null,null,null,6.99369E-165,0,0,NaN
,2011-01-11,16,0.15976,0.08192,0.07204,NaN,6.59519E-65,4.80292E-309,0,NaN,null,null,null,null,1.27182E-68,0,0,NaN
,2011-01-12,1,0.06492,0.08378,NaN,NaN,0,0.01698,NaN,NaN,null,null,null,null,0,0.00001,NaN,NaN
,2011-01-12,3,0.07604,0.1126,NaN,NaN,0,2.92541E-29,NaN,NaN,null,null,null,null,0,1.45863E-30,NaN,NaN
,2011-01-12,7,0.20273,0.14634,0.02928,0.01451,7.84046E-202,0.0162,1.01713E-33,1.77478E-164,null,null,null,null,3.29367E-206,2.41598E-6,0,0
,2011-01-12,9,0.08715,0.04864,0.03198,NaN,7.42136E-188,0,0,NaN,null,null,null,null,9.54893E-191,0,0,NaN
