@T, output
created_at,"Mon May 01 14:21:19 MDT 2023"
date_format,yyyy-MM-dd
@H,time,catchmentSimRunoff,catchmentSimRunoffN,catchmentSimRunoff_NO3,catchmentSimRunoff_NO3_N,catchmentNO3_N_Load_kg_ha,catchmentRD1_w,catchmentRD2_w,catchmentRG1_w,catchmentRG2_w,catchmentNRD1_w,catchmentNRD2_w,catchmentNRG1_w,catchmentNRG2_w,catchmentSed,deepsinkW,deepsinkN
Type,LocalDate,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,m3/s,kg,mg/L,mg/L,kg/ha,mm/m2,mm/m2,mm/m2,mm/m2,kg/m2,kg/m2,kg/m2,kg/m2,kg,L,kg
,2011-01-01,0.0616,0.52661,0.09894,0.09894,0.00008,0.00002,0.07933,0.00001,0.00001,0,7.85191E-9,1.12256E-16,9.01924E-14,0,0,0
,2011-01-02,0.0577,0.47024,0.09432,0.09432,0.00007,0.00002,0.0743,0.00001,4.7214E-6,0,7.01067E-9,7.37473E-13,8.86039E-14,0,0,0
,2011-01-03,0.05408,0.42021,0.08993,0.08993,0.00006,0.00002,0.06964,0.00001,4.41021E-6,0,6.26417E-9,1.27519E-12,8.68423E-14,0,0,0
,2011-01-04,0.05065,0.37607,0.08594,0.08594,0.00006,0.00002,0.06521,0.00001,4.11802E-6,0,5.60562E-9,1.66435E-12,8.47919E-14,0,0,0
,2011-01-05,0.0474,0.33721,0.08233,0.08233,0.00005,0.00001,0.06103,0.00002,3.84632E-6,0,5.02603E-9,1.92997E-12,8.24938E-14,0,0,0
,2011-01-06,0.04435,0.30306,0.07909,0.07909,0.00005,0.00001,0.0571,0.00003,3.59522E-6,0,4.5166E-9,2.10126E-12,8.00241E-14,0,0,0
,2011-01-07,0.04148,0.27307,0.07619,0.07619,0.00004,0.00001,0.0534,0.00003,3.3643E-6,0,4.06933E-9,2.19925E-12,7.74547E-14,0,0,0
,2011-01-08,0.0388,0.24674,0.07361,0.07361,0.00004,0.00001,0.04993,0.00004,3.15251E-6,0,3.67679E-9,2.24252E-12,7.48408E-14,0,0,0
,2011-01-09,0.03628,0.22363,0.07133,0.07133,0.00003,0.00001,0.04668,0.00005,2.95861E-6,0,3.33211E-9,2.24336E-12,7.22203E-14,0,0,0
,2011-01-10,0.03394,0.20331,0.06933,0.06933,0.00003,0.00001,0.04365,0.00006,2.7813E-6,0,3.02922E-9,2.21459E-12,6.96305E-14,0,0,0
,2011-01-11,0.03176,0.18543,0.06758,0.06758,0.00003,0.00001,0.04083,0.00007,2.61929E-6,0,2.76271E-9,2.16631E-12,6.71033E-14,0,0,0
,2011-01-12,0.02973,0.16968,0.06606,0.06606,0.00003,0.00001,0.03821,0.00008,2.47128E-6,0,2.52786E-9,2.10703E-12,6.46557E-14,0,0,0
,2011-01-13,0.02784,0.15576,0.06475,0.06475,0.00002,4.96635E-6,0.03577,0.00009,2.33592E-6,0,2.32038E-9,2.04164E-12,6.22949E-14,0,0,0
,2011-01-14,0.0261,0.14344,0.06361,0.06361,0.00002,4.44131E-6,0.03352,0.0001,2.21217E-6,0,2.13675E-9,1.97355E-12,6.00292E-14,0,0,0
,2011-01-15,0.02448,0.1325,0.06265,0.06265,0.00002,3.98272E-6,0.03143,0.00011,2.09877E-6,0,1.9737E-9,1.90453E-12,5.78574E-14,0,0,0
,2011-01-16,0.02299,0.12282,0.06183,0.06183,0.00002,3.58272E-6,0.0295,0.00011,1.99561E-6,0,1.82935E-9,1.83724E-12,5.58083E-14,0,0,0
,2011-01-17,0.0216,0.11411,0.06114,0.06114,0.00002,3.22989E-6,0.02771,0.00012,1.89993E-6,0,1.69965E-9,1.77078E-12,5.38304E-14,0,0,0
,2011-01-18,0.02031,0.10632,0.06058,0.06058,0.00002,2.91939E-6,0.02604,0.00012,1.81196E-6,0,1.58359E-9,1.70637E-12,5.19487E-14,0,0,0
,2011-01-19,0.01912,0.09933,0.06012,0.06012,0.00001,2.64542E-6,0.02451,0.00012,1.73095E-6,0,1.47943E-9,1.6442E-12,5.01622E-14,0,0,0
,2011-01-20,0.01802,0.09305,0.05977,0.05977,0.00001,2.40323E-6,0.02308,0.00013,1.65636E-6,0,1.38577E-9,1.58417E-12,4.84674E-14,0,0,0
,2011-01-21,0.017,0.08738,0.0595,0.0595,0.00001,2.18846E-6,0.02177,0.00013,1.5875E-6,0,1.3013E-9,1.52625E-12,4.68595E-14,0,0,0
,2011-01-22,0.01605,0.08225,0.0593,0.0593,0.00001,1.99758E-6,0.02054,0.00013,1.52389E-6,0,1.22491E-9,1.47032E-12,4.53338E-14,0,0,0
