@T, output
created_at,"Mon May 01 14:21:19 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,simRunoff_qm_sec,simRunoff,reachNitrateConcentration,reachNitrateLoads,actRD1,actRD2,actRG1,actRG2,outRD1,outRD2,outRG1,outRG2
Type,LocalDate,Integer,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,-,-,-,mg/L as N,kg as N,-,-,-,-,-,-,-,-
,2011-01-01,-22,0.0616,5322537.88944,0.09894,0.53355,21.09634,70112.53072,6.58499,4.47064,1600.77817,5320098.21692,499.66508,339.22926
,2011-01-02,-22,0.0577,4985283.49857,0.09432,0.47655,18.50154,66881.56214,6.77762,4.24995,1378.47756,4983083.40007,504.97376,316.64718
,2011-01-03,-22,0.05408,4672533.27496,0.08993,0.42595,16.31498,63844.41584,8.38751,4.04325,1193.49483,4670430.42885,613.57427,295.77701
,2011-01-04,-22,0.05065,4375861.73595,0.08594,0.3813,14.43854,60922.3659,11.89077,3.847,1036.56162,4373695.3396,853.65397,276.18076
,2011-01-05,-22,0.0474,4095750.40768,0.08233,0.342,12.82232,58122.40502,17.42607,3.6628,903.03215,4093362.15837,1227.25845,257.95871
,2011-01-06,-22,0.04435,3831945.36906,0.07909,0.30745,11.43339,55484.34606,24.87488,3.49376,789.0646,3829198.47038,1716.71556,241.11852
,2011-01-07,-22,0.04148,3584223.76443,0.07619,0.2771,10.22264,52936.05628,33.9131,3.33538,691.54004,3581012.44344,2294.14944,225.6315
,2011-01-08,-22,0.0388,3352079.3618,0.07361,0.25047,9.16951,50510.32043,44.17628,3.18943,607.84705,3348331.63931,2928.44788,211.42756
,2011-01-09,-22,0.03628,3134980.67543,0.07133,0.22707,8.25079,48205.43207,55.27369,3.05529,535.83954,3130656.71476,3589.69798,198.42316
,2011-01-10,-22,0.03394,2932406.37011,0.06933,0.20651,7.44704,46019.82165,66.84372,2.93226,473.73415,2927493.92323,4252.18068,186.53205
,2011-01-11,-22,0.03176,2743786.65203,0.06758,0.18841,6.74192,43951.37985,78.58267,2.81955,420.04056,2738295.02342,4895.9219,175.66615
,2011-01-12,-22,0.02973,2568508.47988,0.06606,0.17246,6.11624,41960.24676,90.16169,2.71399,373.51153,2562463.15944,5506.0689,165.74
,2011-01-13,-22,0.02784,2405743.34342,0.06475,0.15837,5.56859,40111.21031,101.51346,2.61918,333.07548,2399181.75677,6071.8497,156.66147
,2011-01-14,-22,0.0261,2254911.53411,0.06361,0.14589,5.08416,38368.64244,112.43457,2.53237,297.86246,2247878.1798,6587.12971,148.36214
,2011-01-15,-22,0.02448,2115089.9803,0.06265,0.13481,4.65437,36725.80943,122.80015,2.45271,267.10686,2107634.81437,7047.30203,140.75704
,2011-01-16,-22,0.02299,1986411.02221,0.06183,0.125,4.27326,35188.14642,132.57486,2.38025,240.27991,1978582.39672,7454.5072,133.83839
,2011-01-17,-22,0.0216,1866301.15777,0.06114,0.11618,3.93196,33728.65237,141.63677,2.31292,216.61693,1858154.17013,7802.94897,127.42175
,2011-01-18,-22,0.02031,1755103.69299,0.06058,0.10829,3.62674,32354.50163,150.00794,2.25099,195.79294,1746688.05921,8098.31897,121.52187
,2011-01-19,-22,0.01912,1652138.74925,0.06012,0.10121,3.35696,31096.88612,157.87814,2.19653,177.41859,1643501.22579,8344.01613,116.08872
,2011-01-20,-22,0.01802,1556886.93939,0.05977,0.09484,3.11122,29882.86753,164.93964,2.14433,161.17571,1548070.04493,8544.63256,111.08619
,2011-01-21,-22,0.017,1468657.97743,0.0595,0.0891,2.88977,28739.77927,171.3725,2.09623,146.772,1459700.6847,8704.05255,106.46818
,2011-01-22,-22,0.01605,1386929.00923,0.0593,0.0839,2.68974,27663.53113,177.21653,2.05191,133.97062,1377866.03043,8826.80651,102.20167
,2011-01-23,-22,0.01518,1311181.98766,0.05919,0.07919,2.50864,26649.82498,182.51336,2.01105,122.5657,1302044.01941,8917.14761,98.25494
