@T, output
created_at,"Sat Apr 15 04:26:53 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,simRunoff_qm_sec
Type,LocalDate,Integer,Double
Unit,-,-,-
,2011-01-01,-27,0.0695
,2011-01-01,-25,0.05449
,2011-01-01,-23,0.11156
,2011-01-01,-22,0.15272
,2011-01-02,-27,0.06344
,2011-01-02,-25,0.04695
,2011-01-02,-23,0.10153
,2011-01-02,-22,0.13334
,2011-01-03,-27,0.05684
,2011-01-03,-25,0.04002
,2011-01-03,-23,0.0905
,2011-01-03,-22,0.11759
,2011-01-04,-27,0.04987
,2011-01-04,-25,0.03357
,2011-01-04,-23,0.07975
,2011-01-04,-22,0.10416
,2011-01-05,-27,0.04308
,2011-01-05,-25,0.0279
,2011-01-05,-23,0.06984
,2011-01-05,-22,0.09239
,2011-01-06,-27,0.03687
,2011-01-06,-25,0.02311
,2011-01-06,-23,0.06093
,2011-01-06,-22,0.08198
,2011-01-07,-27,0.03148
,2011-01-07,-25,0.01927
,2011-01-07,-23,0.05304
,2011-01-07,-22,0.07274
,2011-01-08,-27,0.02688
,2011-01-08,-25,0.01613
,2011-01-08,-23,0.04614
,2011-01-08,-22,0.06455
,2011-01-09,-27,0.023
,2011-01-09,-25,0.01357
,2011-01-09,-23,0.04013
,2011-01-09,-22,0.05733
,2011-01-10,-27,0.01977
,2011-01-10,-25,0.0115
,2011-01-10,-23,0.03496
,2011-01-10,-22,0.05094
,2011-01-11,-27,0.01711
,2011-01-11,-25,0.00987
,2011-01-11,-23,0.03053
,2011-01-11,-22,0.04533
,2011-01-12,-27,0.01492
,2011-01-12,-25,0.00857
,2011-01-12,-23,0.02678
,2011-01-12,-22,0.04042
,2011-01-13,-27,0.01312
,2011-01-13,-25,0.00753
,2011-01-13,-23,0.02359
,2011-01-13,-22,0.03614
,2011-01-14,-27,0.01162
,2011-01-14,-25,0.00668
,2011-01-14,-23,0.02089
,2011-01-14,-22,0.0324
,2011-01-15,-27,0.01037
,2011-01-15,-25,0.00598
,2011-01-15,-23,0.0186
,2011-01-15,-22,0.02914
,2011-01-16,-27,0.00932
,2011-01-16,-25,0.00539
,2011-01-16,-23,0.01665
,2011-01-16,-22,0.0263
,2011-01-17,-27,0.00842
,2011-01-17,-25,0.00489
,2011-01-17,-23,0.01498
,2011-01-17,-22,0.02381
,2011-01-18,-27,0.00765
,2011-01-18,-25,0.00445
,2011-01-18,-23,0.01354
,2011-01-18,-22,0.02164
,2011-01-19,-27,0.00699
,2011-01-19,-25,0.00408
,2011-01-19,-23,0.0123
,2011-01-19,-22,0.01973
,2011-01-20,-27,0.0064
,2011-01-20,-25,0.00375
,2011-01-20,-23,0.01122
,2011-01-20,-22,0.01805
,2011-01-21,-27,0.00589
