@T, output
created_at,"Mon May 01 13:23:32 MDT 2023"
date_format,yyyy-MM-dd
@H,time,SurfaceN_in,SurfaceNabs,sinterflowN_in,sinterflowNabs,PercoNabs,Denit_trans,Volati_trans,actnup,SurfaceN,sinterflowN,sum_Ninput,PercoN
Type,LocalDate,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,kgN/ha,kgN,kgN,kgN,kgN,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha
,2011-01-01,0,0,0.00853,0.05814,0.00959,0.00001,0,0,0,0.00121,0,0.00007
,2011-01-02,0,0,0.00321,0.03487,0.00766,0,0,0,0,0.00094,0,0.00006
,2011-01-03,0,0,0.00235,0.02893,0.00602,0,0,0,0,0.0008,0,0.00005
,2011-01-04,0,0,0.00176,0.0241,0.00473,0,0,0,0,0.00067,0,0.00004
,2011-01-05,0,0,0.00134,0.01998,0.00372,0,0,0,0,0.00056,0,0.00003
,2011-01-06,0,0,0.00102,0.01588,0.00288,0,0,0,0,0.00048,0,0.00002
,2011-01-07,0,0,0.00078,0.0131,0.0022,0,0,0,0,0.00041,0,0.00002
,2011-01-08,0,0,0.00059,0.01021,0.00162,0,0,0,0,0.00035,0,0.00002
,2011-01-09,0,0,0.00044,0.0078,0.00115,0,0,0,0,0.00029,0,0.00001
,2011-01-10,0,0,0.00032,0.00651,0.00081,0,0,0,0,0.00026,0,0.00001
,2011-01-11,0,0,0.00025,0.00577,0.0006,0,0,0,0,0.00024,0,0.00001
,2011-01-12,0,0,0.00019,0.00518,0.00046,0,0,0,0,0.00022,0,0.00001
,2011-01-13,0,0,0.00015,0.00467,0.00035,0,0,0,0,0.0002,0,0.00001
,2011-01-14,0,0,0.00011,0.00424,0.00026,0,0,0,0,0.00019,0,0.00001
,2011-01-15,0,0,0.00008,0.00386,0.0002,0,0,0,0,0.00018,0,0.00001
,2011-01-16,0,0,0.00006,0.00354,0.00016,0,0,0,0,0.00016,0,0.00001
,2011-01-17,0,0,0.00004,0.00313,0.00013,0,0,0,0,0.00015,0,4.91598E-6
,2011-01-18,0,0,0.00009,0.00311,0.0001,0,0,0,0,0.00014,0,4.58664E-6
,2011-01-19,0,0,0.00007,0.00286,0.00009,0,0,0,0,0.00013,0,4.30907E-6
,2011-01-20,0,0,0.00006,0.00258,0.00008,0,0,0,0,0.00012,0,4.07734E-6
,2011-01-21,0,0,0.00005,0.00241,0.00007,0,0,0,0,0.00011,0,3.88018E-6
,2011-01-22,0,0,0.00005,0.00227,0.00006,0,0,0,0,0.00011,0,3.70907E-6
,2011-01-23,0,0,0.00005,0.00214,0.00006,0,0,0,0,0.0001,0,3.55963E-6
,2011-01-24,0,0,0.00005,0.00203,0.00006,0,0,0,0,0.0001,0,3.42662E-6
,2011-01-25,0,0,0.00005,0.00193,0.00006,0,0,0,0,0.00009,0,3.30562E-6
,2011-01-26,0,0,0.00004,0.00184,0.00005,0,0,0,0,0.00009,0,3.19077E-6
,2011-01-27,0,0,0.0102,0.0441,0.00005,0.0006,0,0,0,0.00018,0,3.08234E-6
,2011-01-28,0,0,0.01668,0.07124,0.00005,0.00052,0,0,0,0.00024,0,2.98117E-6
,2011-01-29,0,0,0.01442,0.06345,0.00005,0.00336,0,0,0,0.00023,0,2.88365E-6
,2011-01-30,0,0,0.17194,0.27941,0.01004,0.0026,0,0,0,0.00149,0,0.00004
,2011-01-31,0,0,0.0051,0.02103,0.00423,0.00189,0,0,0,0.00044,0,0.00003
,2011-02-01,0,0,0.00175,0.01051,0.00355,0.00145,0,0,0,0.00034,0,0.00002
,2011-02-02,0,0,0.00136,0.00958,0.00313,0.00117,0,0,0,0.00034,0,0.00002
,2011-02-03,0,0,0.00118,0.00908,0.00285,0.00096,0,0,0,0.00034,0,0.00002
,2011-02-04,0,0,0.00105,0.00863,0.00264,0.00081,0,0,0,0.00033,0,0.00002
,2011-02-05,0,0,0.00094,0.00819,0.00244,0.00069,0,0,0,0.00032,0,0.00002
,2011-02-06,0,0,0.00084,0.00775,0.00225,0.0004,0,0,0,0.00031,0,0.00002
,2011-02-07,0,0,0.00076,0.00733,0.00209,0.00034,0,0,0,0.0003,0,0.00002
,2011-02-08,0,0,0.00071,0.00697,0.00198,0.00029,0,0,0,0.00029,0,0.00002
,2011-02-09,0,0,0.00066,0.00663,0.00189,0.00003,0,0,0,0.00028,0,0.00002
,2011-02-10,0,0,0.00062,0.00632,0.00181,3.01854E-6,0,0,0,0.00026,0,0.00001
,2011-02-11,0,0,0.00054,0.00588,0.00158,2.61371E-6,0,0,0,0.00025,0,0.00001
,2011-02-12,0,0,0.00046,0.00548,0.00135,2.26397E-6,0,0,0,0.00024,0,0.00001
,2011-02-13,0,0,0.0004,0.00515,0.00113,0.00018,0,0,0,0.00023,0,0.00001
,2011-02-14,0,0,0.00831,0.03823,0.00086,0.00016,0,0,0,0.0003,0,0.00001
,2011-02-15,0,0,0.01099,0.05013,0.00057,0.00013,0,0,0,0.00033,0,0.00001
,2011-02-16,0,0,0.00422,0.02174,0.00035,0.00009,0,0,0,0.00025,0,0.00001
,2011-02-17,0,0,0.00097,0.00761,0.0002,0.00006,0,0,0,0.0002,0,0.00001
,2011-02-18,0,0,0.00099,0.00729,0.00018,0.00008,0,0,0,0.00019,0,0.00001
,2011-02-19,0,0,0.00667,0.02556,0.00088,0.00152,0,0,0,0.00026,0,0.00001
,2011-02-20,0,0,0.08409,0.13557,0.01069,0.00156,0,0,0,0.00112,0,0.00008
,2011-02-21,0,0,0.00659,0.02376,0.00906,0.00122,0,0,0,0.00047,0,0.00006
,2011-02-22,0,0,0.00328,0.01705,0.00857,0.00101,0,0,0,0.0004,0,0.00006
,2011-02-23,0,0,0.00263,0.01666,0.00916,0.00078,0,0,0,0.00036,0,0.00006
,2011-02-24,0,0,0.00309,0.01712,0.01074,0.00054,0,0,0,0.00033,0,0.00007
,2011-02-25,0,0,0.00332,0.01734,0.0115,0.00008,0,0,0,0.00031,0,0.00007
,2011-02-26,0,0,0.00343,0.01749,0.01188,4.70271E-6,0,0,0,0.00031,0,0.00007
,2011-02-27,0,0,0.00396,0.02823,0.0122,0.00226,0,0,0,0.00035,0,0.00007
,2011-02-28,0,0,0.00776,0.0521,0.01337,0.00395,0,0,0,0.0005,0,0.00008
,2011-03-01,0,0,0.0134,0.08093,0.02613,0.00467,0,0,0,0.00088,0,0.00014
,2011-03-02,0,0,0.1412,0.39364,0.1461,0.00457,0,0,0,0.00311,0,0.00065
,2011-03-03,0,0,0.0515,0.28912,0.11757,0.00386,0,0,0,0.00326,0,0.00054
,2011-03-04,0,0,0.0304,0.14097,0.09463,0.0035,0,0,0,0.00167,0,0.00045
,2011-03-05,0,0,0.02429,0.11468,0.08119,0.00302,0,0,0,0.00137,0,0.00039
,2011-03-06,0,0,0.02724,0.21619,0.10755,0.00211,0,0,0,0.0016,0,0.00044
,2011-03-07,0,0,0.021,0.12147,0.07673,0.00138,0,0,0,0.00129,0,0.00036
,2011-03-08,0,0,0.0167,0.09257,0.06428,0.00098,0,0,0,0.00108,0,0.00031
,2011-03-09,0,0,0.01504,0.07929,0.05597,0.00073,0,0,0,0.00094,0,0.00028
