@T, output
created_at,"Mon May 01 13:23:32 MDT 2023"
date_format,yyyy-MM-dd
@H,time,sNO3_Pool,sNH4_Pool,sN_activ_pool,sN_stable_pool,sNResiduePool
Type,LocalDate,Double,Double,Double,Double,Double
Unit,-,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha
,2011-01-01,0.3228,0,28.86128,2010.76574,0.00034
,2011-01-02,0.32346,0,28.8613,2010.76524,0.00034
,2011-01-03,0.31829,0,28.86134,2010.76475,0.00034
,2011-01-04,0.31031,0,28.86142,2010.76426,0.00034
,2011-01-05,0.30417,0,28.86153,2010.76376,0.00034
,2011-01-06,0.29503,0,28.86169,2010.76327,0.00034
,2011-01-07,0.28504,0,28.86189,2010.76277,0.00034
,2011-01-08,0.28407,0,28.86209,2010.76228,0.00034
,2011-01-09,0.28652,0,28.86228,2010.76179,0.00034
,2011-01-10,0.28877,0,28.86248,2010.76129,0.00034
,2011-01-11,0.29054,0,28.86267,2010.7608,0.00034
,2011-01-12,0.29233,0,28.86285,2010.76031,0.00034
,2011-01-13,0.29413,0,28.86303,2010.75981,0.00034
,2011-01-14,0.29594,0,28.86321,2010.75932,0.00034
,2011-01-15,0.29682,0,28.86338,2010.75883,0.00034
,2011-01-16,0.29861,0,28.86356,2010.75834,0.00034
,2011-01-17,0.30137,0,28.86373,2010.75784,0.00034
,2011-01-18,0.29906,0,28.86393,2010.75735,0.00034
,2011-01-19,0.30077,0,28.86412,2010.75686,0.00034
,2011-01-20,0.3025,0,28.86431,2010.75637,0.00034
,2011-01-21,0.30423,0,28.86449,2010.75587,0.00034
,2011-01-22,0.30596,0,28.86468,2010.75538,0.00034
,2011-01-23,0.30771,0,28.86486,2010.75489,0.00034
,2011-01-24,0.30946,0,28.86504,2010.7544,0.00034
,2011-01-25,0.30452,0,28.86525,2010.75391,0.00034
,2011-01-26,0.30098,0,28.86547,2010.75341,0.00034
,2011-01-27,0.29165,0,28.8657,2010.75292,0.00034
,2011-01-28,0.28844,0,28.86594,2010.75243,0.00034
,2011-01-29,0.28096,0,28.86618,2010.75194,0.00034
,2011-01-30,0.27336,0,28.86639,2010.75145,0.00034
