@T, output
created_at,"Mon May 01 13:23:32 MDT 2023"
date_format,yyyy-MM-dd
@H,time,precip,tmean,tmax,tmin,rhum,wind,rain,snow,solRad,netRad,netRainOut,netSnowOut,irrigation_amount,interception,intercStorage,throughfall,snowDepth,snowTotSWE,snowMelt,potET,actET,soilSat,soilSatMPS,soilSatLPS,soilActMPS,soilActLPS,percolation,inRD1,inRD2,inRG1,inRG2,actRG1,actRG2,outRD1,outRD2,outRG1,outRG2,actET,E_dps,E_intercept,genRD1,genRD2,genRG1,genRG2
Type,LocalDate,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,mm,C,C,C,-,-,-,-,MJ/m2/day,MJ/m2,-,-,-,-,-,-,-,mm,-,mm,mm,-,-,-,-,-,l,-,l,-,-,-,-,l,l,-,-,mm,-,-,-,-,-,-
,2011-01-01,0.6528,-16.71592,-7.87908,-25.55276,60.36791,11.94267,0,1910659.03851,8.62771,3.09341,0,23580.06933,0,1887078.96918,6007057.72133,23580.06933,97.76757,19922033.93269,0,87830.20349,87830.17875,0.25213,0.54504,0.06183,42567227.6479,4398158.86645,84361.68453,0,40188.04535,987.13464,27.25785,57870.84928,901124.81812,0,476137.01704,90.00242,475.85386,87830.17875,0,1297176.19024,0,441768.02833,90.00242,475.85386
,2011-01-02,0.32232,-8.12252,0.41432,-16.65936,50.23499,7.4876,0,812843.14403,11.44156,2.85893,30391.18348,6.30173,0,812836.8423,4320412.35067,30397.4852,97.76772,19922040.23442,0,586043.69947,583283.46381,0.24474,0.53992,0.05458,42643209.01125,3586208.92673,58912.21432,0,7837.32825,1336.04446,28.75487,93819.04976,919868.57236,0,132001.40997,5094.50752,490.5514,583283.46381,0,2469091.02949,0,129669.00309,5094.50752,490.5514
,2011-01-03,0.36382,-6.55,-4.3,-12.10442,63.95146,5.97187,0,1399551.76816,7.0405,2.76372,0,0.15969,0,1399551.60847,4685233.65246,0.15969,97.76773,19922040.39411,0,1373926.90498,1367281.16059,0.23449,0.52215,0.04949,41561142.69574,3168279.13956,43412.03554,0,6038.51539,1412.87289,29.9763,116276.34079,933571.09888,0,95341.42193,8194.31178,500.75541,1367281.16059,0,1034730.30667,0,93649.52797,8194.31178,500.75541
,2011-01-04,0.00572,-6.8,-3.6,-12.96376,55.90729,9.71388,0,20924.8582,11.56696,2.97498,0,0,0,20924.8582,4032419.1484,0,97.76773,19922040.39411,0,2407794.56034,2362831.37107,0.22051,0.49065,0.04525,39398487.53692,2867044.38148,32986.61,0,4811.80013,1419.84219,30.96155,129777.0617,943872.30851,0,72883.73596,10127.26816,508.21504,2362831.37107,0,673739.36226,0,71500.96419,10127.26816,508.21504
,2011-01-05,0.56693,-3.30436,5.57151,-12.18024,71.8854,14.52832,0,1679268.78449,7.66131,2.87754,0,152368.15739,0,1526900.62711,4698654.02506,152368.15739,98.72958,20074408.5515,0,1862697.45643,1832595.2838,0.20939,0.46824,0.04083,37832750.75592,2520909.47023,25742.11963,0,3891.33331,1387.39193,31.73428,137206.38377,951804.25229,0,57425.62213,11286.15696,513.82302,1832595.2838,0,860665.75045,0,56270.64246,11286.15696,513.82302
,2011-01-06,0.20483,-1.52747,6.58135,-9.63629,63.49624,11.02481,0,790878.50972,7.366,2.80309,0,0,0,790878.50972,4912010.14858,0,98.72958,20074408.5515,0,3149349.73791,3019321.86552,0.19292,0.42918,0.03695,35024334.21513,2247456.8574,20276.07691,0,3165.59612,1323.79093,32.33327,140260.08662,957944.66267,0,45436.80731,11919.9467,518.14118,3019321.86552,0,577522.3862,0,44456.68121,11919.9467,518.14118
,2011-01-07,0.00297,1.85167,7.91652,-4.21319,60.57229,5.3778,0,10928.98334,11.30467,2.96946,0,0,0,10928.98334,4226395.37464,0,98.72958,20074408.5515,0,3737409.22724,3112316.45569,0.17485,0.38642,0.03305,32138640.89795,2001171.99824,16091.39616,0,2593.00409,1245.10442,32.78292,140165.07491,962711.53936,0,36617.52026,12175.93451,521.48401,3112316.45569,0,696543.75728,0,35772.3457,12175.93451,521.48401
,2011-01-08,0.76108,-0.35275,4.18681,-4.89232,63.1475,4.13949,0,1933319.01824,8.01872,2.90012,0,392031.63697,0,1541287.38127,4084790.32775,392031.63697,100.55755,20466440.18847,0,1706412.3865,787983.01783,0.16775,0.37567,0.0293,31528244.01536,1783858.91751,12666.76526,0,2130.09341,1156.68593,33.11002,137695.80874,966353.13656,0,29190.27364,12160.1511,524.07908,787983.01783,0,1682892.42816,0,28448.67531,12160.1511,524.07908
