@T, output
created_at,"Mon May 01 13:23:32 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,swc_h[0],swc_h[1],swc_h[2],swc_h[3],outRD2_h[0],outRD2_h[1],outRD2_h[2],outRD2_h[3],NO3_N[0],NO3_N[1],NO3_N[2],NO3_N[3],InterflowN[0],InterflowN[1],InterflowN[2],InterflowN[3]
Type,LocalDate,Integer,Double,Double,Double,Double,Double,Double,Double,Double,Object,Object,Object,Object,Double,Double,Double,Double
Unit,-,-,-,-,-,-,l,l,l,l,mg/L,mg/L,mg/L,mg/L,kgN/ha,kgN/ha,kgN/ha,kgN/ha
,2011-01-01,1,0.08464,0.09602,NaN,NaN,0.00122,0.45237,NaN,NaN,null,null,null,null,1.32512E-7,0.00031,NaN,NaN
,2011-01-01,3,0.09234,0.11978,NaN,NaN,0.00564,0.00583,NaN,NaN,null,null,null,null,0.00001,0.00029,NaN,NaN
,2011-01-01,7,0.20033,0.15085,0.0293,0.01451,0.54811,0.21361,1.3456E-24,1.07965E-86,null,null,null,null,0.00002,0.00003,0,0
,2011-01-01,9,0.11699,0.04887,0.03221,NaN,0.50057,5.82294E-38,3.20208E-141,NaN,null,null,null,null,0.0006,0,0,NaN
,2011-01-01,16,0.19183,0.09138,0.07288,NaN,0.25041,2.18248E-16,1.03582E-55,NaN,null,null,null,null,0.00005,9.54799E-101,0,NaN
,2011-01-02,1,0.08506,0.09206,NaN,NaN,0.00017,0.30723,NaN,NaN,null,null,null,null,1.89405E-8,0.00021,NaN,NaN
,2011-01-02,3,0.0909,0.11932,NaN,NaN,0.00005,0.00566,NaN,NaN,null,null,null,null,1.03484E-7,0.00028,NaN,NaN
,2011-01-02,7,0.19329,0.14836,0.02991,0.01451,0.00221,0.15752,1.75022E-22,1.07209E-80,null,null,null,null,9.30489E-8,0.00002,3.48934E-27,7.83279E-124
,2011-01-02,9,0.11339,0.04889,0.03221,NaN,0.00637,6.80045E-31,3.57286E-121,NaN,null,null,null,null,0.00001,2.85843E-32,6.98038E-124,NaN
,2011-01-02,16,0.18757,0.0914,0.07288,NaN,0.0023,5.0582E-20,1.91929E-59,NaN,null,null,null,null,4.16238E-7,5.39133E-23,1.40349E-78,NaN
,2011-01-03,1,0.08246,0.08894,NaN,NaN,1.75644E-6,0.22074,NaN,NaN,null,null,null,null,7.34313E-10,0.00015,NaN,NaN
,2011-01-03,3,0.08863,0.11882,NaN,NaN,7.33726E-7,0.00449,NaN,NaN,null,null,null,null,2.15102E-9,0.00022,NaN,NaN
,2011-01-03,7,0.19106,0.1464,0.03039,0.01451,0.00009,0.12277,2.44285E-21,1.8954E-77,null,null,null,null,3.96141E-9,0.00002,7.57693E-26,8.13126E-104
,2011-01-03,9,0.10964,0.05006,0.03221,NaN,0.00061,2.68838E-30,1.71369E-119,NaN,null,null,null,null,7.36557E-7,1.10875E-31,3.33959E-122,NaN
,2011-01-03,16,0.18752,0.09141,0.07288,NaN,0.00063,4.09435E-22,3.51469E-63,NaN,null,null,null,null,1.13562E-7,4.3592E-25,2.57065E-82,NaN
,2011-01-04,1,0.08063,0.08644,NaN,NaN,1.26768E-8,0.1651,NaN,NaN,null,null,null,null,5.8051E-12,0.00012,NaN,NaN
,2011-01-04,3,0.08709,0.11832,NaN,NaN,7.97044E-9,0.00339,NaN,NaN,null,null,null,null,3.2635E-11,0.00017,NaN,NaN
,2011-01-04,7,0.19029,0.14481,0.03078,0.01451,4.73015E-6,0.09943,1.23907E-20,1.89893E-75,null,null,null,null,1.98707E-10,0.00001,4.75465E-25,1.85041E-100
,2011-01-04,9,0.10543,0.05077,0.03221,NaN,0.00005,6.40804E-32,4.04357E-124,NaN,null,null,null,null,5.57385E-8,2.12946E-33,6.97947E-127,NaN
,2011-01-04,16,0.18747,0.09142,0.07288,NaN,0.00062,2.99638E-22,6.64462E-67,NaN,null,null,null,null,1.12304E-7,3.18904E-25,4.8599E-86,NaN
,2011-01-05,1,0.07836,0.0843,NaN,NaN,6.42318E-11,0.12778,NaN,NaN,null,null,null,null,3.31931E-14,0.00009,NaN,NaN
,2011-01-05,3,0.08511,0.11778,NaN,NaN,7.02958E-11,0.00248,NaN,NaN,null,null,null,null,3.89382E-13,0.00012,NaN,NaN
,2011-01-05,7,0.19002,0.14349,0.0311,0.01451,2.48129E-7,0.0828,3.65241E-20,4.08269E-74,null,null,null,null,1.04236E-11,0.00001,1.59489E-24,2.78439E-98
,2011-01-05,9,0.10086,0.05103,0.03221,NaN,3.13103E-6,1.04902E-34,4.75882E-132,NaN,null,null,null,null,3.84327E-9,2.99245E-36,7.44623E-135,NaN
,2011-01-05,16,0.1777,0.08955,0.07285,NaN,0.00061,1.48408E-23,1.25566E-70,NaN,null,null,null,null,1.11069E-7,1.57786E-26,9.18396E-90,NaN
,2011-01-06,1,0.07639,0.08244,NaN,NaN,1.86689E-13,0.10056,NaN,NaN,null,null,null,null,1.08599E-16,0.00007,NaN,NaN
,2011-01-06,3,0.08347,0.11722,NaN,NaN,4.46606E-13,0.0017,NaN,NaN,null,null,null,null,3.21728E-15,0.00008,NaN,NaN
,2011-01-06,7,0.18993,0.14237,0.03138,0.01451,1.32055E-8,0.07042,7.78654E-20,3.50282E-73,null,null,null,null,5.54745E-13,0.00001,3.7133E-24,9.25715E-97
,2011-01-06,9,0.09719,0.05115,0.03221,NaN,1.76326E-7,5.25566E-38,2.00158E-141,NaN,null,null,null,null,2.1774E-10,1.3602E-39,2.92816E-144,NaN
,2011-01-06,16,0.17414,0.09017,0.07285,NaN,0.00004,2.86862E-26,2.24066E-74,NaN,null,null,null,null,7.77219E-9,3.04832E-29,1.63883E-93,NaN
,2011-01-07,1,0.07361,0.08071,NaN,NaN,3.00305E-16,0.08021,NaN,NaN,null,null,null,null,2.09023E-19,0.00006,NaN,NaN
,2011-01-07,3,0.08101,0.11661,NaN,NaN,2.0758E-15,0.00108,NaN,NaN,null,null,null,null,1.97452E-17,0.00005,NaN,NaN
,2011-01-07,7,0.18989,0.14139,0.03161,0.01451,7.06293E-10,0.06089,1.34793E-19,1.66544E-72,null,null,null,null,2.96704E-14,0.00001,6.8563E-24,1.2004E-95
,2011-01-07,9,0.0922,0.05091,0.0322,NaN,8.11155E-9,3.46338E-42,3.13688E-153,NaN,null,null,null,null,1.0065E-11,8.33208E-44,4.35734E-156,NaN
,2011-01-07,16,0.16224,0.08704,0.07278,NaN,3.21157E-6,5.30846E-31,3.98943E-78,NaN,null,null,null,null,5.94761E-10,5.29345E-34,2.8552E-97,NaN
,2011-01-08,1,0.0702,0.07907,NaN,NaN,1.64958E-19,0.06392,NaN,NaN,null,null,null,null,1.49002E-22,0.00005,NaN,NaN
,2011-01-08,3,0.07793,0.11594,NaN,NaN,5.56707E-18,0.00059,NaN,NaN,null,null,null,null,7.19134E-20,0.00003,NaN,NaN
,2011-01-08,7,0.18988,0.14054,0.03182,0.01451,3.78417E-11,0.05336,2.02603E-19,5.30677E-72,null,null,null,null,1.58968E-15,0.00001,1.0829E-23,8.29753E-95
,2011-01-08,9,0.08648,0.05045,0.0322,NaN,2.61806E-10,2.90855E-47,4.39288E-167,NaN,null,null,null,null,3.25972E-13,6.63318E-49,5.88481E-170,NaN
,2011-01-08,16,0.1496,0.08339,0.07271,NaN,1.75685E-7,1.46903E-37,6.78629E-82,NaN,null,null,null,null,3.30428E-11,1.33932E-40,4.79707E-101,NaN
,2011-01-09,1,0.06769,0.07754,NaN,NaN,1.29928E-23,0.05052,NaN,NaN,null,null,null,null,1.50021E-26,0.00004,NaN,NaN
,2011-01-09,3,0.0758,0.11525,NaN,NaN,6.24911E-21,0.00026,NaN,NaN,null,null,null,null,1.0537E-22,0.00001,NaN,NaN
,2011-01-09,7,0.18988,0.13979,0.03201,0.01451,2.02872E-12,0.04728,2.75602E-19,1.27461E-71,null,null,null,null,8.52239E-17,0.00001,1.53234E-23,3.68947E-94
,2011-01-09,9,0.08428,0.05036,0.0322,NaN,4.95185E-12,2.06855E-52,2.51555E-181,NaN,null,null,null,null,6.17818E-15,4.58202E-54,3.30824E-184,NaN
,2011-01-09,16,0.1466,0.08306,0.07269,NaN,5.83073E-9,8.29995E-47,1.09266E-85,NaN,null,null,null,null,1.10634E-12,6.97593E-50,7.67208E-105,NaN
,2011-01-10,1,0.06742,0.07622,NaN,NaN,1.11318E-28,0.03988,NaN,NaN,null,null,null,null,1.35574E-31,0.00003,NaN,NaN
,2011-01-10,3,0.07597,0.11459,NaN,NaN,3.23955E-24,0.00007,NaN,NaN,null,null,null,null,6.22004E-26,3.63214E-6,NaN,NaN
,2011-01-10,7,0.18987,0.13911,0.03217,0.01451,1.08786E-13,0.04228,3.48571E-19,2.49116E-71,null,null,null,null,4.56993E-18,0.00001,2.00158E-23,1.19022E-93
,2011-01-10,9,0.08423,0.05049,0.0322,NaN,7.2733E-14,2.3666E-57,1.79943E-195,NaN,null,null,null,null,9.08922E-17,5.15152E-59,2.33895E-198,NaN
,2011-01-10,16,0.14609,0.08323,0.07269,NaN,1.68458E-10,7.06112E-52,1.73476E-89,NaN,null,null,null,null,3.22076E-14,5.78738E-55,1.21107E-108,NaN
,2011-01-11,1,0.06704,0.07497,NaN,NaN,7.05673E-34,0.03194,NaN,NaN,null,null,null,null,9.16779E-37,0.00002,NaN,NaN
,2011-01-11,3,0.07602,0.11394,NaN,NaN,1.79694E-27,0.00001,NaN,NaN,null,null,null,null,3.88724E-29,4.42509E-7,NaN,NaN
,2011-01-11,7,0.18987,0.1385,0.03232,0.01451,5.83382E-15,0.03811,4.17459E-19,4.1729E-71,null,null,null,null,2.45071E-19,0.00001,2.46264E-23,3.02003E-93
,2011-01-11,9,0.08417,0.05062,0.0322,NaN,1.06151E-15,2.85431E-62,1.60546E-209,NaN,null,null,null,null,1.32865E-18,6.10927E-64,2.06293E-212,NaN
