@T, output
created_at,"Mon May 01 13:23:32 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,swc_h[0],swc_h[1],swc_h[2],swc_h[3],outRD2_h[0],outRD2_h[1],outRD2_h[2],outRD2_h[3],NO3_N[0],NO3_N[1],NO3_N[2],NO3_N[3],InterflowN[0],InterflowN[1],InterflowN[2],InterflowN[3]
Type,LocalDate,Integer,Double,Double,Double,Double,Double,Double,Double,Double,Object,Object,Object,Object,Double,Double,Double,Double
Unit,-,-,-,-,-,-,l,l,l,l,mg/L,mg/L,mg/L,mg/L,kgN/ha,kgN/ha,kgN/ha,kgN/ha
,2011-01-01,16,0.19183,0.09138,0.07288,NaN,0.25041,2.18248E-16,1.03582E-55,NaN,null,null,null,null,0.00005,9.54799E-101,0,NaN
,2011-01-02,16,0.18757,0.0914,0.07288,NaN,0.0023,5.0582E-20,1.91929E-59,NaN,null,null,null,null,4.16238E-7,5.39133E-23,1.40349E-78,NaN
,2011-01-03,16,0.18752,0.09141,0.07288,NaN,0.00063,4.09435E-22,3.51469E-63,NaN,null,null,null,null,1.13562E-7,4.3592E-25,2.57065E-82,NaN
,2011-01-04,16,0.18747,0.09142,0.07288,NaN,0.00062,2.99638E-22,6.64462E-67,NaN,null,null,null,null,1.12304E-7,3.18904E-25,4.8599E-86,NaN
,2011-01-05,16,0.1777,0.08955,0.07285,NaN,0.00061,1.48408E-23,1.25566E-70,NaN,null,null,null,null,1.11069E-7,1.57786E-26,9.18396E-90,NaN
,2011-01-06,16,0.17414,0.09017,0.07285,NaN,0.00004,2.86862E-26,2.24066E-74,NaN,null,null,null,null,7.77219E-9,3.04832E-29,1.63883E-93,NaN
,2011-01-07,16,0.16224,0.08704,0.07278,NaN,3.21157E-6,5.30846E-31,3.98943E-78,NaN,null,null,null,null,5.94761E-10,5.29345E-34,2.8552E-97,NaN
,2011-01-08,16,0.1496,0.08339,0.07271,NaN,1.75685E-7,1.46903E-37,6.78629E-82,NaN,null,null,null,null,3.30428E-11,1.33932E-40,4.79707E-101,NaN
,2011-01-09,16,0.1466,0.08306,0.07269,NaN,5.83073E-9,8.29995E-47,1.09266E-85,NaN,null,null,null,null,1.10634E-12,6.97593E-50,7.67208E-105,NaN
,2011-01-10,16,0.14609,0.08323,0.07269,NaN,1.68458E-10,7.06112E-52,1.73476E-89,NaN,null,null,null,null,3.22076E-14,5.78738E-55,1.21107E-108,NaN
,2011-01-11,16,0.14561,0.08339,0.07268,NaN,4.7602E-12,8.02949E-56,2.7452E-93,NaN,null,null,null,null,9.16876E-16,6.42666E-59,1.90584E-112,NaN
,2011-01-12,16,0.14516,0.08355,0.07268,NaN,1.31247E-13,8.07448E-60,4.33041E-97,NaN,null,null,null,null,2.54626E-17,6.31951E-63,2.99025E-116,NaN
,2011-01-13,16,0.14473,0.0837,0.07267,NaN,3.52976E-15,7.05595E-64,6.80987E-101,NaN,null,null,null,null,6.89605E-19,5.40669E-67,4.67804E-120,NaN
,2011-01-14,16,0.1443,0.08385,0.07267,NaN,9.26221E-17,5.40286E-68,1.06767E-104,NaN,null,null,null,null,1.82191E-20,4.05786E-71,7.2977E-124,NaN
,2011-01-15,16,0.1439,0.08399,0.07267,NaN,2.37238E-18,3.65381E-72,1.669E-108,NaN,null,null,null,null,4.69759E-22,2.69256E-75,1.13528E-127,NaN
,2011-01-16,16,0.13952,0.08313,0.07264,NaN,5.93403E-20,7.99189E-79,2.60153E-112,NaN,null,null,null,null,1.18314E-23,5.40606E-82,1.76129E-131,NaN
,2011-01-17,16,0.13921,0.08324,0.07263,NaN,1.12643E-21,1.4872E-83,3.96928E-116,NaN,null,null,null,null,2.25809E-25,9.89798E-87,2.67747E-135,NaN
,2011-01-18,16,0.13891,0.08335,0.07263,NaN,2.09369E-23,3.71888E-88,6.03675E-120,NaN,null,null,null,null,4.2194E-27,2.4368E-91,4.05757E-139,NaN
,2011-01-19,16,0.13862,0.08345,0.07263,NaN,3.81166E-25,8.49034E-93,9.15224E-124,NaN,null,null,null,null,7.72159E-29,5.48064E-96,6.13028E-143,NaN
,2011-01-20,16,0.13833,0.08356,0.07262,NaN,6.79894E-27,1.7689E-97,1.38328E-127,NaN,null,null,null,null,1.38434E-30,1.12554E-100,9.23396E-147,NaN
,2011-01-21,16,0.13805,0.08366,0.07262,NaN,1.18857E-28,3.37487E-102,2.08435E-131,NaN,null,null,null,null,2.43217E-32,2.11787E-105,1.38679E-150,NaN
,2011-01-22,16,0.13778,0.08376,0.07261,NaN,2.037E-30,5.9154E-107,3.13137E-135,NaN,null,null,null,null,4.18875E-34,3.66295E-110,2.07669E-154,NaN
,2011-01-23,16,0.13751,0.08385,0.07261,NaN,3.42343E-32,9.55368E-112,4.69055E-139,NaN,null,null,null,null,7.07357E-36,5.84022E-115,3.10092E-158,NaN
,2011-01-24,16,0.13725,0.08395,0.07261,NaN,5.64355E-34,1.42561E-116,7.00579E-143,NaN,null,null,null,null,1.17159E-37,8.60733E-120,4.61726E-162,NaN
,2011-01-25,16,0.13699,0.08404,0.0726,NaN,9.12808E-36,1.97049E-121,1.04341E-146,NaN,null,null,null,null,1.90375E-39,1.17553E-124,6.85606E-166,NaN
,2011-01-26,16,0.13674,0.08413,0.0726,NaN,1.44895E-37,2.52875E-126,1.54968E-150,NaN,null,null,null,null,3.03569E-41,1.49117E-129,1.01527E-169,NaN
,2011-01-27,16,0.1365,0.08422,0.0726,NaN,2.25778E-39,3.01952E-131,2.29527E-154,NaN,null,null,null,null,4.75142E-43,1.76072E-134,1.4994E-173,NaN
,2011-01-28,16,0.13626,0.08431,0.07259,NaN,3.45438E-41,3.36165E-136,3.39038E-158,NaN,null,null,null,null,7.30156E-45,1.93905E-139,2.20855E-177,NaN
,2011-01-29,16,0.13603,0.08439,0.07259,NaN,5.19063E-43,3.496E-141,4.99464E-162,NaN,null,null,null,null,1.10189E-46,1.99545E-144,3.24462E-181,NaN
,2011-01-30,16,0.1358,0.08448,0.07259,NaN,7.66178E-45,3.40227E-146,7.33874E-166,NaN,null,null,null,null,1.63337E-48,1.92225E-149,4.75452E-185,NaN
,2011-01-31,16,0.13558,0.08456,0.07258,NaN,1.11121E-46,3.10359E-151,1.07551E-169,NaN,null,null,null,null,2.37882E-50,1.73624E-154,6.94944E-189,NaN
,2011-02-01,16,0.13536,0.08464,0.07258,NaN,1.58384E-48,2.65793E-156,1.57219E-173,NaN,null,null,null,null,3.40453E-52,1.47272E-159,1.01324E-192,NaN
,2011-02-02,16,0.13514,0.08472,0.07258,NaN,2.21907E-50,2.14016E-161,2.29246E-177,NaN,null,null,null,null,4.78924E-54,1.17483E-164,1.47368E-196,NaN
,2011-02-03,16,0.13493,0.08479,0.07257,NaN,3.05675E-52,1.62249E-166,3.33448E-181,NaN,null,null,null,null,6.62336E-56,8.82627E-170,2.13819E-200,NaN
,2011-02-04,16,0.13472,0.08487,0.07257,NaN,4.14062E-54,1.15964E-171,4.83833E-185,NaN,null,null,null,null,9.00702E-58,6.25309E-175,3.09493E-204,NaN
,2011-02-05,16,0.13452,0.08494,0.07257,NaN,5.51663E-56,7.82383E-177,7.0036E-189,NaN,null,null,null,null,1.20465E-59,4.18283E-180,4.46924E-208,NaN
,2011-02-06,16,0.13432,0.08502,0.07256,NaN,7.23047E-58,4.98869E-182,1.01139E-192,NaN,null,null,null,null,1.58488E-61,2.64495E-185,6.43885E-212,NaN
,2011-02-07,16,0.13412,0.08509,0.07256,NaN,9.32449E-60,3.00968E-187,1.45715E-196,NaN,null,null,null,null,2.05152E-63,1.5828E-190,9.25526E-216,NaN
,2011-02-08,16,0.13393,0.08516,0.07256,NaN,1.18339E-61,1.71985E-192,2.09454E-200,NaN,null,null,null,null,2.6132E-65,8.97352E-196,1.32736E-219,NaN
,2011-02-09,16,0.13374,0.08523,0.07255,NaN,1.47826E-63,9.31855E-198,3.00392E-204,NaN,null,null,null,null,3.27618E-67,4.82475E-201,1.89942E-223,NaN
,2011-02-10,16,0.13356,0.0853,0.07255,NaN,1.81789E-65,4.7921E-203,4.29849E-208,NaN,null,null,null,null,4.04331E-69,2.46258E-206,2.71205E-227,NaN
,2011-02-11,16,0.13338,0.08536,0.07255,NaN,2.20118E-67,2.34118E-208,6.13742E-212,NaN,null,null,null,null,4.91306E-71,1.19431E-211,3.86396E-231,NaN
,2011-02-12,16,0.1332,0.08543,0.07255,NaN,2.62473E-69,1.08761E-213,8.744E-216,NaN,null,null,null,null,5.87877E-73,5.50872E-217,5.49337E-235,NaN
,2011-02-13,16,0.13302,0.08549,0.07254,NaN,3.08265E-71,4.80864E-219,1.24309E-219,NaN,null,null,null,null,6.92805E-75,2.41863E-222,7.79342E-239,NaN
,2011-02-14,16,0.13285,0.08556,0.07254,NaN,3.56651E-73,2.02511E-224,1.76348E-223,NaN,null,null,null,null,8.04258E-77,1.01167E-227,1.10334E-242,NaN
,2011-02-15,16,0.13268,0.08562,0.07254,NaN,4.06546E-75,8.13035E-230,2.4965E-227,NaN,null,null,null,null,9.19827E-79,4.03466E-233,1.55884E-246,NaN
,2011-02-16,16,0.13251,0.08568,0.07253,NaN,4.56656E-77,3.11419E-235,3.52693E-231,NaN,null,null,null,null,1.0366E-80,1.53539E-238,2.19789E-250,NaN
,2011-02-17,16,0.13235,0.08574,0.07253,NaN,5.05527E-79,1.1389E-240,4.97251E-235,NaN,null,null,null,null,1.15126E-82,5.57954E-244,3.09273E-254,NaN
,2011-02-18,16,0.13219,0.0858,0.07253,NaN,5.51621E-81,3.97976E-246,6.9965E-239,NaN,null,null,null,null,1.26025E-84,1.93762E-249,4.34327E-258,NaN
,2011-02-19,16,0.13203,0.08586,0.07253,NaN,5.93388E-83,1.32974E-251,9.82477E-243,NaN,null,null,null,null,1.35995E-86,6.43484E-255,6.08754E-262,NaN
