@T, output
created_at,"Mon May 01 13:23:32 MDT 2023"
date_format,yyyy-MM-dd
@H,time,ID,SurfaceN_in,SurfaceNabs,sinterflowN_in,sinterflowNabs,PercoNabs,Denit_trans,Volati_trans,actnup,SurfaceN,sinterflowN,sum_Ninput,PercoN
Type,LocalDate,Integer,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Unit,-,-,kgN/ha,kgN,kgN,kgN,kgN,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha,kgN/ha
,2011-01-01,1,0,0,0.02489,0.12692,0.07246,0,0,0,0,0.00031,0,0.00018
,2011-01-01,3,0,0,0,0.06494,0.08316,0,0,0,0,0.0003,0,0.00038
,2011-01-01,7,0,0,0,0.01185,0,0,0,0,0,0.00006,0,0
,2011-01-01,9,0,0,0,0.18732,9.61235E-142,0,0,0,0,0.0006,0,3.09826E-144
,2011-01-01,16,0,0,0,0.01703,0,0,0,0,0,0.00005,0,0
,2011-01-02,1,0,0,0.02198,0.08686,0.04961,0,0,0,0,0.00021,0,0.00012
,2011-01-02,3,0,0,0,0.06083,0.08067,0,0,0,0,0.00028,0,0.00037
,2011-01-02,7,0,0,0,0.00491,3.14965E-121,0,0,0,0,0.00002,0,1.467E-123
,2011-01-02,9,0,0,0,0.00238,1.14806E-121,0,0,0,0,0.00001,0,3.70043E-124
,2011-01-02,16,0,0,0,0.00016,8.56451E-76,0,0,0,0,4.16238E-7,0,2.27986E-78
,2011-01-03,1,0,0,0.01742,0.06303,0.03601,0,0,0,0,0.00015,0,0.00009
,2011-01-03,3,0,0,0,0.04823,0.06398,0,0,0,0,0.00022,0,0.00029
,2011-01-03,7,0,0,0,0.00381,3.26966E-101,0,0,0,0,0.00002,0,1.5229E-103
,2011-01-03,9,0,0,0,0.00023,5.49259E-120,0,0,0,0,7.36557E-7,0,1.77038E-122
,2011-01-03,16,0,0,0,0.00004,1.56869E-79,0,0,0,0,1.13562E-7,0,4.17583E-82
,2011-01-04,1,0,0,0.01318,0.04754,0.02715,0,0,0,0,0.00012,0,0.00007
,2011-01-04,3,0,0,0,0.03649,0.04841,0,0,0,0,0.00017,0,0.00022
,2011-01-04,7,0,0,0,0.00308,7.44068E-98,0,0,0,0,0.00001,0,3.46562E-100
,2011-01-04,9,0,0,0,0.00002,1.14791E-124,0,0,0,0,5.57385E-8,0,3.69995E-127
,2011-01-04,16,0,0,0,0.00004,2.96567E-83,0,0,0,0,1.12304E-7,0,7.89455E-86
,2011-01-05,1,0,0,0.00963,0.03706,0.02117,0,0,0,0,0.00009,0,0.00005
